Outs,OBC,RE
0,0,0.9743589743589743
0,1,1.8333333333333333
0,2,2.75
0,3,0.0
0,4,4.0
0,5,4.0
0,6,2.0
1,0,0.6206896551724138
1,1,1.8888888888888888
1,2,1.6923076923076923
1,3,1.5555555555555556
1,4,1.6666666666666667
1,5,1.5
1,6,1.5
1,7,0.0
2,0,0.24
2,1,0.8
2,2,1.2142857142857142
2,3,0.0
2,4,2.0
2,5,0.0
2,6,0.0
