Outs,OBC,RE
0,0,0.4166666666666667
0,2,1.0
0,4,0.0
0,5,1.0
1,0,0.2222222222222222
1,1,0.3333333333333333
1,2,0.5
1,4,0.0
1,7,0.0
2,0,0.16666666666666666
2,1,0.5
2,2,0.5
2,3,0.0
2,4,0.3333333333333333
2,5,0.0
