Outs,OBC,RE
0,0,0.5373134328358209
0,1,0.6538461538461539
0,2,1.4615384615384615
0,3,1.5
0,4,4.0
0,5,3.6666666666666665
0,6,1.5
0,7,4.75
1,0,0.37168141592920356
1,1,0.3902439024390244
1,2,0.5555555555555556
1,3,1.125
1,4,0.6666666666666666
1,5,2.0
1,6,0.3333333333333333
2,0,0.1744186046511628
2,1,0.21428571428571427
2,2,0.4
2,3,0.2857142857142857
2,4,0.5454545454545454
2,5,0.3
2,6,0.0
2,7,2.3333333333333335
