Outs,OBC,RE
0,0,0.6159075458871516
0,1,0.8780889621087314
0,2,1.167123287671233
0,3,1.3714285714285714
0,4,1.4861111111111112
0,5,1.8979591836734695
0,6,2.073529411764706
0,7,2.0185185185185186
1,0,0.37262012692656393
1,1,0.5555555555555556
1,2,0.7098901098901099
1,3,0.9692307692307692
1,4,0.9420849420849421
1,5,1.1313131313131313
1,6,1.2432432432432432
1,7,1.4539473684210527
2,0,0.17398463227222832
2,1,0.34739803094233473
2,2,0.398576512455516
2,3,0.417910447761194
2,4,0.5702127659574469
2,5,0.6303030303030303
2,6,0.5555555555555556
2,7,0.9195402298850575
