Outs,OBC,RE
0,0,0.5711864406779661
0,1,0.750733137829912
0,2,0.992462311557789
0,3,1.3205128205128205
0,4,1.1705426356589148
0,5,1.4363636363636363
0,6,1.7121212121212122
0,7,1.8604651162790697
1,0,0.3602630342883983
1,1,0.5655853314527504
1,2,0.69375
1,3,0.9219858156028369
1,4,0.7982456140350878
1,5,1.1
1,6,1.4962406015037595
1,7,1.4406779661016949
2,0,0.15609208309938236
2,1,0.2839160839160839
2,2,0.42857142857142855
2,3,0.3719806763285024
2,4,0.46255506607929514
2,5,0.5581395348837209
2,6,0.8
2,7,0.8666666666666667
