Outs,OBC,RE
0,0,0.6706443914081146
0,1,0.9590361445783132
0,2,1.3615819209039548
0,3,1.7419354838709677
0,4,1.553191489361702
0,5,1.72
0,6,2.3666666666666667
0,7,1.8611111111111112
1,0,0.39747634069400634
1,1,0.6739130434782609
1,2,0.9844961240310077
1,3,1.3302752293577982
1,4,0.9814814814814815
1,5,1.5735294117647058
1,6,1.4647887323943662
1,7,1.4555555555555555
2,0,0.18216175359032502
2,1,0.4
2,2,0.46706586826347307
2,3,0.5677966101694916
2,4,0.6604938271604939
2,5,1.1327433628318584
2,6,0.6296296296296297
2,7,0.9322033898305084
