Outs,OBC,RE
0,0,0.5485262401150252
0,1,0.7715355805243446
0,2,1.164179104477612
0,3,1.25
0,4,0.7333333333333333
0,5,1.6666666666666667
0,6,1.8695652173913044
0,7,1.9285714285714286
1,0,0.3080568720379147
1,1,0.46258503401360546
1,2,0.8586956521739131
1,3,1.0793650793650793
1,4,0.7692307692307693
1,5,1.6111111111111112
1,6,1.0731707317073171
1,7,1.3488372093023255
2,0,0.1461794019933555
2,1,0.34411764705882353
2,2,0.3701923076923077
2,3,0.19540229885057472
2,4,0.34375
2,5,0.6176470588235294
2,6,0.6470588235294118
2,7,0.6086956521739131
