Outs,OBC,RE
0,0,0.6437667560321716
0,1,0.8869701726844584
0,2,1.2321899736147757
0,3,1.4545454545454546
0,4,1.3612903225806452
0,5,2.1454545454545455
0,6,2.106060606060606
0,7,2.28125
1,0,0.3815315315315315
1,1,0.6035767511177347
1,2,0.8392156862745098
1,3,1.0291970802919708
1,4,1.1260162601626016
1,5,1.2429906542056075
1,6,1.1779661016949152
1,7,1.5303030303030303
2,0,0.17096774193548386
2,1,0.32967032967032966
2,2,0.4341216216216216
2,3,0.47186147186147187
2,4,0.5685483870967742
2,5,0.6703910614525139
2,6,0.7021276595744681
2,7,0.7640449438202247
