Outs,OBC,RE
0,0,0.5178571428571429
0,1,1.0
0,2,0.75
0,3,0.5
0,4,1.0
0,5,3.0
0,6,2.0
0,7,0.0
1,0,0.30434782608695654
1,1,0.55
1,2,0.5882352941176471
1,3,0.8888888888888888
1,4,0.8888888888888888
1,5,0.6
1,6,1.3333333333333333
1,7,0.5
2,0,0.07246376811594203
2,1,0.375
2,2,0.23076923076923078
2,3,0.2857142857142857
2,4,0.6923076923076923
2,5,0.0
2,6,1.5
2,7,0.0
