Outs,OBC,RE
0,0,0.6490241481971551
0,1,0.9410774410774411
0,2,1.2670299727520435
0,3,1.4545454545454546
0,4,1.4966887417218544
0,5,1.543859649122807
0,6,1.9384615384615385
0,7,2.2857142857142856
1,0,0.3980836236933798
1,1,0.6076294277929155
1,2,0.7641921397379913
1,3,1.0774193548387097
1,4,0.8949416342412452
1,5,0.9734513274336283
1,6,1.3873873873873874
1,7,1.598360655737705
2,0,0.19232847109670448
2,1,0.37582128777923784
2,2,0.4601018675721562
2,3,0.5165876777251185
2,4,0.6194029850746269
2,5,0.5728155339805825
2,6,0.8444444444444444
2,7,0.7745098039215687
