Outs,OBC,RE
0,0,0.5658783783783784
0,1,0.813141683778234
0,2,1.0533333333333332
0,3,1.3846153846153846
0,4,1.2920353982300885
0,5,1.5862068965517242
0,6,1.9411764705882353
0,7,2.0
1,0,0.36699239956568946
1,1,0.5673249551166966
1,2,0.7899686520376176
1,3,0.9285714285714286
1,4,0.9701492537313433
1,5,1.1578947368421053
1,6,1.368421052631579
1,7,1.7415730337078652
2,0,0.15889691398555483
2,1,0.31197301854974707
2,2,0.3631713554987212
2,3,0.34146341463414637
2,4,0.591743119266055
2,5,0.6
2,6,0.4827586206896552
2,7,0.9324324324324325
