Outs,OBC,RE
0,0,0.5994123408423114
0,1,0.8978658536585366
0,2,1.2180685358255452
0,3,1.4923076923076923
0,4,1.380952380952381
0,5,2.3333333333333335
0,6,2.0535714285714284
0,7,2.3846153846153846
1,0,0.36015831134564646
1,1,0.6013513513513513
1,2,0.7342047930283224
1,3,1.143939393939394
1,4,0.9011406844106464
1,5,1.2222222222222223
1,6,1.4791666666666667
1,7,1.6161616161616161
2,0,0.17091295116772823
2,1,0.33579335793357934
2,2,0.4225352112676056
2,3,0.49238578680203043
2,4,0.6779661016949152
2,5,0.5536723163841808
2,6,0.5294117647058824
2,7,1.25
