Outs,OBC,RE
0,0,0.6481719050673509
0,1,1.0129682997118155
0,2,1.3387096774193548
0,3,1.3650793650793651
0,4,1.5460526315789473
0,5,1.9107142857142858
0,6,2.4444444444444446
0,7,2.3333333333333335
1,0,0.4083904109589041
1,1,0.6778074866310161
1,2,0.9040767386091128
1,3,1.1224489795918366
1,4,1.024561403508772
1,5,1.075268817204301
1,6,1.3790322580645162
1,7,1.4098360655737705
2,0,0.1762608252674478
2,1,0.3593350383631714
2,2,0.5165794066317626
2,3,0.41
2,4,0.7931034482758621
2,5,0.7716049382716049
2,6,0.6785714285714286
2,7,1.0273972602739727
