Outs,OBC,RE
0,0,0.6015424164524421
0,1,0.9223300970873787
0,2,1.1676829268292683
0,3,1.511111111111111
0,4,1.2338709677419355
0,5,1.7735849056603774
0,6,2.4347826086956523
0,7,1.8444444444444446
1,0,0.3733108108108108
1,1,0.6415094339622641
1,2,0.8540772532188842
1,3,1.0902777777777777
1,4,0.9488188976377953
1,5,1.0096153846153846
1,6,1.4269662921348314
1,7,1.372093023255814
2,0,0.17222222222222222
2,1,0.3643031784841076
2,2,0.47194719471947194
2,3,0.5373134328358209
2,4,0.5892116182572614
2,5,0.6510416666666666
2,6,0.78125
2,7,0.782051282051282
