Outs,OBC,RE
0,0,0.9356287425149701
0,1,1.2337278106508875
0,2,1.8630136986301369
0,3,1.7704918032786885
0,4,1.3626373626373627
0,5,2.6551724137931036
0,6,2.727272727272727
0,7,2.037037037037037
1,0,0.5314222712238148
1,1,0.9088319088319088
1,2,1.1036269430051813
1,3,1.1829268292682926
1,4,1.3355263157894737
1,5,1.3409090909090908
1,6,1.4107142857142858
1,7,1.4269662921348314
2,0,0.23840206185567012
2,1,0.5042492917847026
2,2,0.5555555555555556
2,3,0.6190476190476191
2,4,0.8169014084507042
2,5,0.85
2,6,0.7222222222222222
2,7,0.8035714285714286
