Outs,OBC,RE
0,0,0.6045002163565556
0,1,0.8955954323001631
0,2,1.303370786516854
0,3,1.5
0,4,1.4853801169590644
0,5,2.176470588235294
0,6,2.2028985507246377
0,7,2.9
1,0,0.3588807785888078
1,1,0.6498422712933754
1,2,0.8281938325991189
1,3,1.2205882352941178
1,4,1.1302521008403361
1,5,1.082191780821918
1,6,2.074074074074074
1,7,2.045112781954887
2,0,0.14204139900071378
2,1,0.3159509202453988
2,2,0.5092592592592593
2,3,0.3813559322033898
2,4,0.7110091743119266
2,5,0.5177664974619289
2,6,0.6470588235294118
2,7,1.2461538461538462
