Outs,OBC,RE
0,0,0.525974025974026
0,1,0.6829268292682927
0,2,1.1223021582733812
0,3,1.3170731707317074
0,4,1.1759259259259258
0,5,1.2121212121212122
0,6,1.75
0,7,1.837837837837838
1,0,0.33313919627256844
1,1,0.5075757575757576
1,2,0.7608695652173914
1,3,0.9746835443037974
1,4,0.8031914893617021
1,5,0.7413793103448276
1,6,1.1506849315068493
1,7,1.2840909090909092
2,0,0.15671641791044777
2,1,0.3393829401088929
2,2,0.4146341463414634
2,3,0.30201342281879195
2,4,0.4666666666666667
2,5,0.6470588235294118
2,6,0.5185185185185185
2,7,0.65625
