Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Quentin Adams,397,,Talious Greyoak,2182,45,LGO,477,T5,1,0,1,3,-1.19%,1.19%,0,0,39,4,2,MHM,SS,LGO,LGO,,1
Stephen Seconds,123,666,Talious Greyoak,2182,87,LGO,421,T5,2,0,1,3,-1.13%,1.13%,0,0,39,4,2,MHM,SS,LGO,LGO,,1
Puckun Huckingly,2048,112,Buttholo Colón,456,700,K,412,B5,0,0,1,3,-4.27%,4.27%,0,0,40,4,2,SS,MHM,K,K,,1
Ben Beezle,26,412,Buttholo Colón,456,417,HR,5,B5,1,0,1,3,13.33%,-13.33%,1,1,40,4,2,SS,MHM,HR,HR,,1
Ashton Westenburg,316,500,Buttholo Colón,456,199,K,301,B5,1,0,2,3,-5.16%,5.16%,0,0,40,4,2,SS,MHM,K,K,,1
Foxx Dashington,306,1000,Buttholo Colón,456,955,2B,45,B5,2,0,2,3,7.51%,-7.51%,0,0,40,4,2,SS,MHM,2B,2B,,1
Jay Embee,2069,412,Buttholo Colón,456,955,RGO,457,B5,2,2,2,3,-11.96%,11.96%,0,0,40,4,2,SS,MHM,RGO,RGO,,1
Autumn Halladay,297,710,Pete Wheeler,4,208,LGO,498,T1,0,0,0,0,-2.51%,2.51%,0,0,41,5,2,CC,MB,LGO,LGO,,1
Buck Cheeks,457,19,Pete Wheeler,4,1,HR,18,T1,1,0,0,0,11.75%,-11.75%,1,1,41,5,2,CC,MB,HR,HR,,1
Jimbo Fishy,1984,894,Pete Wheeler,4,350,LGO,456,T1,1,0,0,1,-1.84%,1.84%,0,0,41,5,2,CC,MB,LGO,LGO,,1
Harry Cox,2016,,Pete Wheeler,4,671,FO,242,T1,2,0,0,1,-1.47%,1.47%,0,0,41,5,2,CC,MB,FO,FO,,1
Jack Marnette,213,884,Logan Anderson,236,717,FO,167,B1,0,0,0,1,-2.79%,2.79%,0,0,42,5,2,MB,CC,FO,FO,,1
Pip Squires,2060,723,Logan Anderson,236,281,LGO,442,B1,1,0,0,1,-2.36%,2.36%,0,0,42,5,2,MB,CC,LGO,LGO,,1
Daz Reference,2114,706,Logan Anderson,236,830,BB,124,B1,2,0,0,1,2.22%,-2.22%,0,0,42,5,2,MB,CC,BB,BB,,1
Kevin Arianna,113,999,Logan Anderson,236,338,K,339,B1,2,1,0,1,-4.10%,4.10%,0,0,42,5,2,MB,CC,K,K,,1
Supreme Asslord,363,666,Pete Wheeler,4,601,1B,65,T2,0,0,0,1,2.40%,-2.40%,0,0,43,5,2,CC,MB,1B,1B,,1
Merodach Baladan,100,500,Pete Wheeler,4,869,DP,369,T2,0,1,0,1,-6.69%,6.69%,0,0,43,5,2,CC,MB,RGO,RGO,,1
Mike Oxlittle,105,120,Pete Wheeler,4,473,K,353,T2,2,0,0,1,-1.69%,1.69%,0,0,43,5,2,CC,MB,K,K,,1
