Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Keyo,331,,Rusty Nails,651,,IBB,,T5,2,1,0,8,0.12%,-0.12%,0,0,0,43,4,1,SDP,ARI,IBB,IBB,IBB,8
Edward Freeman,700,814,Rusty Nails,651,527,K,287,T5,2,4,0,8,-0.14%,0.14%,0,0,0,43,4,1,SDP,ARI,K,PO,K,1
Festus Ezeli,743,9,Judge Reinhold,708,132,1B,123,B5,0,0,0,8,0.21%,-0.21%,0,0,0,44,4,1,ARI,SDP,1B,1B,1B,1
James Jameson LXIX,1722,327,Judge Reinhold,708,626,K,299,B5,0,1,0,8,-0.19%,0.19%,0,0,0,44,4,1,ARI,SDP,K,K,K,1
Tyler Pylon,778,520,Judge Reinhold,708,696,FO,176,B5,1,1,0,8,-0.11%,0.11%,0,0,0,44,4,1,ARI,SDP,FO,FO,BB,1
Rusty Nails,651,89,Judge Reinhold,708,924,FO,165,B5,2,1,0,8,-0.13%,0.13%,0,0,0,44,4,1,ARI,SDP,FO,FO,BB,1
Joe Nastasi,614,825,Rusty Nails,651,172,K,347,T6,0,0,0,8,0.01%,-0.01%,0,0,0,45,4,1,SDP,ARI,K,RGO,K,1
Amper Sand,774,432,Rusty Nails,651,2,RGO,430,T6,1,0,0,8,0.00%,0.00%,0,0,0,45,4,1,SDP,ARI,RGO,LGO,RGO,1
Clarinet Clarinet,672,640,Rusty Nails,651,790,BB,150,T6,2,0,0,8,-0.02%,0.02%,0,1,1,45,4,1,SDP,ARI,BB,BB,BB,1
Videl Valor,1832,250,Rusty Nails,651,300,2B,50,T6,2,1,0,8,0.05%,-0.05%,1,0,0,45,4,1,SDP,ARI,2B,2B,2B,1
Dixie Normos,332,868,Rusty Nails,651,281,RGO,413,T6,2,2,0,9,-0.01%,0.01%,0,0,0,45,4,1,SDP,ARI,RGO,RGO,RGO,1
Duke Silver,602,321,Judge Reinhold,708,246,1B,75,B6,0,0,0,9,0.02%,-0.02%,0,1,1,46,4,1,ARI,SDP,1B,1B,1B,1
Dart Ragusa,134,852,Judge Reinhold,708,976,BB,124,B6,0,1,0,9,0.15%,-0.15%,0,1,1,46,4,1,ARI,SDP,BB,BB,1B,1
Jay Money,241,931,Judge Reinhold,708,50,1B,119,B6,0,4,0,9,0.09%,-0.09%,0,0,0,46,4,1,ARI,SDP,1B,1B,1B,1
Willians Adobestudio,2260,666,Judge Reinhold,708,972,K,306,B6,0,7,0,9,-0.06%,0.06%,0,0,0,46,4,1,ARI,SDP,K,K,K,1
Viktor Patterson,705,277,Judge Reinhold,708,605,PO,328,B6,1,7,0,9,-0.18%,0.18%,0,0,0,46,4,1,ARI,SDP,PO,PO,K,1
Festus Ezeli,743,9,Judge Reinhold,708,889,1B,120,B6,2,7,0,9,0.04%,-0.04%,2,0,0,46,4,1,ARI,SDP,1B,1B,1B,1
James Jameson LXIX,1722,173,Judge Reinhold,708,530,RGO,357,B6,2,5,2,9,-0.09%,0.09%,0,0,0,46,4,1,ARI,SDP,RGO,PO,K,1
Michael Scarn,746,623,Matt Himynamis,361,394,FO,229,T1,0,0,0,0,-2.51%,2.51%,0,0,0,47,5,2,SDP,PIT,FO,FO,FO,1
Clarinet Clarinet,672,704,Matt Himynamis,361,532,FO,172,T1,1,0,0,0,-2.18%,2.18%,0,0,0,47,5,2,SDP,PIT,FO,FO,BB,1
Drew Savage,329,92,Matt Himynamis,361,556,LGO,464,T1,2,0,0,0,-1.76%,1.76%,0,0,0,47,5,2,SDP,PIT,LGO,LGO,LGO,1
Garitek,307,286,Judge Reinhold,708,162,1B,124,B1,0,0,0,0,2.76%,-2.76%,0,0,0,48,5,2,PIT,SDP,1B,1B,1B,1
Garitek,307,600,Judge Reinhold,708,94,CS,494,B1,0,1,0,0,-5.24%,5.24%,0,0,0,48,5,2,PIT,SDP,CS 2B,CS 2B,CS,4
Moose McCracken,308,576,Judge Reinhold,708,838,FO,262,B1,1,0,0,0,-2.17%,2.17%,0,0,0,48,5,2,PIT,SDP,FO,FO,FO,1
Slappy McBatty,1737,674,Judge Reinhold,708,984,K,310,B1,2,0,0,0,-1.79%,1.79%,0,0,0,48,5,2,PIT,SDP,K,K,K,1
Cam'ron,525,270,Matt Himynamis,361,798,LGO,472,T2,0,0,0,0,-2.72%,2.72%,0,0,0,49,5,2,SDP,PIT,LGO,LGO,LGO,1
Caleb Aiken,324,101,Matt Himynamis,361,283,FO,182,T2,1,0,0,0,-2.40%,2.40%,0,0,0,49,5,2,SDP,PIT,FO,FO,FO,1
Edward Freeman,700,461,Matt Himynamis,361,98,PO,363,T2,2,0,0,0,-1.99%,1.99%,0,0,0,49,5,2,SDP,PIT,PO,PO,K,1
Walter Yeller Weller,647,4,Judge Reinhold,708,404,RGO,400,B2,0,0,0,0,-2.72%,2.72%,0,0,0,50,5,2,PIT,SDP,RGO,RGO,RGO,1
Revan Skywalker,479,367,Judge Reinhold,708,735,RGO,368,B2,1,0,0,0,-2.38%,2.38%,0,0,0,50,5,2,PIT,SDP,RGO,PO,K,1
Cole Schmole,654,1,Judge Reinhold,708,859,1B,142,B2,2,0,0,0,2.07%,-2.07%,0,0,0,50,5,2,PIT,SDP,1B,1B,BB,1
Aidan Myers,1960,192,Judge Reinhold,708,802,RGO,390,B2,2,1,0,0,-4.10%,4.10%,0,0,0,50,5,2,PIT,SDP,RGO,RGO,PO,1
Girth Brooks,161,770,Matt Himynamis,361,666,BB,104,T3,0,0,0,0,3.31%,-3.31%,0,0,0,51,5,2,SDP,PIT,BB,1B,1B,1
Primal Cookie,779,500,Matt Himynamis,361,728,FO,228,T3,0,1,0,0,-3.57%,3.57%,0,0,0,51,5,2,SDP,PIT,FO,FO,FO,1
Freddie Huff,1813,327,Matt Himynamis,361,400,1B,73,T3,1,1,0,0,4.75%,-4.75%,0,0,0,51,5,2,SDP,PIT,1B,1B,1B,1
Michael Scarn,746,420,Matt Himynamis,361,994,DP,426,T3,1,4,0,0,-12.57%,12.57%,0,0,0,51,5,2,SDP,PIT,RGO,RGO,DP,1
Jonny Mac,1698,950,Judge Reinhold,708,299,PO,349,B3,0,0,0,0,-3.07%,3.07%,0,0,0,52,5,2,PIT,SDP,PO,PO,K,1
Lance Lummox,314,421,Judge Reinhold,708,58,PO,363,B3,1,0,0,0,-2.77%,2.77%,0,0,0,52,5,2,PIT,SDP,PO,PO,K,1
Garitek,307,183,Judge Reinhold,708,527,PO,344,B3,2,0,0,0,-2.27%,2.27%,0,0,0,52,5,2,PIT,SDP,PO,PO,K,1
Clarinet Clarinet,672,381,Matt Himynamis,361,577,FO,196,T4,0,0,0,0,-3.58%,3.58%,0,0,0,53,5,2,SDP,PIT,FO,FO,FO,1
Drew Savage,329,900,Matt Himynamis,361,744,FO,156,T4,1,0,0,0,-3.19%,3.19%,0,0,0,53,5,2,SDP,PIT,FO,FO,BB,1
Cam'ron,525,375,Matt Himynamis,361,943,LGO,432,T4,2,0,0,0,-2.75%,2.75%,0,0,0,53,5,2,SDP,PIT,LGO,LGO,RGO,1
Moose McCracken,308,290,Judge Reinhold,708,626,K,336,B4,0,0,0,0,-3.43%,3.43%,0,0,0,54,5,2,PIT,SDP,K,K,K,1
Slappy McBatty,1737,725,Judge Reinhold,708,109,RGO,384,B4,1,0,0,0,-3.17%,3.17%,0,0,0,54,5,2,PIT,SDP,RGO,RGO,PO,1
Walter Yeller Weller,647,687,Judge Reinhold,708,295,RGO,392,B4,2,0,0,0,-2.87%,2.87%,0,0,0,54,5,2,PIT,SDP,RGO,RGO,PO,1
Caleb Aiken,324,607,Matt Himynamis,361,998,RGO,391,T5,0,0,0,0,-4.31%,4.31%,0,0,0,55,5,2,SDP,PIT,RGO,RGO,PO,1
Mike Fruitstand,772,789,Matt Himynamis,361,177,RGO,388,T5,1,0,0,0,-3.90%,3.90%,0,0,0,55,5,2,SDP,PIT,RGO,RGO,PO,1
Girth Brooks,161,883,Matt Himynamis,361,846,2B,37,T5,2,0,0,0,5.53%,-5.53%,0,0,0,55,5,2,SDP,PIT,2B,2B,2B,1
Primal Cookie,779,512,Matt Himynamis,361,634,BB,122,T5,2,2,0,0,2.14%,-2.14%,0,0,0,55,5,2,SDP,PIT,BB,BB,1B,1
Freddie Huff,1813,800,Matt Himynamis,361,400,PO,400,T5,2,4,0,0,-11.18%,11.18%,0,0,0,55,5,2,SDP,PIT,PO,PO,RGO,1
Revan Skywalker,479,433,Judge Reinhold,708,42,RGO,391,B5,0,0,0,0,-4.12%,4.12%,0,0,0,56,5,2,PIT,SDP,RGO,RGO,PO,1
Cole Schmole,654,279,Judge Reinhold,708,706,RGO,427,B5,1,0,0,0,-3.89%,3.89%,0,0,0,56,5,2,PIT,SDP,RGO,RGO,RGO,1
Aidan Myers,1960,215,Judge Reinhold,708,565,K,350,B5,2,0,0,0,-3.68%,3.68%,0,0,0,56,5,2,PIT,SDP,K,K,K,1
Michael Scarn,746,917,Matt Himynamis,361,167,FO,250,T6,0,0,0,0,-5.44%,5.44%,0,0,0,57,5,2,SDP,PIT,FO,FO,FO,1
Clarinet Clarinet,672,433,Matt Himynamis,361,577,BB,144,T6,1,0,0,0,3.75%,-3.75%,0,0,1,57,5,2,SDP,PIT,BB,BB,BB,1
Clarinet Clarinet,672,125,Matt Himynamis,361,254,SB,129,T6,1,1,0,0,6.08%,-6.08%,0,1,0,57,5,2,SDP,PIT,Steal 2B,Steal 2B,SB,4
Keyo,331,963,Matt Himynamis,361,854,BB,109,T6,1,2,0,0,0.60%,-0.60%,0,0,0,57,5,2,SDP,PIT,BB,1B,1B,1
Cam'ron,525,805,Matt Himynamis,361,963,FO,158,T6,1,4,0,0,-6.53%,6.53%,0,0,0,57,5,2,SDP,PIT,FO,FO,BB,1
Caleb Aiken,324,550,Matt Himynamis,361,456,1B,94,T6,2,4,0,0,33.29%,-33.29%,1,0,0,57,5,2,SDP,PIT,1B,1B,1B,1
Mike Fruitstand,772,42,Matt Himynamis,361,257,FO,215,T6,2,5,0,1,-4.45%,4.45%,0,0,0,57,5,2,SDP,PIT,FO,FO,FO,1
Jonny Mac,1698,369,Judge Reinhold,708,869,LGO,500,B6,0,0,0,1,-8.33%,8.33%,0,0,0,58,5,2,PIT,SDP,LGO,LGO,LGO,1
Lance Lummox,314,926,Judge Reinhold,708,815,1B,111,B6,1,0,0,1,7.39%,-7.39%,0,0,0,58,5,2,PIT,SDP,1B,1B,1B,1
Lance Lummox,314,333,Judge Reinhold,708,147,SB,186,B6,1,1,0,1,8.74%,-8.74%,0,0,0,58,5,2,PIT,SDP,Steal 2B,Steal 2B,SB,4
Garitek,307,190,Judge Reinhold,708,723,LGO,467,B6,1,2,0,1,-12.64%,12.64%,0,0,0,58,5,2,PIT,SDP,LGO,LGO,LGO,1
Moose McCracken,308,845,Judge Reinhold,708,406,LGO,439,B6,2,2,0,1,-17.90%,17.90%,0,0,0,58,5,2,PIT,SDP,LGO,LGO,RGO,1
Mecha Vulfzilla,265,666,Joey McCarty,390,1,K,335,T1,0,0,0,0,-2.51%,2.51%,0,0,0,59,6,2,COL,MTL,K,K,K,1
Jason Varitek,1810,904,Joey McCarty,390,701,FO,203,T1,1,0,0,0,-2.18%,2.18%,0,0,0,59,6,2,COL,MTL,FO,FO,FO,1
Pedro Cerrano-Spaz,1798,545,Joey McCarty,390,904,K,359,T1,2,0,0,0,-1.76%,1.76%,0,0,0,59,6,2,COL,MTL,K,PO,K,1
Bob Robb,90,223,Garrett Evans,75,755,RGO,468,B1,0,0,0,0,-2.48%,2.48%,0,0,0,60,6,2,MTL,COL,RGO,RGO,LGO,1
Emerson Austin,703,585,Garrett Evans,75,325,FO,260,B1,1,0,0,0,-2.17%,2.17%,0,0,0,60,6,2,MTL,COL,FO,FO,FO,1
Hannibal Bligh,1724,666,Garrett Evans,75,420,FO,246,B1,2,0,0,0,-1.79%,1.79%,0,0,0,60,6,2,MTL,COL,FO,FO,FO,1
Dick McScrotington,81,503,Joey McCarty,390,904,RGO,401,T2,0,0,0,0,-2.72%,2.72%,0,0,0,61,6,2,COL,MTL,RGO,RGO,RGO,1
Mo Jungo,1814,613,Joey McCarty,390,441,FO,172,T2,1,0,0,0,-2.40%,2.40%,0,0,0,61,6,2,COL,MTL,FO,FO,BB,1
Steel Pipe Simpson,80,312,Joey McCarty,390,619,K,307,T2,2,0,0,0,-1.99%,1.99%,0,0,0,61,6,2,COL,MTL,K,K,K,1
Alaric Davis,697,746,Garrett Evans,75,143,K,397,B2,0,0,0,0,-2.72%,2.72%,0,0,0,62,6,2,MTL,COL,K,K,PO,1
Iris Solstice,401,768,Garrett Evans,75,813,2B,45,B2,1,0,0,0,5.06%,-5.06%,0,0,0,62,6,2,MTL,COL,2B,2B,2B,1
KlentakPay TheFuckingTax,1700,386,Garrett Evans,75,666,FO,280,B2,1,2,0,0,-4.04%,4.04%,0,0,0,62,6,2,MTL,COL,FO,K,FO,1
Catfish O'Acid,406,552,Garrett Evans,75,834,K,282,B2,2,2,0,0,-5.43%,5.43%,0,0,0,62,6,2,MTL,COL,K,K,FO,1
Kirby Birch,1800,14,Joey McCarty,390,571,RGO,443,T3,0,0,0,0,-3.03%,3.03%,0,0,0,63,6,2,COL,MTL,RGO,RGO,RGO,1
Edward Duncan,620,241,Joey McCarty,390,311,2B,70,T3,1,0,0,0,5.58%,-5.58%,0,0,0,63,6,2,COL,MTL,2B,1B,1B,1
Vinny Vedecci,2,111,Joey McCarty,390,384,FO,273,T3,1,2,0,0,-4.62%,4.62%,0,0,0,63,6,2,COL,MTL,FO,FO,FO,1
Mecha Vulfzilla,265,266,Joey McCarty,390,481,FO,215,T3,2,2,0,0,-6.01%,6.01%,0,0,0,63,6,2,COL,MTL,FO,FO,FO,1
Homer Pimpson,144,553,Garrett Evans,75,264,FO,289,B3,0,0,0,0,-3.07%,3.07%,0,0,0,64,6,2,MTL,COL,FO,FO,K,1
Oregano Moon,2277,69,Garrett Evans,75,734,K,335,B3,1,0,0,0,-2.77%,2.77%,0,0,0,64,6,2,MTL,COL,K,K,K,1
Bob Robb,90,999,Garrett Evans,75,69,2B,70,B3,2,0,0,0,3.90%,-3.90%,0,1,1,64,6,2,MTL,COL,2B,2B,1B,1
Emerson Austin,703,222,Garrett Evans,75,222,HR,0,B3,2,2,0,0,25.20%,-25.20%,2,1,1,64,6,2,MTL,COL,HR,HR,HR,1
Hannibal Bligh,1724,777,Garrett Evans,75,641,BB,136,B3,2,0,2,0,0.98%,-0.98%,0,0,0,64,6,2,MTL,COL,BB,BB,1B,1
Alaric Davis,697,420,Garrett Evans,75,1,PO,419,B3,2,1,2,0,-2.03%,2.03%,0,0,0,64,6,2,MTL,COL,PO,PO,RGO,1
Jason Varitek,1810,756,Joey McCarty,390,114,K,358,T4,0,0,2,0,-3.22%,3.22%,0,0,0,65,6,2,COL,MTL,K,K,K,1
Pedro Cerrano-Spaz,1798,875,Joey McCarty,390,881,HR,6,T4,1,0,2,0,11.51%,-11.51%,1,1,1,65,6,2,COL,MTL,HR,HR,HR,1
Dick McScrotington,81,244,Joey McCarty,390,933,K,311,T4,1,0,2,1,-3.37%,3.37%,0,0,0,65,6,2,COL,MTL,K,K,K,1
