Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Boomer Fisher,2933,602,Joel Justice,2738,749,BB,147,T2,0,0,0,0,3.09%,-3.09%,0,0,15,2,1,BOS,OAK,BB,FO,BB,,,,,1
Hess Nahstee,443,444,Joel Justice,2738,890,DP,446,T2,0,1,0,0,-8.21%,8.21%,0,0,15,2,1,BOS,OAK,LGO,LGO,DP,,,,,1
Justin Time,2886,890,Joel Justice,2738,234,K,344,T2,2,0,0,0,-1.99%,1.99%,0,0,15,2,1,BOS,OAK,K,K,K,,,,,1
Pang Winn,713,563,William T. Striker,2867,140,RGO,423,B2,0,0,0,0,-2.72%,2.72%,0,0,16,2,1,OAK,BOS,RGO,RGO,RGO,,,,,1
Total Dial,3013,301,William T. Striker,2867,447,BB,146,B2,1,0,0,0,2.47%,-2.47%,0,0,16,2,1,OAK,BOS,BB,FO,BB,,,,,1
Joey Motto,2964,851,William T. Striker,2867,333,DP,482,B2,1,1,0,0,-6.88%,6.88%,0,0,16,2,1,OAK,BOS,LGO,LGO,DP,,,,,1
Hippo Jars,2902,490,Joel Justice,2738,1,LGO,489,T3,0,0,0,0,-3.03%,3.03%,0,0,17,2,1,BOS,OAK,LGO,LGO,LGO,,,,,1
Luke Skywalker,2251,2,Joel Justice,2738,151,FO,149,T3,1,0,0,0,-2.74%,2.74%,0,0,17,2,1,BOS,OAK,FO,FO,BB,,,,,1
Dixon Uraz,34,777,Joel Justice,2738,351,PO,426,T3,2,0,0,0,-2.31%,2.31%,0,0,17,2,1,BOS,OAK,PO,PO,RGO,,,,,1
Sierra Hightower,776,447,William T. Striker,2867,22,RGO,425,B3,0,0,0,0,-3.07%,3.07%,0,0,18,2,1,OAK,BOS,RGO,RGO,RGO,,,,,1
Willie Gardner,2856,681,William T. Striker,2867,622,2B,59,B3,1,0,0,0,5.79%,-5.79%,0,0,18,2,1,OAK,BOS,2B,2B,2B,,,,,1
Hitgood McChunky,2893,120,William T. Striker,2867,622,LO,498,B3,1,2,0,0,-10.83%,10.83%,0,0,18,2,1,OAK,BOS,LGO,LGO,LGO,,,,,1
Tendaji Okoye,813,151,Joel Justice,2738,405,K,254,T4,0,0,0,0,-3.58%,3.58%,0,0,19,2,1,BOS,OAK,K,K,FO,,,,,1
Matt Taylor,780,105,Joel Justice,2738,619,LGO,486,T4,1,0,0,0,-3.19%,3.19%,0,0,19,2,1,BOS,OAK,LGO,LGO,LGO,,,,,1
Toky Oto,2773,42,Joel Justice,2738,782,K,260,T4,2,0,0,0,-2.75%,2.75%,0,0,19,2,1,BOS,OAK,K,K,FO,,,,,1
Kries Von Kriestalhauser,2959,811,William T. Striker,2867,822,HR,11,B4,0,0,0,0,18.66%,-18.66%,1,1,20,2,1,OAK,BOS,HR,HR,HR,,,,2867,1
Teddy Bigstick,2722,521,William T. Striker,2867,900,RGO,379,B4,0,0,1,0,-1.87%,1.87%,0,0,20,2,1,OAK,BOS,RGO,RGO,PO,,,,,1
Peter Hoomanawanui,2504,256,William T. Striker,2867,615,RGO,359,B4,1,0,1,0,-1.74%,1.74%,0,0,20,2,1,OAK,BOS,RGO,RGO,K,,,,,1
Pang Winn,713,32,William T. Striker,2867,712,K,320,B4,2,0,1,0,-1.49%,1.49%,0,0,20,2,1,OAK,BOS,K,K,K,,,,,1
Boomer Fisher,2933,106,Joel Justice,2738,624,LGO,482,T5,0,0,1,0,-4.98%,4.98%,0,0,21,2,1,BOS,OAK,LGO,LGO,LGO,,,,,1
Hess Nahstee,443,911,Joel Justice,2738,333,RGO,422,T5,1,0,1,0,-4.32%,4.32%,0,0,21,2,1,BOS,OAK,RGO,RGO,RGO,,,,,1
Justin Time,2886,999,Joel Justice,2738,447,RGO,448,T5,2,0,1,0,-3.61%,3.61%,0,0,21,2,1,BOS,OAK,RGO,RGO,RGO,,,,,1
Total Dial,3013,619,William T. Striker,2867,360,FO,259,B5,0,0,1,0,-1.37%,1.37%,0,0,22,2,1,OAK,BOS,FO,FO,FO,,,,,1
Joey Motto,2964,91,William T. Striker,2867,619,LGO,472,B5,1,0,1,0,-1.30%,1.30%,0,0,22,2,1,OAK,BOS,LGO,LGO,LGO,,,,,1
Sierra Hightower,776,340,William T. Striker,2867,493,FO,153,B5,2,0,1,0,-1.14%,1.14%,0,0,22,2,1,OAK,BOS,FO,FO,BB,,,,,1
Hippo Jars,2902,747,Joel Justice,2738,785,2B,38,T6,0,0,1,0,17.39%,-17.39%,0,0,23,2,1,BOS,OAK,2B,2B,2B,,,,,1
Luke Skywalker,2251,633,Joel Justice,2738,66,RGO,433,T6,0,2,1,0,-2.82%,2.82%,0,0,23,2,1,BOS,OAK,RGO,RGO,RGO,,,,,1
Dixon Uraz,34,707,Joel Justice,2738,365,K,342,T6,1,3,1,0,-18.86%,18.86%,0,0,23,2,1,BOS,OAK,K,K,K,,,,,2
Tendaji Okoye,813,308,Joel Justice,2738,911,K,397,T6,2,3,1,0,-13.57%,13.57%,0,0,23,2,1,BOS,OAK,K,K,PO,,,,,1
Anthony Esposito III,2950,110,im sleve,1786,464,PO,354,T1,0,0,0,0,-2.51%,2.51%,0,0,24,3,1,MIA,PHI,PO,PO,K,,,,,1
Roosevelt Sandoval,2789,515,im sleve,1786,82,LGO,433,T1,1,0,0,0,-2.18%,2.18%,0,0,24,3,1,MIA,PHI,LGO,LGO,RGO,,,,,1
Captain Trash,2696,460,im sleve,1786,929,LGO,469,T1,2,0,0,0,-1.76%,1.76%,0,0,24,3,1,MIA,PHI,LGO,LGO,LGO,,,,,1
Mr. Plow,2646,113,Artanis Jones,37,946,BB,167,B1,0,0,0,0,2.76%,-2.76%,0,0,25,3,1,PHI,MIA,BB,FO,BB,,,,,1
Carlos Narvaez Jr.,2962,271,Artanis Jones,37,817,DP,454,B1,0,1,0,0,-7.41%,7.41%,0,0,25,3,1,PHI,MIA,RGO,RGO,DP,,,,,1
XxBlaise Bailey Finnegan IIIxX,2897,711,Artanis Jones,37,577,1B,134,B1,2,0,0,0,1.90%,-1.90%,0,0,25,3,1,PHI,MIA,1B,1B,1B,,,,,1
Stupido Einsteiny,2866,348,Artanis Jones,37,946,PO,402,B1,2,1,0,0,-3.69%,3.69%,0,0,25,3,1,PHI,MIA,PO,PO,RGO,,,,,1
Cole Slaw,3040,1000,im sleve,1786,264,K,264,T2,0,0,0,0,-2.72%,2.72%,0,0,26,3,1,MIA,PHI,K,FO,FO,,,,,1
Grand Slamdalf,265,866,im sleve,1786,91,FO,225,T2,1,0,0,0,-2.40%,2.40%,0,0,26,3,1,MIA,PHI,FO,FO,FO,,,,,1
Lane Drew,190,122,im sleve,1786,1000,1B,122,T2,2,0,0,0,2.15%,-2.15%,0,0,26,3,1,MIA,PHI,1B,1B,1B,,,,,1
Lane Drew,190,300,im sleve,1786,937,CS,363,T2,2,1,0,0,-4.14%,4.14%,0,0,26,3,1,MIA,PHI,CS 2B,CS 2B,CS,,,,,4
Dakota Carolina Montana,65,48,Artanis Jones,37,1000,2B,48,B2,0,0,0,0,6.77%,-6.77%,0,1,27,3,1,PHI,MIA,2B,2B,2B,,,,,1
Q Kimbrel,20,477,Artanis Jones,37,272,FO,205,B2,0,2,0,0,-4.43%,4.43%,0,0,27,3,1,PHI,MIA,FO,FO,FO,,,,,1
DeAaron Taylor,2824,809,Artanis Jones,37,302,LGO,493,B2,1,2,0,0,-4.04%,4.04%,0,0,27,3,1,PHI,MIA,LGO,LGO,LGO,,,,,1
River James,2857,101,Artanis Jones,37,193,1B,92,B2,2,2,0,0,12.80%,-12.80%,1,0,27,3,1,PHI,MIA,1B,1B,1B,,37,,,1
TheRedKnight,2974,250,Artanis Jones,37,381,BB,131,B2,2,1,1,0,2.10%,-2.10%,0,0,27,3,1,PHI,MIA,BB,FO,1B,,,,,1
Mr. Plow,2646,830,Artanis Jones,37,515,K,315,B2,2,4,1,0,-5.26%,5.26%,0,0,27,3,1,PHI,MIA,K,K,K,,,,,1
Casper Greenwell,2825,758,im sleve,1786,1000,FO,242,T3,0,0,1,0,-3.32%,3.32%,0,0,28,3,1,MIA,PHI,FO,FO,FO,,,,,1
Baron Samedi,2135,300,im sleve,1786,791,LGO,491,T3,1,0,1,0,-2.85%,2.85%,0,0,28,3,1,MIA,PHI,LGO,LGO,LGO,,,,,1
Hakuna Moncada,2501,129,im sleve,1786,644,LGO,485,T3,2,0,1,0,-2.26%,2.26%,0,0,28,3,1,MIA,PHI,LGO,LGO,LGO,,,,,1
Carlos Narvaez Jr.,2962,187,Artanis Jones,37,674,LGO,487,B3,0,0,1,0,-2.04%,2.04%,0,0,29,3,1,PHI,MIA,LGO,LGO,LGO,,,,,1
XxBlaise Bailey Finnegan IIIxX,2897,13,Artanis Jones,37,828,FO,185,B3,1,0,1,0,-1.80%,1.80%,0,0,29,3,1,PHI,MIA,FO,FO,FO,,,,,1
Stupido Einsteiny,2866,333,Artanis Jones,37,819,LGO,486,B3,2,0,1,0,-1.62%,1.62%,0,0,29,3,1,PHI,MIA,LGO,LGO,LGO,,,,,1
Anthony Esposito III,2950,901,im sleve,1786,464,LGO,437,T4,0,0,1,0,-3.96%,3.96%,0,0,30,3,1,MIA,PHI,LGO,LGO,RGO,,,,,1
Roosevelt Sandoval,2789,377,im sleve,1786,804,RGO,427,T4,1,0,1,0,-3.37%,3.37%,0,0,30,3,1,MIA,PHI,RGO,RGO,RGO,,,,,1
Captain Trash,2696,920,im sleve,1786,203,K,283,T4,2,0,1,0,-2.78%,2.78%,0,0,30,3,1,MIA,PHI,K,K,FO,,,,,1
Dakota Carolina Montana,65,624,Artanis Jones,37,566,2B,58,B4,0,0,1,0,4.77%,-4.77%,0,1,31,3,1,PHI,MIA,2B,2B,2B,,,,,1
Q Kimbrel,20,892,Artanis Jones,37,258,PO,366,B4,0,2,1,0,-3.00%,3.00%,0,0,31,3,1,PHI,MIA,PO,PO,K,,,,,1
DeAaron Taylor,2824,587,Artanis Jones,37,752,BB,165,B4,1,2,1,0,0.68%,-0.68%,0,1,31,3,1,PHI,MIA,BB,FO,BB,,,,,1
River James,2857,889,Artanis Jones,37,201,K,312,B4,1,4,1,0,-2.48%,2.48%,0,0,31,3,1,PHI,MIA,K,K,K,,,,,1
Tasker Morris,287,629,Artanis Jones,37,774,BB,145,B4,2,4,1,0,1.78%,-1.78%,0,1,31,3,1,PHI,MIA,BB,FO,BB,,,,,1
Mr. Plow,2646,707,Commie Ohtani,39,774,1B,67,B4,2,7,1,0,13.99%,-13.99%,2,0,31,3,1,PHI,MIA,1B,1B,1B,37,37,,,1
Carlos Narvaez Jr.,2962,333,Commie Ohtani,39,441,1B,108,B4,2,5,3,0,2.84%,-2.84%,1,0,31,3,1,PHI,MIA,1B,1B,1B,37,,,,1
XxBlaise Bailey Finnegan IIIxX,2897,212,Commie Ohtani,39,44,BB,168,B4,2,5,4,0,0.41%,-0.41%,0,0,31,3,1,PHI,MIA,BB,FO,BB,,,,,1
Stupido Einsteiny,2866,169,Commie Ohtani,39,770,PO,399,B4,2,7,4,0,-1.12%,1.12%,0,0,31,3,1,PHI,MIA,PO,PO,PO,,,,,1
Cole Slaw,3040,430,im sleve,1786,464,2B,34,T5,0,0,4,0,3.50%,-3.50%,0,1,32,3,1,MIA,PHI,2B,3B,2B,,,,,1
Grand Slamdalf,265,12,im sleve,1786,609,RGO,403,T5,0,2,4,0,-2.01%,2.01%,0,0,32,3,1,MIA,PHI,RGO,RGO,RGO,,,,,1
Lane Drew,190,630,im sleve,1786,733,1B,103,T5,1,3,4,0,2.86%,-2.86%,1,0,32,3,1,MIA,PHI,1B,1B,1B,1786,,,,2
Casper Greenwell,2825,5,im sleve,1786,789,FO,216,T5,1,1,4,1,-2.79%,2.79%,0,0,32,3,1,MIA,PHI,FO,FO,FO,,,,,1
Baron Samedi,2135,761,im sleve,1786,191,RGO,430,T5,2,1,4,1,-2.62%,2.62%,0,0,32,3,1,MIA,PHI,RGO,RGO,RGO,,,,,1
Dakota Carolina Montana,65,555,Commie Ohtani,39,110,RGO,445,B5,0,0,4,1,-0.30%,0.30%,0,0,33,3,1,PHI,MIA,RGO,RGO,RGO,,,,,1
Q Kimbrel,20,77,Commie Ohtani,39,983,1B,94,B5,1,0,4,1,0.22%,-0.22%,0,1,33,3,1,PHI,MIA,1B,1B,1B,,,,,1
DeAaron Taylor,2824,200,Commie Ohtani,39,176,2B,24,B5,1,1,4,1,1.18%,-1.18%,0,1,33,3,1,PHI,MIA,2B,2B,HR,,,,,1
River James,2857,909,Commie Ohtani,39,506,PO,403,B5,1,6,4,1,-1.11%,1.11%,0,0,33,3,1,PHI,MIA,PO,PO,RGO,,,,,2
Tasker Morris,287,240,Commie Ohtani,39,270,2B,30,B5,2,6,4,1,2.41%,-2.41%,2,0,33,3,1,PHI,MIA,2B,2B,2B,39,39,,,1
Mr. Plow,2646,49,Commie Ohtani,39,468,RGO,419,B5,2,2,6,1,-0.15%,0.15%,0,0,33,3,1,PHI,MIA,RGO,RGO,RGO,,,,,1
Hakuna Moncada,2501,762,im sleve,1786,202,RGO,440,T6,0,0,6,1,-0.40%,0.40%,0,0,34,3,1,MIA,PHI,RGO,RGO,RGO,,,,,1
Anthony Esposito III,2950,387,im sleve,1786,803,RGO,416,T6,1,0,6,1,-0.22%,0.22%,0,0,34,3,1,MIA,PHI,RGO,RGO,RGO,,,,,1
Roosevelt Sandoval,2789,999,im sleve,1786,294,K,295,T6,2,0,6,1,-0.06%,0.06%,0,0,34,3,1,MIA,PHI,K,K,K,,,,,1
Tex Wolffe,2486,666,Guillermo Griffey III,2829,555,1B,111,T1,0,0,0,0,2.91%,-2.91%,0,0,35,4,1,ATL,STL,1B,1B,1B,,,,,1
TheGreatBambi,3056,980,Guillermo Griffey III,2829,326,PO,346,T1,0,1,0,0,-2.99%,2.99%,0,0,35,4,1,ATL,STL,PO,PO,K,,,,,1
Jason Sensation,3021,111,Guillermo Griffey III,2829,531,DP,420,T1,1,1,0,0,-6.37%,6.37%,0,0,35,4,1,ATL,STL,RGO,RGO,DP,,,,,1
Jacques François,2754,785,Triscuit McBiskit,2855,9,FO,224,B1,0,0,0,0,-2.48%,2.48%,0,0,36,4,1,STL,ATL,FO,FO,FO,,,,,1
Thomas Nova,1,901,Triscuit McBiskit,2855,102,FO,201,B1,1,0,0,0,-2.17%,2.17%,0,0,36,4,1,STL,ATL,FO,FO,FO,,,,,1
Dayman Nightman,2833,728,Triscuit McBiskit,2855,565,BB,163,B1,2,0,0,0,1.90%,-1.90%,0,0,36,4,1,STL,ATL,BB,FO,BB,,,,,1
Dayman Nightman,2833,349,Triscuit McBiskit,2855,686,CS,337,B1,2,1,0,0,-3.69%,3.69%,0,0,36,4,1,STL,ATL,CS 2B,CS 2B,CS,,,,,4
Kenny Kawaguchi,783,922,Guillermo Griffey III,2829,327,RGO,405,T2,0,0,0,0,-2.72%,2.72%,0,0,37,4,1,ATL,STL,RGO,RGO,RGO,,,,,1
Mack MacMack,2651,725,Guillermo Griffey III,2829,372,PO,353,T2,1,0,0,0,-2.40%,2.40%,0,0,37,4,1,ATL,STL,PO,PO,K,,,,,1
Brian Taylor,1838,188,Guillermo Griffey III,2829,912,K,276,T2,2,0,0,0,-1.99%,1.99%,0,0,37,4,1,ATL,STL,K,K,FO,,,,,1
Buzz Carlton,2800,245,Triscuit McBiskit,2855,901,K,344,B2,0,0,0,0,-2.72%,2.72%,0,0,38,4,1,STL,ATL,K,K,K,,,,,1
Salsa Steve,2835,24,Triscuit McBiskit,2855,208,FO,184,B2,1,0,0,0,-2.38%,2.38%,0,0,38,4,1,STL,ATL,FO,FO,FO,,,,,1
Monty Johnson,557,675,Triscuit McBiskit,2855,627,2B,48,B2,2,0,0,0,3.40%,-3.40%,0,0,38,4,1,STL,ATL,2B,2B,2B,,,,,1
Spencer Hart,2768,472,Triscuit McBiskit,2855,935,LGO,463,B2,2,2,0,0,-5.43%,5.43%,0,0,38,4,1,STL,ATL,LGO,LGO,LGO,,,,,1
Seymour Asses,2642,212,Guillermo Griffey III,2829,208,HR,4,T3,0,0,0,0,14.90%,-14.90%,1,1,39,4,1,ATL,STL,HR,HR,HR,,,,2829,1
IBO Bust,186,683,Guillermo Griffey III,2829,241,LGO,442,T3,0,0,0,1,-2.37%,2.37%,0,0,39,4,1,ATL,STL,LGO,LGO,RGO,,,,,1
Bonesy McSkellington,1733,42,Guillermo Griffey III,2829,65,3B,23,T3,1,0,0,1,7.86%,-7.86%,0,1,39,4,1,ATL,STL,3B,3B,HR,,,,,1
Tex Wolffe,2486,626,Guillermo Griffey III,2829,409,Sac,217,T3,1,3,0,1,3.06%,-3.06%,1,0,39,4,1,ATL,STL,FO,FO,Sac,2829,,,,2
TheGreatBambi,3056,282,Guillermo Griffey III,2829,304,3B,22,T3,2,0,0,2,2.11%,-2.11%,0,0,39,4,1,ATL,STL,3B,3B,HR,,,,,1
