Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Superbone Threefinger,413,369,J.J. Guemes,207,555,FO,186,T4,2,0,0,6,-0.14%,0.14%,0,0,0,76,7,3,LMN,WWC,FO,FO,FO,1
Ping Pong,530,300,Holden Summers,10,582,PO,282,B4,0,0,0,6,-0.78%,0.78%,0,0,0,77,7,3,WWC,LMN,PO,PO,FO,1
Skippy Schumaker,1843,288,Holden Summers,10,973,K,315,B4,1,0,0,6,-0.78%,0.78%,0,0,0,77,7,3,WWC,LMN,K,K,K,1
Francis Swagger,610,749,Holden Summers,10,173,LGO,424,B4,2,0,0,6,-0.23%,0.23%,0,0,0,77,7,3,WWC,LMN,LGO,LGO,RGO,1
Larry Longshot,32,959,J.J. Guemes,207,888,BB,71,T5,0,0,0,6,0.14%,-0.14%,0,0,0,78,7,3,LMN,WWC,BB,BB,1B,1
Xerxes Dalin,474,405,J.J. Guemes,207,888,DP,483,T5,0,1,0,6,-0.40%,0.40%,0,0,0,78,7,3,LMN,WWC,LGO,LGO,DP,1
Arthur Vandelay,518,888,J.J. Guemes,207,719,FO,169,T5,2,0,0,6,-0.09%,0.09%,0,0,0,78,7,3,LMN,WWC,FO,FO,BB,1
J.J. Guemes,207,831,Holden Summers,10,7,BB,176,B5,0,0,0,6,1.18%,-1.18%,0,0,0,79,7,3,WWC,LMN,BB,BB,BB,1
Alex Peters,187,334,Holden Summers,10,854,DP,480,B5,0,1,0,6,-2.39%,2.39%,0,0,0,79,7,3,WWC,LMN,LGO,LGO,DP,1
Roland Kholin,583,880,Holden Summers,10,111,FO,231,B5,2,0,0,6,-0.15%,0.15%,0,0,0,79,7,3,WWC,LMN,FO,FO,FO,1
Dirtbag Darrell,262,333,J.J. Guemes,207,13,K,320,T6,0,0,0,6,-0.01%,0.01%,0,0,0,80,7,3,LMN,WWC,K,K,K,1
Lloyd Gross,135,777,J.J. Guemes,207,900,BB,123,T6,1,0,0,6,0.06%,-0.06%,0,1,1,80,7,3,LMN,WWC,BB,BB,1B,1
Isaac Snowbender,339,420,J.J. Guemes,207,400,HR,20,T6,1,1,0,6,-0.06%,0.06%,2,1,1,80,7,3,LMN,WWC,HR,HR,HR,1
Skye McDowell,264,293,Francis Swagger,610,29,K,264,T6,1,0,0,8,-0.07%,0.07%,0,0,0,80,7,3,LMN,WWC,K,K,FO,1
Michael Ikenberry,63,1000,Francis Swagger,610,617,K,383,T6,2,0,0,8,-0.07%,0.07%,0,0,0,80,7,3,LMN,WWC,K,K,PO,1
Johnny Hendrix,600,141,Holden Summers,10,601,LGO,460,B6,0,0,0,8,-0.38%,0.38%,0,0,0,81,7,3,WWC,LMN,LGO,LGO,LGO,1
Paddy O'Connor,549,320,Holden Summers,10,367,2B,47,B6,1,0,0,8,0.35%,-0.35%,0,0,0,81,7,3,WWC,LMN,2B,1B,2B,1
Ferret McGivins,1706,808,Holden Summers,10,504,K,304,B6,1,2,0,8,-0.49%,0.49%,0,0,0,81,7,3,WWC,LMN,K,K,K,1
Ping Pong,530,11,Holden Summers,10,211,FO,200,B6,2,2,0,8,-0.07%,0.07%,0,0,0,81,7,3,WWC,LMN,FO,FO,FO,1
