Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Barry McKockiner,612,188,Skinny Bear Brown Hill,752,386,FO,198,B5,2,2,4,1,-0.67%,0.67%,0,0,2366,201,14,SEA,TEX,FO,FO,FO,1
Barney Summers,414,601,Pivot Geller,713,211,PO,390,T6,0,0,4,1,-1.94%,1.94%,0,0,2367,201,14,TEX,SEA,PO,PO,PO,1
Joe Trundle,421,979,Pivot Geller,713,260,K,281,T6,1,0,4,1,-1.28%,1.28%,0,0,2367,201,14,TEX,SEA,K,K,FO,1
Duke McCracken,417,69,Pivot Geller,713,928,FO,141,T6,2,0,4,1,-0.54%,0.54%,0,0,2367,201,14,TEX,SEA,FO,FO,BB,1
Chris P. Bacon,210,217,Ducci Verducci,70,512,PO,295,T1,0,0,0,0,-2.51%,2.51%,0,0,2368,202,14,LAA,CHC,PO,PO,K,1
Dr. Tuna Altuna,533,325,Ducci Verducci,70,109,FO,216,T1,1,0,0,0,-2.18%,2.18%,0,0,2368,202,14,LAA,CHC,FO,FO,FO,1
Whit Merto,162,799,Ducci Verducci,70,46,FO,247,T1,2,0,0,0,-1.76%,1.76%,0,0,2368,202,14,LAA,CHC,FO,K,FO,1
Erin Pickles,68,975,Randy Pole,714,194,K,219,B1,0,0,0,0,-2.48%,2.48%,0,0,2369,202,14,CHC,LAA,K,FO,FO,1
Isaac Saffron,377,808,Randy Pole,714,946,BB,138,B1,1,0,0,0,2.28%,-2.28%,0,0,2369,202,14,CHC,LAA,BB,BB,BB,1
Isaac Saffron,377,850,Randy Pole,714,201,CS,351,B1,1,1,0,0,-4.45%,4.45%,0,0,2369,202,14,CHC,LAA,CS 2B,CS 2B,CS,4
Nikola Tefla,719,770,Randy Pole,714,515,K,255,B1,2,0,0,0,-1.79%,1.79%,0,0,2369,202,14,CHC,LAA,K,K,FO,1
Girth Brooks,161,171,Ducci Verducci,70,916,K,255,T2,0,0,0,0,-2.72%,2.72%,0,0,2370,202,14,LAA,CHC,K,K,FO,1
Peter Peckershine,389,560,Ducci Verducci,70,702,1B,142,T2,1,0,0,0,2.57%,-2.57%,0,0,2370,202,14,LAA,CHC,1B,1B,BB,1
Joe Nastasi,614,13,Ducci Verducci,70,245,FO,232,T2,1,1,0,0,-2.82%,2.82%,0,0,2370,202,14,LAA,CHC,FO,FO,FO,1
Owen Thirlwell,156,999,Ducci Verducci,70,103,1B,104,T2,2,1,0,0,3.19%,-3.19%,0,0,2370,202,14,LAA,CHC,1B,1B,1B,1
Balow Average,761,264,Ducci Verducci,70,847,LGO,417,T2,2,5,0,0,-7.33%,7.33%,0,0,2370,202,14,LAA,CHC,LGO,LGO,RGO,1
Leonard Boyfriend,67,1,Randy Pole,714,612,K,389,B2,0,0,0,0,-2.72%,2.72%,0,0,2371,202,14,CHC,LAA,K,K,PO,1
Nikki Falke,155,447,Randy Pole,714,789,K,342,B2,1,0,0,0,-2.38%,2.38%,0,0,2371,202,14,CHC,LAA,K,K,K,1
Luther Strangelove III,741,250,Randy Pole,714,395,BB,145,B2,2,0,0,0,2.07%,-2.07%,0,0,2371,202,14,CHC,LAA,BB,BB,BB,1
Good Doggo,522,600,Randy Pole,714,247,K,353,B2,2,1,0,0,-4.10%,4.10%,0,0,2371,202,14,CHC,LAA,K,K,K,1
Kyle Corbett,707,667,Ducci Verducci,70,782,1B,115,T3,0,0,0,0,3.31%,-3.31%,0,1,2372,202,14,LAA,CHC,1B,1B,1B,1
Kyle Corbett,707,607,Ducci Verducci,70,592,SB,15,T3,0,1,0,0,4.40%,-4.40%,0,0,2372,202,14,LAA,CHC,Steal 2B,Steal 2B,SB,4
Chris P. Bacon,210,430,Ducci Verducci,70,487,2B,57,T3,0,2,0,0,13.12%,-13.12%,1,0,2372,202,14,LAA,CHC,2B,2B,2B,1
Dr. Tuna Altuna,533,379,Ducci Verducci,70,823,LGO,444,T3,0,2,0,1,-3.79%,3.79%,0,0,2372,202,14,LAA,CHC,LGO,LGO,RGO,1
Whit Merto,162,266,Ducci Verducci,70,123,1B,143,T3,1,2,0,1,4.67%,-4.67%,0,0,2372,202,14,LAA,CHC,1B,1B,BB,1
Whit Merto,162,400,Ducci Verducci,70,87,CS,313,T3,1,5,0,1,-8.14%,8.14%,0,0,2372,202,14,LAA,CHC,CS 2B,CS 2B,CS,5
Girth Brooks,161,100,Ducci Verducci,70,908,FO,192,T3,2,3,0,1,-4.89%,4.89%,0,0,2372,202,14,LAA,CHC,FO,FO,FO,1
Miroslav,71,42,Randy Pole,714,619,RGO,423,B3,0,0,0,1,-3.58%,3.58%,0,0,2373,202,14,CHC,LAA,RGO,RGO,RGO,1
Scottish Tweegy,292,10,Randy Pole,714,827,FO,183,B3,1,0,0,1,-3.10%,3.10%,0,0,2373,202,14,CHC,LAA,FO,FO,FO,1
Erin Pickles,68,112,Randy Pole,714,946,FO,166,B3,2,0,0,1,-2.59%,2.59%,0,0,2373,202,14,CHC,LAA,FO,FO,BB,1
Peter Peckershine,389,737,Ducci Verducci,70,431,RGO,306,T4,0,0,0,1,-2.44%,2.44%,0,0,2374,202,14,LAA,CHC,RGO,RGO,K,1
Joe Nastasi,614,832,Ducci Verducci,70,617,FO,215,T4,1,0,0,1,-2.13%,2.13%,0,0,2374,202,14,LAA,CHC,FO,FO,FO,1
Owen Thirlwell,156,777,Ducci Verducci,70,512,K,265,T4,2,0,0,1,-1.93%,1.93%,0,0,2374,202,14,LAA,CHC,K,K,FO,1
Isaac Saffron,377,201,Randy Pole,714,12,FO,189,B4,0,0,0,1,-4.38%,4.38%,0,0,2375,202,14,CHC,LAA,FO,FO,FO,1
Nikola Tefla,719,990,Randy Pole,714,332,K,342,B4,1,0,0,1,-3.91%,3.91%,0,0,2375,202,14,CHC,LAA,K,K,K,1
Leonard Boyfriend,67,830,Randy Pole,714,209,K,379,B4,2,0,0,1,-3.24%,3.24%,0,0,2375,202,14,CHC,LAA,K,K,PO,1
Balow Average,761,112,Ducci Verducci,70,37,1B,75,T5,0,0,0,1,2.08%,-2.08%,0,0,2376,202,14,LAA,CHC,1B,2B,1B,1
Kyle Corbett,707,62,Ducci Verducci,70,904,BB,158,T5,0,1,0,1,4.27%,-4.27%,0,0,2376,202,14,LAA,CHC,BB,BB,BB,1
Chris P. Bacon,210,710,Ducci Verducci,70,11,DP,301,T5,0,4,0,1,-7.78%,7.78%,0,0,2376,202,14,LAA,CHC,RGO,RGO,K,1
Dr. Tuna Altuna,533,199,Ducci Verducci,70,601,RGO,402,T5,2,3,0,1,-4.85%,4.85%,0,0,2376,202,14,LAA,CHC,RGO,RGO,RGO,1
Sini Alexander,605,369,Randy Pole,714,208,FO,161,B5,0,0,0,1,-5.77%,5.77%,0,0,2377,202,14,CHC,LAA,FO,FO,BB,1
Luther Strangelove III,741,143,Randy Pole,714,491,K,348,B5,1,0,0,1,-5.16%,5.16%,0,0,2377,202,14,CHC,LAA,K,K,K,1
Good Doggo,522,28,Randy Pole,714,776,K,252,B5,2,0,0,1,-4.45%,4.45%,0,0,2377,202,14,CHC,LAA,K,K,FO,1
Whit Merto,162,505,Ducci Verducci,70,507,HR,2,T6,0,0,0,1,9.59%,-9.59%,1,1,2378,202,14,LAA,CHC,HR,HR,HR,1
Girth Brooks,161,842,Ducci Verducci,70,956,1B,114,T6,0,0,0,2,0.67%,-0.67%,0,0,2378,202,14,LAA,CHC,1B,1B,1B,1
Peter Peckershine,389,69,Ducci Verducci,70,498,DP,429,T6,0,1,0,2,-2.29%,2.29%,0,0,2378,202,14,LAA,CHC,LGO,LGO,DP,1
Joe Nastasi,614,181,Ducci Verducci,70,123,2B,58,T6,2,0,0,2,1.13%,-1.13%,0,0,2378,202,14,LAA,CHC,2B,2B,2B,1
Owen Thirlwell,156,675,Ducci Verducci,70,276,LGO,399,T6,2,2,0,2,-1.82%,1.82%,0,0,2378,202,14,LAA,CHC,LGO,LGO,PO,1
Miroslav,71,555,Randy Pole,714,511,1B,44,B6,0,0,0,2,8.22%,-8.22%,0,0,2379,202,14,CHC,LAA,1B,2B,2B,1
Tonto Kowalski,188,350,Randy Pole,714,606,FO,256,B6,0,1,0,2,-6.06%,6.06%,0,0,2379,202,14,CHC,LAA,FO,FO,FO,1
Erin Pickles,68,750,Randy Pole,714,901,FO,151,B6,1,1,0,2,-6.10%,6.10%,0,0,2379,202,14,CHC,LAA,FO,BB,BB,1
Isaac Saffron,377,174,Randy Pole,714,921,K,253,B6,2,1,0,2,-6.69%,6.69%,0,0,2379,202,14,CHC,LAA,K,K,FO,1
Sam Wood,108,455,WILL THE THRILL,745,829,PO,374,T1,0,0,0,0,-2.51%,2.51%,0,0,2380,203,14,HOU,OAK,PO,K,K,1
Rocco Rudnikov,114,554,WILL THE THRILL,745,757,FO,203,T1,1,0,0,0,-2.18%,2.18%,0,0,2380,203,14,HOU,OAK,FO,FO,FO,1
Riles McGiles,122,404,WILL THE THRILL,745,933,LGO,471,T1,2,0,0,0,-1.76%,1.76%,0,0,2380,203,14,HOU,OAK,LGO,LGO,LGO,1
Shygen Tinybeard,712,901,Derek Bongiovanni,109,257,K,356,B1,0,0,0,0,-2.48%,2.48%,0,0,2381,203,14,OAK,HOU,K,K,K,1
Cal Otter,546,137,Derek Bongiovanni,109,654,LGO,483,B1,1,0,0,0,-2.17%,2.17%,0,0,2381,203,14,OAK,HOU,LGO,LGO,LGO,1
Red Arrow,547,999,Derek Bongiovanni,109,423,RGO,424,B1,2,0,0,0,-1.79%,1.79%,0,0,2381,203,14,OAK,HOU,RGO,RGO,RGO,1
Iama Human,520,713,WILL THE THRILL,745,783,1B,70,T2,0,0,0,0,3.09%,-3.09%,0,0,2382,203,14,HOU,OAK,1B,1B,1B,1
Iama Human,520,666,WILL THE THRILL,745,383,SB,283,T2,0,1,0,0,3.72%,-3.72%,0,0,2382,203,14,HOU,OAK,Steal 2B,Steal 2B,SB,4
Fuzzy Spit,501,833,WILL THE THRILL,745,288,LGO,455,T2,0,2,0,0,-4.42%,4.42%,0,0,2382,203,14,HOU,OAK,LGO,LGO,LGO,1
Ola Gjeilo,119,8,WILL THE THRILL,745,564,LGO,444,T2,1,2,0,0,-4.15%,4.15%,0,0,2382,203,14,HOU,OAK,LGO,LGO,RGO,1
Ayden Davis,696,612,WILL THE THRILL,745,38,RGO,426,T2,2,2,0,0,-5.35%,5.35%,0,0,2382,203,14,HOU,OAK,RGO,RGO,RGO,1
