Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Ovaltine,2542,714,Charlie Bae,293,895,FO,181,B3,1,2,3,3,,,0,0,29,3,2,SCU,NUT,FO,FO,,1
Raylees D. Kraken,2225,234,Charlie Bae,293,530,PO,296,B3,2,2,3,3,,,0,0,29,3,2,SCU,NUT,PO,PO,,1
Dutch Boggs,2625,112,Jerome S. Monroe,2792,200,1B,88,T4,0,0,3,3,,,0,1,30,3,2,NUT,SCU,1B,1B,,1
Freddie Confinedman,2499,877,Jerome S. Monroe,2792,931,2B,54,T4,0,1,3,3,,,0,0,30,3,2,NUT,SCU,2B,2B,,1
Larry Fishmang,2646,930,Jerome S. Monroe,2792,107,Sac,177,T4,0,6,3,3,,,1,0,30,3,2,NUT,SCU,FO,FO,,2
Jerome Peterson,2641,,Francesco Hardgust,2691,,IBB,,T4,1,2,3,4,,,0,0,30,3,2,NUT,SCU,IBB,IBB,,8
Nooooot,2555,600,Francesco Hardgust,2691,317,DP,283,T4,1,4,3,4,,,0,0,30,3,2,NUT,SCU,RGO,RGO,,1
Palfo Salvy,2674,735,Captain Trash,2696,51,K,316,B4,0,0,3,4,,,0,0,31,3,2,SCU,NUT,K,K,,1
Francesco Hardgust,2691,347,Captain Trash,2696,103,FO,244,B4,1,0,3,4,,,0,0,31,3,2,SCU,NUT,FO,FO,,1
Justin P. L. Griffin,2740,155,Captain Trash,2696,616,LGO,461,B4,2,0,3,4,,,0,0,31,3,2,SCU,NUT,LGO,LGO,,1
Noah Diamond,2673,800,Francesco Hardgust,2691,138,PO,338,T5,0,0,3,4,,,0,0,32,3,2,NUT,SCU,PO,PO,,1
Sid Houn,2258,501,Francesco Hardgust,2691,387,1B,114,T5,1,0,3,4,,,0,1,32,3,2,NUT,SCU,1B,1B,,1
Sid Houn,2258,660,Francesco Hardgust,2691,784,SB,124,T5,1,1,3,4,,,0,0,32,3,2,NUT,SCU,Steal 2B,Steal 2B,,4
Mark Schihne,2544,855,Francesco Hardgust,2691,660,FO,195,T5,1,2,3,4,,,0,0,32,3,2,NUT,SCU,FO,FO,,1
Stu PunDous,2487,353,Francesco Hardgust,2691,501,BB,148,T5,2,2,3,4,,,0,0,32,3,2,NUT,SCU,BB,1B,,1
Dutch Boggs,2625,939,Francesco Hardgust,2691,69,1B,130,T5,2,4,3,4,,,1,0,32,3,2,NUT,SCU,1B,1B,,1
Freddie Confinedman,2499,960,Francesco Hardgust,2691,787,FO,173,T5,2,5,3,5,,,0,0,32,3,2,NUT,SCU,FO,FO,,1
Kenny Kawaguchi,783,644,WoodCutter Jones,2524,345,K,299,B5,0,0,3,5,,,0,0,33,3,2,SCU,NUT,K,K,,1
Dottie,770,1000,WoodCutter Jones,2524,987,3B,13,B5,1,0,3,5,,,0,1,33,3,2,SCU,NUT,3B,HR,,1
Lee Luda,2720,990,WoodCutter Jones,2524,1000,HR,10,B5,1,3,3,5,,,2,1,33,3,2,SCU,NUT,HR,HR,,2
Laars Nootbaar jr,2730,850,Jameson Poe,310,568,K,282,B5,1,0,5,5,,,0,0,33,3,2,SCU,NUT,K,K,,1
Ovaltine,2542,787,Jameson Poe,310,175,K,388,B5,2,0,5,5,,,0,0,33,3,2,SCU,NUT,K,K,,1
Larry Fishmang,2646,545,Lee Luda,2720,376,FO,169,T6,0,0,5,5,,,0,0,34,3,2,NUT,SCU,FO,FO,,1
Jerome Peterson,2641,2,Lee Luda,2720,851,FO,151,T6,1,0,5,5,,,0,0,34,3,2,NUT,SCU,FO,FO,,1
Nooooot,2555,275,Lee Luda,2720,370,BB,95,T6,2,0,5,5,,,0,0,34,3,2,NUT,SCU,BB,BB,,1
Noah Diamond,2673,349,Lee Luda,2720,189,FO,160,T6,2,1,5,5,,,0,0,34,3,2,NUT,SCU,FO,FO,,1
Raylees D. Kraken,2225,573,Jameson Poe,310,607,2B,34,B6,0,0,5,5,,,0,0,35,3,2,SCU,NUT,2B,2B,,1
