Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Phillip Mahooters,2253,500,B.a. Dickey,802,17,DP,483,B2,1,1,3,0,-2.49%,2.49%,0,0,27,3,2,BIS,BAG,LGO,LGO,DP,,,,,1
Sid Houn,2258,723,Derek Rasmussen,2588,111,RGO,388,T3,0,0,3,0,-2.28%,2.28%,0,0,28,3,2,BAG,BIS,RGO,RGO,PO,,,,,1
Wheeler,529,867,Derek Rasmussen,2588,300,LGO,433,T3,1,0,3,0,-1.87%,1.87%,0,0,28,3,2,BAG,BIS,LGO,LGO,RGO,,,,,1
Walter Yeller Weller,647,599,Derek Rasmussen,2588,211,RGO,388,T3,2,0,3,0,-1.22%,1.22%,0,0,28,3,2,BAG,BIS,RGO,RGO,PO,,,,,1
Robbie,1745,221,B.a. Dickey,802,634,RGO,413,B3,0,0,3,0,-0.81%,0.81%,0,0,29,3,2,BIS,BAG,RGO,RGO,RGO,,,,,1
Fik Seiko,2207,394,B.a. Dickey,802,369,2B,25,B3,1,0,3,0,1.45%,-1.45%,0,0,29,3,2,BIS,BAG,2B,2B,3B,,,,,1
Monty Johnson,557,630,B.a. Dickey,802,202,RGO,428,B3,1,2,3,0,-1.21%,1.21%,0,0,29,3,2,BIS,BAG,RGO,RGO,RGO,,,,,1
Brian Taylor,1838,707,B.a. Dickey,802,2,K,295,B3,2,3,3,0,-1.57%,1.57%,0,0,29,3,2,BIS,BAG,K,K,K,,,,,1
Dutch Boggs,2625,483,Derek Rasmussen,2588,499,HR,16,T4,0,0,3,0,8.04%,-8.04%,1,1,30,3,2,BAG,BIS,HR,HR,HR,,,,2588,1
Toastman,2663,500,Derek Rasmussen,2588,811,PO,311,T4,0,0,3,1,-3.22%,3.22%,0,0,30,3,2,BAG,BIS,PO,PO,K,,,,,1
Brent Chillwater,2689,677,Derek Rasmussen,2588,812,BB,135,T4,1,0,3,1,3.54%,-3.54%,0,0,30,3,2,BAG,BIS,BB,BB,1B,,,,,1
Mike LaViva,2761,113,Derek Rasmussen,2588,600,DP,487,T4,1,1,3,1,-8.08%,8.08%,0,0,30,3,2,BAG,BIS,LGO,LGO,DP,,,,,1
Kev Biffington,2276,257,B.a. Dickey,802,434,FO,177,B4,0,0,3,1,-1.07%,1.07%,0,0,31,3,2,BIS,BAG,FO,FO,BB,,,,,1
Rocco Rudnikov,114,113,B.a. Dickey,802,101,HR,12,B4,1,0,3,1,6.20%,-6.20%,1,1,31,3,2,BIS,BAG,HR,HR,HR,,,,802,1
Francis Swagger,610,100,B.a. Dickey,802,327,K,227,B4,1,0,4,1,-0.53%,0.53%,0,0,31,3,2,BIS,BAG,K,K,FO,,,,,1
Matt Himynamis,361,45,B.a. Dickey,802,444,RGO,399,B4,2,0,4,1,-0.52%,0.52%,0,0,31,3,2,BIS,BAG,RGO,RGO,PO,,,,,1
Doc Otis,2256,13,Derek Rasmussen,2588,291,K,278,T5,0,0,4,1,-2.30%,2.30%,0,0,32,3,2,BAG,BIS,K,K,FO,,,,,1
Tuck,163,478,Derek Rasmussen,2588,13,LGO,465,T5,1,0,4,1,-1.67%,1.67%,0,0,32,3,2,BAG,BIS,LGO,LGO,LGO,,,,,1
Sid Houn,2258,975,Derek Rasmussen,2588,777,K,198,T5,2,0,4,1,-0.98%,0.98%,0,0,32,3,2,BAG,BIS,K,K,FO,,,,,1
Phillip Mahooters,2253,350,B.a. Dickey,802,983,RGO,367,B5,0,0,4,1,-0.30%,0.30%,0,0,33,3,2,BIS,BAG,RGO,RGO,K,,,,,1
Robbie,1745,739,B.a. Dickey,802,699,2B,40,B5,1,0,4,1,0.68%,-0.68%,0,0,33,3,2,BIS,BAG,2B,2B,2B,,,,,1
Fik Seiko,2207,175,B.a. Dickey,802,739,LGO,436,B5,1,2,4,1,-0.54%,0.54%,0,0,33,3,2,BIS,BAG,LGO,LGO,RGO,,,,,1
Monty Johnson,557,149,B.a. Dickey,802,511,PO,362,B5,2,2,4,1,-0.67%,0.67%,0,0,33,3,2,BIS,BAG,PO,PO,K,,,,,1
Wheeler,529,590,Derek Rasmussen,2588,569,2B,21,T6,0,0,4,1,4.99%,-4.99%,0,1,34,3,2,BAG,BIS,2B,2B,HR,,,,,1
Jefferson Saelflex,268,420,Ben Bramly,238,804,RGO,384,T6,0,2,4,1,-3.71%,3.71%,0,0,34,3,2,BAG,BIS,RGO,RGO,PO,,,,,1
Dutch Boggs,2625,690,Ben Bramly,238,742,3B,52,T6,1,3,4,1,7.27%,-7.27%,1,0,34,3,2,BAG,BIS,3B,2B,2B,2588,,,,2
Toastman,2663,366,Ben Bramly,238,1000,PO,366,T6,1,3,4,2,-7.02%,7.02%,0,0,34,3,2,BAG,BIS,PO,PO,K,,,,,1
Brent Chillwater,2689,311,Ben Bramly,238,648,K,337,T6,2,3,4,2,-5.29%,5.29%,0,0,34,3,2,BAG,BIS,K,K,K,,,,,1
