Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Calcium “Cal” McTrowell,1733,500,Ulysses Rove,1820,122,PO,378,T1,0,4,0,0,-5.04%,5.04%,0,0,162,22,6,CCU,WSU,PO,PO,PO,1
Guido Ligiorno,1830,605,Ulysses Rove,1820,36,PO,431,T1,1,4,0,0,-4.65%,4.65%,0,0,162,22,6,CCU,WSU,PO,PO,DP,1
JT Longbottoms,1803,203,Ulysses Rove,1820,702,LGO,499,T1,2,4,0,0,-7.92%,7.92%,0,0,162,22,6,CCU,WSU,LGO,LGO,LGO,1
James Jameson LXIX,1722,314,Dillon Cheer,1686,575,FO,261,B1,0,0,0,0,-3.07%,3.07%,0,0,163,22,6,WSU,CCU,FO,FO,FO,1
Steve Robs,1774,725,Dillon Cheer,1686,777,2B,52,B1,1,0,0,0,5.79%,-5.79%,0,1,163,22,6,WSU,CCU,2B,2B,2B,1
Henryk Szydlowski,1720,406,Dillon Cheer,1686,997,RGO,409,B1,1,2,0,0,-4.36%,4.36%,0,0,163,22,6,WSU,CCU,RGO,RGO,RGO,1
Streetlamp LeMoose,1734,472,Dillon Cheer,1686,420,2B,52,B1,2,3,0,0,15.75%,-15.75%,1,0,163,22,6,WSU,CCU,2B,2B,2B,1
"Adrian ""Pudge"" Young",1772,733,Dillon Cheer,1686,375,RGO,358,B1,2,2,1,0,-4.15%,4.15%,0,0,163,22,6,WSU,CCU,RGO,RGO,K,1
Albert Ichiro Pujolsuzuki,1796,790,Ulysses Rove,1820,184,PO,394,T2,0,0,1,0,-3.96%,3.96%,0,0,164,22,6,CCU,WSU,PO,PO,PO,1
Truck Month,1794,,Ulysses Rove,1820,,Auto K,,T2,1,0,1,0,-3.37%,3.37%,0,0,164,22,6,CCU,WSU,Auto K,Auto K,Auto K,9
Late Train Dave Vein,1691,621,Ulysses Rove,1820,500,BB,121,T2,2,0,1,0,3.28%,-3.28%,0,1,164,22,6,CCU,WSU,BB,BB,1B,1
Mantis Toboggan,1802,550,Ulysses Rove,1820,433,BB,117,T2,2,1,1,0,4.31%,-4.31%,0,1,164,22,6,CCU,WSU,BB,BB,1B,1
Grigury Polinko,452,111,Ulysses Rove,1820,194,1B,83,T2,2,4,1,0,17.84%,-17.84%,1,1,164,22,6,CCU,WSU,1B,1B,1B,1
Ron Swanson,1696,25,Ulysses Rove,1820,83,2B,58,T2,2,5,1,1,29.11%,-29.11%,2,0,164,22,6,CCU,WSU,2B,2B,2B,1
Calcium “Cal” McTrowell,1733,960,Alexander Hamilton II,553,83,BB,123,T2,2,2,1,3,0.95%,-0.95%,0,0,164,22,6,CCU,WSU,BB,BB,1B,1
Guido Ligiorno,1830,961,Alexander Hamilton II,553,601,K,360,T2,2,4,1,3,-4.07%,4.07%,0,0,164,22,6,CCU,WSU,K,K,K,1
Trevor Rose,1725,250,Dillon Cheer,1686,136,BB,114,B2,0,0,1,3,5.09%,-5.09%,0,0,165,22,6,WSU,CCU,BB,BB,1B,1
