Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Katia Wölfe,54,479,Artie Ziff,164,726,K,247,T1,0,0,0,0,-2.51%,2.51%,0,0,1,1,1,CIN,LAD,K,K,FO,1
LaPrince Frye,45,182,Artie Ziff,164,785,PO,397,T1,1,0,0,0,-2.18%,2.18%,0,0,1,1,1,CIN,LAD,PO,PO,PO,1
C.J. Yantzi,323,934,Artie Ziff,164,32,BB,98,T1,2,0,0,0,1.98%,-1.98%,0,0,1,1,1,CIN,LAD,BB,BB,1B,1
Rick McLightning,55,733,Artie Ziff,164,461,K,272,T1,2,1,0,0,-3.74%,3.74%,0,0,1,1,1,CIN,LAD,K,K,FO,1
Ted James III,174,724,Richard Saks,321,313,RGO,411,B1,0,0,0,0,-2.48%,2.48%,0,0,2,1,1,LAD,CIN,RGO,RGO,RGO,1
Scotty Smalls,179,490,Richard Saks,321,623,BB,133,B1,1,0,0,0,2.28%,-2.28%,0,0,2,1,1,LAD,CIN,BB,BB,1B,1
Bo-Horse Jackman,168,917,Richard Saks,321,551,K,366,B1,1,1,0,0,-2.55%,2.55%,0,0,2,1,1,LAD,CIN,K,K,K,1
Scotty Smalls,179,900,Richard Saks,321,142,SB,242,B1,2,1,0,0,1.23%,-1.23%,0,0,2,1,1,LAD,CIN,Steal 2B,Steal 2B,SB,4
Federal Credit Union Boi,173,369,Richard Saks,321,486,BB,117,B1,2,2,0,0,1.57%,-1.57%,0,0,2,1,1,LAD,CIN,BB,BB,1B,1
Randy Poovey,545,705,Richard Saks,321,39,K,334,B1,2,4,0,0,-6.49%,6.49%,0,0,2,1,1,LAD,CIN,K,K,K,1
Zelk Antilles,490,892,Artie Ziff,164,212,K,320,T2,0,0,0,0,-2.72%,2.72%,0,0,3,1,1,CIN,LAD,K,K,K,1
Thaddeus Gomorrah,41,885,Artie Ziff,164,404,LGO,481,T2,1,0,0,0,-2.40%,2.40%,0,0,3,1,1,CIN,LAD,LGO,LGO,LGO,1
Blandon Brade,50,298,Artie Ziff,164,1,K,297,T2,2,0,0,0,-1.99%,1.99%,0,0,3,1,1,CIN,LAD,K,K,K,1
Lee Allen Ripley,771,252,Richard Saks,321,635,PO,383,B2,0,0,0,0,-2.72%,2.72%,0,0,4,1,1,LAD,CIN,PO,PO,PO,1
Caleb Craven,640,417,Richard Saks,321,728,K,311,B2,1,0,0,0,-2.38%,2.38%,0,0,4,1,1,LAD,CIN,K,K,K,1
Coco Watanabe,204,499,Richard Saks,321,505,HR,6,B2,2,0,0,0,14.60%,-14.60%,1,1,4,1,1,LAD,CIN,HR,HR,HR,1
Aych Imtiyaz,170,845,Richard Saks,321,382,LGO,463,B2,2,0,1,0,-1.56%,1.56%,0,0,4,1,1,LAD,CIN,LGO,LGO,LGO,1
Vigolashi Dongeroso,159,923,Artie Ziff,164,547,K,376,T3,0,0,1,0,-3.32%,3.32%,0,0,5,1,1,CIN,LAD,K,K,K,1
Willow Briansdottir,48,501,Artie Ziff,164,671,FO,170,T3,1,0,1,0,-2.85%,2.85%,0,0,5,1,1,CIN,LAD,FO,FO,BB,1
Katia Wölfe,54,212,Artie Ziff,164,874,K,338,T3,2,0,1,0,-2.26%,2.26%,0,0,5,1,1,CIN,LAD,K,K,K,1
Ted James III,174,491,Richard Saks,321,268,FO,223,B3,0,0,1,0,-2.04%,2.04%,0,0,6,1,1,LAD,CIN,FO,FO,FO,1
Scotty Smalls,179,878,Richard Saks,321,701,FO,177,B3,1,0,1,0,-1.80%,1.80%,0,0,6,1,1,LAD,CIN,FO,FO,BB,1
Bo-Horse Jackman,168,817,Richard Saks,321,492,K,325,B3,2,0,1,0,-1.62%,1.62%,0,0,6,1,1,LAD,CIN,K,K,K,1
LaPrince Frye,45,363,Artie Ziff,164,21,K,342,T4,0,0,1,0,-3.96%,3.96%,0,0,7,1,1,CIN,LAD,K,K,K,1
C.J. Yantzi,323,81,Artie Ziff,164,193,BB,112,T4,1,0,1,0,3.84%,-3.84%,0,0,7,1,1,CIN,LAD,BB,BB,1B,1
Rick McLightning,55,450,Artie Ziff,164,749,K,299,T4,1,1,1,0,-3.93%,3.93%,0,0,7,1,1,CIN,LAD,K,K,K,1
