Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Doc Otis,2256,250,Dick Woolridge,92,360,1B,110,T5,2,5,3,5,7.16%,-7.16%,1,0,91,8,2,KCR,DET,1B,BB,,1
Davoin Shower-Handel,1949,250,Dick Woolridge,92,680,RGO,430,T5,2,5,3,6,-1.92%,1.92%,0,0,91,8,2,KCR,DET,RGO,RGO,,1
Morris Deratt,104,819,Jacob deGem,2540,731,1B,88,B5,0,0,3,6,4.36%,-4.36%,0,0,92,8,2,DET,KCR,1B,1B,,1
Eli Sasak,607,201,Jacob deGem,2540,792,DP,409,B5,0,1,3,6,-9.23%,9.23%,0,0,92,8,2,DET,KCR,RGO,RGO,,1
Sammy Scully,2518,323,Jacob deGem,2540,783,RGO,460,B5,2,0,3,6,-1.22%,1.22%,0,0,92,8,2,DET,KCR,RGO,RGO,,1
Indy Sayne,151,145,Mason Spurs,103,899,FO,246,T6,0,0,3,6,-0.37%,0.37%,0,0,93,8,2,KCR,DET,FO,FO,,1
Rob Patterson,140,181,Mason Spurs,103,213,3B,32,T6,1,0,3,6,1.26%,-1.26%,0,0,93,8,2,KCR,DET,3B,3B,,1
Mattie Christewson,2598,743,Mason Spurs,103,4,K,261,T6,1,3,3,6,-1.14%,1.14%,0,0,93,8,2,KCR,DET,K,K,,1
Doc Crudelly,1811,892,Mason Spurs,103,420,LGO,472,T6,2,3,3,6,-0.82%,0.82%,0,0,93,8,2,KCR,DET,LGO,LGO,,1
Sterling Turlington,2710,164,Syd Kidd,3,420,K,256,B6,0,0,3,6,-2.48%,2.48%,0,0,94,8,2,DET,KCR,K,K,,1
Wonder Francoh,2242,864,Syd Kidd,3,840,3B,24,B6,1,0,3,6,4.59%,-4.59%,0,0,94,8,2,DET,KCR,3B,3B,,1
Justin P. L. Griffin,2740,144,Syd Kidd,3,846,K,298,B6,1,3,3,6,-4.69%,4.69%,0,0,94,8,2,DET,KCR,K,K,,1
Tyler Phoenix,99,665,Syd Kidd,3,944,FO,279,B6,2,3,3,6,-2.26%,2.26%,0,0,94,8,2,DET,KCR,FO,FO,,1
peaches,2606,420,Assassin Xekutioner,271,263,BB,157,T1,0,0,0,0,2.91%,-2.91%,0,0,95,9,3,MIA,LAD,BB,BB,,1
peaches,2606,799,Assassin Xekutioner,271,199,CS,400,T1,0,1,0,0,-5.42%,5.42%,0,0,95,9,3,MIA,LAD,CS 2B,CS 2B,,4
Bench Warmer,665,739,Assassin Xekutioner,271,404,K,335,T1,1,0,0,0,-2.18%,2.18%,0,0,95,9,3,MIA,LAD,K,K,,1
Roosevelt Sandoval,2789,751,Assassin Xekutioner,271,867,1B,116,T1,2,0,0,0,1.98%,-1.98%,0,0,95,9,3,MIA,LAD,1B,1B,,1
Roosevelt Sandoval,2789,850,Assassin Xekutioner,271,368,CS,482,T1,2,1,0,0,-3.74%,3.74%,0,0,95,9,3,MIA,LAD,CS 2B,CS 2B,,4
Tuck,163,319,Artanis Jones,37,630,K,311,B1,0,0,0,0,-2.48%,2.48%,0,0,96,9,3,LAD,MIA,K,K,,1
Jimmy Payne,2780,319,Artanis Jones,37,879,RGO,440,B1,1,0,0,0,-2.17%,2.17%,0,0,96,9,3,LAD,MIA,RGO,RGO,,1
Jocko Jones,295,420,Artanis Jones,37,880,LGO,460,B1,2,0,0,0,-1.79%,1.79%,0,0,96,9,3,LAD,MIA,LGO,LGO,,1
Captain Trash,2696,150,Assassin Xekutioner,271,488,K,338,T2,0,0,0,0,-2.72%,2.72%,0,0,97,9,3,MIA,LAD,K,K,,1
Nicholas van leer,2745,260,Assassin Xekutioner,271,315,1B,55,T2,1,0,0,0,2.57%,-2.57%,0,1,97,9,3,MIA,LAD,1B,1B,,1
Nicholas van leer,2745,595,Assassin Xekutioner,271,549,SB,46,T2,1,1,0,0,2.54%,-2.54%,0,0,97,9,3,MIA,LAD,Steal 2B,Steal 2B,,4
Elvis Carmichael,2778,915,Assassin Xekutioner,271,203,K,288,T2,1,2,0,0,-4.15%,4.15%,0,0,97,9,3,MIA,LAD,K,K,,1
Jefferson Saelflex,268,420,Assassin Xekutioner,271,524,1B,104,T2,2,2,0,0,12.32%,-12.32%,1,0,97,9,3,MIA,LAD,1B,1B,,1
Hakuna Moncada,2501,391,Assassin Xekutioner,271,69,K,322,T2,2,1,0,1,-3.57%,3.57%,0,0,97,9,3,MIA,LAD,K,K,,1
Robert Glasses,2664,990,Artanis Jones,37,802,FO,188,B2,0,0,0,1,-3.11%,3.11%,0,0,98,9,3,LAD,MIA,FO,FO,,1
Aych Imtiyaz,170,850,Artanis Jones,37,155,K,305,B2,1,0,0,1,-2.69%,2.69%,0,0,98,9,3,LAD,MIA,K,K,,1
Bo-Horse Jackman,168,769,Artanis Jones,37,44,FO,275,B2,2,0,0,1,-2.13%,2.13%,0,0,98,9,3,LAD,MIA,FO,FO,,1
Sablo Panchez,638,747,Assassin Xekutioner,271,608,BB,139,T3,0,0,0,1,2.54%,-2.54%,0,0,99,9,3,MIA,LAD,BB,BB,,1
Sablo Panchez,638,44,Assassin Xekutioner,271,419,CS,375,T3,0,1,0,1,-4.91%,4.91%,0,0,99,9,3,MIA,LAD,CS 2B,CS 2B,,4
peaches,2606,176,Assassin Xekutioner,271,776,RGO,400,T3,1,0,0,1,-2.03%,2.03%,0,0,99,9,3,MIA,LAD,RGO,RGO,,1
Bench Warmer,665,566,Assassin Xekutioner,271,99,LGO,467,T3,2,0,0,1,-1.82%,1.82%,0,0,99,9,3,MIA,LAD,LGO,LGO,,1
Coco Watanabe,204,275,Artanis Jones,37,938,K,337,B3,0,0,0,1,-3.58%,3.58%,0,0,100,9,3,LAD,MIA,K,K,,1
Hans Freii,2622,1000,Artanis Jones,37,696,K,304,B3,1,0,0,1,-3.10%,3.10%,0,0,100,9,3,LAD,MIA,K,K,,1
Brian Taylor,1838,911,Artanis Jones,37,380,LGO,469,B3,2,0,0,1,-2.59%,2.59%,0,0,100,9,3,LAD,MIA,LGO,LGO,,1
Roosevelt Sandoval,2789,866,Assassin Xekutioner,271,705,BB,161,T4,0,0,0,1,2.58%,-2.58%,0,0,101,9,3,MIA,LAD,BB,BB,,1
Roosevelt Sandoval,2789,666,Assassin Xekutioner,271,685,SB,19,T4,0,1,0,1,3.59%,-3.59%,0,0,101,9,3,MIA,LAD,Steal 2B,Steal 2B,,4
Captain Trash,2696,861,Assassin Xekutioner,271,1,BB,140,T4,0,2,0,1,1.28%,-1.28%,0,0,101,9,3,MIA,LAD,BB,BB,,1
Nicholas van leer,2745,430,Assassin Xekutioner,271,275,BB,155,T4,0,4,0,1,8.49%,-8.49%,0,0,101,9,3,MIA,LAD,BB,BB,,1
Lane Drew,190,411,Assassin Xekutioner,271,930,LGO,481,T4,0,7,0,1,-5.97%,5.97%,0,0,101,9,3,MIA,LAD,LGO,LGO,,2
Jefferson Saelflex,268,777,Assassin Xekutioner,271,265,DP,488,T4,1,7,0,1,-16.47%,16.47%,0,0,101,9,3,MIA,LAD,LGO,LGO,,1
Tuck,163,181,Artanis Jones,37,471,K,290,B4,0,0,0,1,-4.38%,4.38%,0,0,102,9,3,LAD,MIA,K,K,,1
Jimmy Payne,2780,721,Artanis Jones,37,606,1B,115,B4,1,0,0,1,4.07%,-4.07%,0,1,102,9,3,LAD,MIA,1B,1B,,1
Jocko Jones,295,825,Artanis Jones,37,671,BB,154,B4,1,1,0,1,6.67%,-6.67%,0,1,102,9,3,LAD,MIA,BB,BB,,1
Robert Glasses,2664,300,Artanis Jones,37,292,HR,8,B4,1,4,0,1,42.07%,-42.07%,3,1,102,9,3,LAD,MIA,HR,HR,,1
Aych Imtiyaz,170,77,Artanis Jones,37,456,K,379,B4,1,0,3,1,-0.97%,0.97%,0,0,102,9,3,LAD,MIA,K,PO,,1
Bo-Horse Jackman,168,376,Artanis Jones,37,985,K,391,B4,2,0,3,1,-0.86%,0.86%,0,0,102,9,3,LAD,MIA,K,K,,1
Hakuna Moncada,2501,667,Assassin Xekutioner,271,555,1B,112,T5,0,0,3,1,5.36%,-5.36%,0,0,103,9,3,MIA,LAD,1B,1B,,1
Sablo Panchez,638,168,Assassin Xekutioner,271,555,PO,387,T5,0,1,3,1,-4.68%,4.68%,0,0,103,9,3,MIA,LAD,PO,RGO,,1
Hakuna Moncada,2501,555,Assassin Xekutioner,271,667,SB,112,T5,1,1,3,1,2.43%,-2.43%,0,0,103,9,3,MIA,LAD,Steal 2B,Steal 2B,,4
Dirtbag Darrell,262,405,Assassin Xekutioner,271,3,RGO,402,T5,1,2,3,1,-5.82%,5.82%,0,0,103,9,3,MIA,LAD,RGO,RGO,,1
Bench Warmer,665,566,Assassin Xekutioner,271,987,RGO,421,T5,2,2,3,1,-5.61%,5.61%,0,0,103,9,3,MIA,LAD,RGO,RGO,,1
Coco Watanabe,204,985,Artanis Jones,37,414,RGO,429,B5,0,0,3,1,-0.67%,0.67%,0,0,104,9,3,LAD,MIA,RGO,RGO,,1
Hans Freii,2622,485,Artanis Jones,37,236,K,249,B5,1,0,3,1,-0.64%,0.64%,0,0,104,9,3,LAD,MIA,K,K,,1
Brian Taylor,1838,380,Artanis Jones,37,331,2B,49,B5,2,0,3,1,0.97%,-0.97%,0,1,104,9,3,LAD,MIA,2B,2B,,1
Tuck,163,1000,Artanis Jones,37,16,HR,16,B5,2,2,3,1,5.35%,-5.35%,2,1,104,9,3,LAD,MIA,HR,3B,,1
Jimmy Payne,2780,880,Artanis Jones,37,832,2B,48,B5,2,0,5,1,0.21%,-0.21%,0,0,104,9,3,LAD,MIA,2B,2B,,1
Jocko Jones,295,69,Artanis Jones,37,351,FO,282,B5,2,2,5,1,-0.32%,0.32%,0,0,104,9,3,LAD,MIA,FO,K,,1
Roosevelt Sandoval,2789,315,Assassin Xekutioner,271,742,RGO,427,T6,0,0,5,1,-0.92%,0.92%,0,0,105,9,3,MIA,LAD,RGO,RGO,,1
Captain Trash,2696,1,Palfo Salvy,2674,891,1B,110,T6,1,0,5,1,1.03%,-1.03%,0,0,105,9,3,MIA,LAD,1B,1B,,1
Ferda Bois,270,117,Palfo Salvy,2674,578,DP,461,T6,1,1,5,1,-1.75%,1.75%,0,0,105,9,3,MIA,LAD,LGO,LGO,,1
Indy Sayne,151,250,Sierra Hightower,776,137,1B,113,T1,0,0,0,0,2.91%,-2.91%,0,1,106,10,3,KCR,OAK,1B,1B,,1
Egor Kucherov,2342,150,Sierra Hightower,776,225,1B,75,T1,0,1,0,0,5.56%,-5.56%,0,1,106,10,3,KCR,OAK,1B,1B,,1
Tate Spudworth IV,2496,666,Sierra Hightower,776,733,1B,67,T1,0,4,0,0,9.34%,-9.34%,0,1,106,10,3,KCR,OAK,1B,1B,,1
Doc Crudelly,1811,411,Sierra Hightower,776,95,K,316,T1,0,7,0,0,-5.92%,5.92%,0,0,106,10,3,KCR,OAK,K,K,,1
Sneky Snek,2638,870,Sierra Hightower,776,927,2B,57,T1,1,7,0,0,16.59%,-16.59%,2,0,106,10,3,KCR,OAK,2B,2B,,1
Davoin Shower-Handel,1949,69,Sierra Hightower,776,308,Sac,239,T1,1,6,0,2,2.47%,-2.47%,1,0,106,10,3,KCR,OAK,FO,FO,,2
Mattie Christewson,2598,632,Sierra Hightower,776,155,LGO,477,T1,1,2,0,3,-4.39%,4.39%,0,0,106,10,3,KCR,OAK,LGO,LGO,,1
Lloyd Gross,135,725,Dogwood Maple,2220,741,HR,16,B1,0,0,0,3,9.28%,-9.28%,1,1,107,10,3,OAK,KCR,HR,HR,,1
"Dr. Chaos, Esq.",2495,966,Dogwood Maple,2220,971,HR,5,B1,0,0,1,3,11.35%,-11.35%,1,1,107,10,3,OAK,KCR,HR,HR,,1
Stumpy Malone,2517,170,Dogwood Maple,2220,9,BB,161,B1,0,0,2,3,3.22%,-3.22%,0,1,107,10,3,OAK,KCR,BB,BB,,1
Stumpy Malone,2517,1,Dogwood Maple,2220,717,SB,284,B1,0,1,2,3,3.82%,-3.82%,0,0,107,10,3,OAK,KCR,Steal 2B,Steal 2B,,4
Memento Mori,2365,213,Dogwood Maple,2220,257,2B,44,B1,0,2,2,3,11.67%,-11.67%,1,1,107,10,3,OAK,KCR,2B,2B,,1
Kared Jelenik,2327,469,Dogwood Maple,2220,29,RGO,440,B1,0,2,3,3,-0.91%,0.91%,0,0,107,10,3,OAK,KCR,RGO,RGO,,1
Raylees D. Kraken,2225,839,Dogwood Maple,2220,709,1B,130,B1,1,3,3,3,5.99%,-5.99%,1,1,107,10,3,OAK,KCR,1B,1B,,2
Raylees D. Kraken,2225,500,Dogwood Maple,2220,241,SB,259,B1,1,1,4,3,2.11%,-2.11%,0,0,107,10,3,OAK,KCR,Steal 2B,Steal 2B,,4
Sid Houn,2258,69,Dogwood Maple,2220,797,K,272,B1,1,2,4,3,-2.93%,2.93%,0,0,107,10,3,OAK,KCR,K,K,,1
Stu PunDous,2487,630,Dogwood Maple,2220,641,HR,11,B1,2,2,4,3,16.13%,-16.13%,2,1,107,10,3,OAK,KCR,HR,HR,,1
Boots Poffenberger,2490,139,Dogwood Maple,2220,871,K,268,B1,2,0,6,3,-0.82%,0.82%,0,0,107,10,3,OAK,KCR,K,K,,1
Connor Morgan,362,581,Sierra Hightower,776,847,FO,266,T2,0,0,6,3,-2.30%,2.30%,0,0,108,10,3,KCR,OAK,FO,FO,,1
Baron Butzenkatzen-Butzenkatzen,127,247,Sierra Hightower,776,8,FO,239,T2,1,0,6,3,-1.79%,1.79%,0,0,108,10,3,KCR,OAK,FO,FO,,1
Indy Sayne,151,505,Sierra Hightower,776,530,3B,25,T2,2,0,6,3,2.46%,-2.46%,0,1,108,10,3,KCR,OAK,3B,3B,,1
Egor Kucherov,2342,333,Sierra Hightower,776,379,2B,46,T2,2,3,6,3,8.45%,-8.45%,1,0,108,10,3,KCR,OAK,2B,2B,,1
Tate Spudworth IV,2496,613,Six,2474,892,K,279,T2,2,2,6,4,-4.96%,4.96%,0,0,108,10,3,KCR,OAK,K,K,,1
Lloyd Gross,135,215,Doc Otis,2256,24,FO,191,B2,0,0,6,4,-1.42%,1.42%,0,0,109,10,3,OAK,KCR,FO,FO,,1
"Dr. Chaos, Esq.",2495,1,Doc Otis,2256,24,2B,23,B2,1,0,6,4,2.60%,-2.60%,0,1,109,10,3,OAK,KCR,2B,2B,,1
Stumpy Malone,2517,199,Doc Otis,2256,24,BB,175,B2,1,2,6,4,0.78%,-0.78%,0,1,109,10,3,OAK,KCR,BB,FO,,1
Memento Mori,2365,200,Doc Otis,2256,923,K,277,B2,1,4,6,4,-2.22%,2.22%,0,0,109,10,3,OAK,KCR,K,K,,1
Kared Jelenik,2327,269,Doc Otis,2256,300,2B,31,B2,2,4,6,4,11.95%,-11.95%,2,1,109,10,3,OAK,KCR,2B,2B,,1
Raylees D. Kraken,2225,524,Doc Otis,2256,622,1B,98,B2,2,2,8,4,2.96%,-2.96%,1,0,109,10,3,OAK,KCR,1B,1B,,1
Raylees D. Kraken,2225,420,Doc Otis,2256,747,CS,327,B2,2,1,9,4,-0.52%,0.52%,0,0,109,10,3,OAK,KCR,CS 2B,CS 2B,,4
Doc Crudelly,1811,580,Six,2474,429,BB,151,T3,0,0,9,4,1.81%,-1.81%,0,1,110,10,3,KCR,OAK,BB,BB,,1
Sneky Snek,2638,800,Six,2474,692,1B,108,T3,0,1,9,4,3.52%,-3.52%,0,1,110,10,3,KCR,OAK,1B,1B,,1
