Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Cal Otter,546,13,Doc Dockgoose,1801,208,FO,195,T1,0,0,0,0,-2.51%,2.51%,0,0,1,1,1,BAC,STK,FO,FO,,,,,,1
IBO Bust,186,630,Doc Dockgoose,1801,474,BB,156,T1,1,0,0,0,2.43%,-2.43%,0,0,1,1,1,BAC,STK,BB,BB,,,,,,1
Merodach Baladan,100,477,Doc Dockgoose,1801,954,DP,477,T1,1,1,0,0,-6.37%,6.37%,0,0,1,1,1,BAC,STK,LGO,LGO,,,,,,1
petra sabor,149,2,Hank Braun,2507,4,HR,2,B1,0,0,0,0,11.79%,-11.79%,1,1,2,1,1,STK,BAC,HR,HR,,,,,,1
Anakin Kendrick,776,777,Hank Braun,2507,781,HR,4,B1,0,0,1,0,9.52%,-9.52%,1,1,2,1,1,STK,BAC,HR,HR,,,,,,1
WoodCutter Jones,2524,222,Hank Braun,2507,385,BB,163,B1,0,0,2,0,1.28%,-1.28%,0,0,2,1,1,STK,BAC,BB,FO,,,,,,1
Chody,650,205,Hank Braun,2507,812,PO,393,B1,0,1,2,0,-1.45%,1.45%,0,0,2,1,1,STK,BAC,PO,PO,,,,,,1
John Johnson Jr.,91,2,Hank Braun,2507,375,PO,373,B1,1,1,2,0,-1.39%,1.39%,0,0,2,1,1,STK,BAC,PO,PO,,,,,,1
Frederick Thunderpants,2371,69,Hank Braun,2507,517,RGO,448,B1,2,1,2,0,-2.36%,2.36%,0,0,2,1,1,STK,BAC,RGO,RGO,,,,,,1
Johnnie Twofingers,502,156,Doc Dockgoose,1801,517,K,361,T2,0,0,2,0,-2.72%,2.72%,0,0,3,1,1,BAC,STK,K,K,,,,,,1
Morris Deratt,104,296,Doc Dockgoose,1801,232,1B,64,T2,1,0,2,0,2.82%,-2.82%,0,0,3,1,1,BAC,STK,1B,1B,,,,,,1
Ben Bramly,238,914,Doc Dockgoose,1801,188,FO,274,T2,1,1,2,0,-2.95%,2.95%,0,0,3,1,1,BAC,STK,FO,FO,,,,,,1
Tex Wolffe,2486,69,Doc Dockgoose,1801,647,RGO,422,T2,2,1,2,0,-3.80%,3.80%,0,0,3,1,1,BAC,STK,RGO,RGO,,,,,,1
