Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Dutch Boggs,2625,948,Tuck,163,227,K,279,B4,0,2,2,3,-7.22%,7.22%,0,0,127,11,3,NUT,QQ,K,K,FO,,,,,1
Sid Houn,2258,110,Tuck,163,813,K,297,B4,1,2,2,3,-6.64%,6.64%,0,0,127,11,3,NUT,QQ,K,K,K,,,,,1
Sterling Turlington,2710,678,Tuck,163,500,FO,178,B4,2,2,2,3,-8.93%,8.93%,0,0,127,11,3,NUT,QQ,FO,FO,FO,,,,,1
Pang Winn,713,369,Dru N.K.,2656,21,PO,348,T5,0,0,2,3,-2.29%,2.29%,0,0,128,11,3,QQ,NUT,PO,PO,K,,,,,1
Kev Biffington,2276,420,Dru N.K.,2656,721,K,301,T5,1,0,2,3,-2.08%,2.08%,0,0,128,11,3,QQ,NUT,K,K,K,,,,,1
Juni Panda,488,69,Dru N.K.,2656,921,BB,148,T5,2,0,2,3,1.87%,-1.87%,0,0,128,11,3,QQ,NUT,BB,BB,BB,,,,,1
Dylan Green,305,321,Dru N.K.,2656,921,RGO,400,T5,2,1,2,3,-3.78%,3.78%,0,0,128,11,3,QQ,NUT,RGO,RGO,RGO,,,,,1
Noah Diamond,2673,333,Tuck,163,69,FO,264,B5,0,0,2,3,-5.77%,5.77%,0,0,129,11,3,NUT,QQ,FO,FO,FO,,,,,1
Stu PunDous,2487,800,Tuck,163,290,LGO,490,B5,1,0,2,3,-5.16%,5.16%,0,0,129,11,3,NUT,QQ,LGO,LGO,LGO,,,,,1
Jerome Peterson,2641,755,Tuck,163,800,HR,45,B5,2,0,2,3,31.36%,-31.36%,1,1,129,11,3,NUT,QQ,HR,HR,2B,,,,163,1
Charlie Bae,293,888,Tuck,163,800,1B,88,B5,2,0,3,3,3.18%,-3.18%,0,0,129,11,3,NUT,QQ,1B,1B,1B,,,,,1
Doc Otis,2256,420,Tuck,163,600,FO,180,B5,2,1,3,3,-6.86%,6.86%,0,0,129,11,3,NUT,QQ,FO,FO,FO,,,,,1
Hunter West,2594,420,WoodCutter Jones,2524,1,RGO,419,T6,0,0,3,3,-5.44%,5.44%,0,0,130,11,3,QQ,NUT,RGO,RGO,RGO,,,,,1
Zelk Antilles,490,992,WoodCutter Jones,2524,292,K,300,T6,1,0,3,3,-5.08%,5.08%,0,0,130,11,3,QQ,NUT,K,K,K,,,,,1
Doc Dockgoose,1801,869,WoodCutter Jones,2524,600,K,269,T6,2,0,3,3,-4.91%,4.91%,0,0,130,11,3,QQ,NUT,K,K,FO,,,,,1
Larry Fishmang,2646,500,Tuck,163,714,FO,214,B6,0,0,3,3,-5.27%,5.27%,0,0,131,11,3,NUT,QQ,FO,FO,FO,,,,,1
Dutch Boggs,2625,475,Tuck,163,579,1B,104,B6,1,0,3,3,2.93%,-2.93%,0,0,131,11,3,NUT,QQ,1B,1B,1B,,,,,1
Dutch Boggs,2625,680,Tuck,163,243,CS,437,B6,1,1,3,3,-8.02%,8.02%,0,0,131,11,3,NUT,QQ,CS 2B,CS 2B,CS,,,,,4
Sid Houn,2258,195,Tuck,163,1,FO,194,B6,2,0,3,3,-5.06%,5.06%,0,0,131,11,3,NUT,QQ,FO,FO,FO,,,,,1
Hannibal Bligh,1724,880,WoodCutter Jones,2524,500,RGO,380,T7,0,2,3,3,0.01%,-0.01%,0,0,132,11,3,QQ,NUT,RGO,RGO,PO,,,,,1
Baron Butzenkatzen-Butzenkatzen,127,69,WoodCutter Jones,2524,666,PO,403,T7,1,3,3,3,-16.46%,16.46%,0,0,132,11,3,QQ,NUT,PO,PO,RGO,,,,,2
Pang Winn,713,69,WoodCutter Jones,2524,888,FO,181,T7,2,3,3,3,-11.41%,11.41%,0,0,132,11,3,QQ,NUT,FO,FO,FO,,,,,1
Sterling Turlington,2710,900,Tuck,163,333,RGO,433,B7,0,2,3,3,4.08%,-4.08%,0,0,133,11,3,NUT,QQ,RGO,RGO,RGO,,,,,1
