Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Jerk McGurkin,3058,386,Jihmih Tyranus,2873,692,K,306,B4,0,0,0,9,-0.08%,0.08%,0,0,291,24,5,SEO,ACK,K,K,K,,,,,1
Superbone Threefinger,413,864,Jihmih Tyranus,2873,500,PO,364,B4,1,0,0,9,-0.06%,0.06%,0,0,291,24,5,SEO,ACK,PO,PO,K,,,,,1
Juni Juni Panda,488,69,Jihmih Tyranus,2873,1000,1B,69,B4,2,0,0,9,0.08%,-0.08%,0,0,291,24,5,SEO,ACK,1B,1B,1B,,,,,1
Smokey Zygowski,2945,580,Jihmih Tyranus,2873,222,K,358,B4,2,1,0,9,-0.12%,0.12%,0,0,291,24,5,SEO,ACK,K,K,K,,,,,1
Willie Gardner,2856,342,Tencer Sporkelson,2329,903,RGO,439,T5,0,0,0,9,-0.01%,0.01%,0,0,292,24,5,ACK,SEO,RGO,RGO,RGO,,,,,1
Junior Antonius,2976,420,Tencer Sporkelson,2329,112,K,308,T5,1,0,0,9,0.02%,-0.02%,0,0,292,24,5,ACK,SEO,K,K,K,,,,,1
Jihmih Tyranus,2873,280,Tencer Sporkelson,2329,255,2B,25,T5,2,0,0,9,-0.03%,0.03%,0,0,292,24,5,ACK,SEO,2B,2B,3B,,,,,1
TheGreatBambi,3056,669,Tencer Sporkelson,2329,810,BB,141,T5,2,2,0,9,0.03%,-0.03%,0,0,292,24,5,ACK,SEO,BB,FO,BB,,,,,1
Dart Ragusa,134,488,Tencer Sporkelson,2329,888,LGO,400,T5,2,4,0,9,-0.01%,0.01%,0,0,292,24,5,ACK,SEO,LGO,LGO,RGO,,,,,1
Tencer Sporkelson,2329,808,Jihmih Tyranus,2873,888,1B,80,B5,0,0,0,9,0.16%,-0.16%,0,0,293,24,5,SEO,ACK,1B,1B,1B,,,,,1
Kyogo Jota,2987,621,Jihmih Tyranus,2873,937,K,316,B5,0,1,0,9,-0.18%,0.18%,0,0,293,24,5,SEO,ACK,K,K,K,,,,,1
Hans Zahn,2915,1000,Jihmih Tyranus,2873,213,FO,213,B5,1,1,0,9,-0.03%,0.03%,0,0,293,24,5,SEO,ACK,FO,FO,FO,,,,,1
Dirk Digglet,2206,500,Jihmih Tyranus,2873,700,FO,200,B5,2,1,0,9,-0.04%,0.04%,0,0,293,24,5,SEO,ACK,FO,FO,FO,,,,,1
XxBlaise Bailey Finnegan IIIxX,2897,333,Anthony Burland,2379,22,PO,311,T6,0,0,0,9,0.01%,-0.01%,0,0,294,24,5,ACK,SEO,PO,PO,K,,,,,1
Skippy Gustafsson,1773,888,Anthony Burland,2379,185,K,297,T6,1,0,0,9,-0.01%,0.01%,0,0,294,24,5,ACK,SEO,K,K,K,,,,,1
Billy TheKid,2804,1,Anthony Burland,2379,50,2B,49,T6,2,0,0,9,0.00%,0.00%,0,0,294,24,5,ACK,SEO,2B,2B,2B,,,,,1
T-Rav,2908,755,Anthony Burland,2379,350,RGO,405,T6,2,2,0,9,-0.01%,0.01%,0,0,294,24,5,ACK,SEO,RGO,RGO,RGO,,,,,1
Princess Peach,2606,345,Jihmih Tyranus,2873,93,FO,252,B6,0,0,0,9,-0.02%,0.02%,0,0,295,24,5,SEO,ACK,FO,FO,FO,,,,,1
Jerk McGurkin,3058,520,Jihmih Tyranus,2873,382,BB,138,B6,1,0,0,9,0.01%,-0.01%,0,1,295,24,5,SEO,ACK,BB,BB,BB,,,,,1
Superbone Threefinger,413,777,Jihmih Tyranus,2873,601,FO,176,B6,1,1,0,9,-0.02%,0.02%,0,0,295,24,5,SEO,ACK,FO,FO,BB,,,,,1
Juni Juni Panda,488,669,Jihmih Tyranus,2873,639,HR,30,B6,2,1,0,9,0.01%,-0.01%,2,1,295,24,5,SEO,ACK,HR,HR,2B,,,,,1
Smokey Zygowski,2945,69,Jihmih Tyranus,2873,1,1B,68,B6,2,0,2,9,0.01%,-0.01%,0,0,295,24,5,SEO,ACK,1B,1B,1B,,,,,1
Anthony Burland,2379,202,Jihmih Tyranus,2873,869,PO,333,B6,2,1,2,9,-0.02%,0.02%,0,0,295,24,5,SEO,ACK,PO,PO,K,,,,,1
Dan Candoit,3028,217,perta rose sabor,149,74,BB,143,T1,0,0,0,0,2.91%,-2.91%,0,0,296,25,5,ZAH,KRK,BB,BB,BB,,,,,1
Dan Candoit,3028,432,perta rose sabor,149,777,CS,345,T1,0,1,0,0,-5.42%,5.42%,0,0,296,25,5,ZAH,KRK,CS 2B,CS 2B,CS,,,,,4
Slick Grifter,3061,569,perta rose sabor,149,27,RGO,458,T1,1,0,0,0,-2.18%,2.18%,0,0,296,25,5,ZAH,KRK,RGO,RGO,LGO,,,,,1
Dan Van Damme,3029,333,perta rose sabor,149,777,RGO,444,T1,2,0,0,0,-1.76%,1.76%,0,0,296,25,5,ZAH,KRK,RGO,RGO,RGO,,,,,1
Blaise Bailey Finnegan III,127,657,Hannibal Bligh,1724,7,PO,350,B1,0,0,0,0,-2.48%,2.48%,0,0,297,25,5,KRK,ZAH,PO,PO,K,,,,,1
Liru Wolf,2983,435,Hannibal Bligh,1724,411,3B,24,B1,1,0,0,0,7.90%,-7.90%,0,1,297,25,5,KRK,ZAH,3B,2B,HR,,,,,1
Joan Wilkes Booth,3008,501,Hannibal Bligh,1724,602,1B,101,B1,1,3,0,0,5.99%,-5.99%,1,1,297,25,5,KRK,ZAH,1B,1B,1B,,,,,2
Sterling Turlington,2710,469,Hannibal Bligh,1724,501,2B,32,B1,1,1,1,0,7.96%,-7.96%,0,1,297,25,5,KRK,ZAH,2B,2B,2B,,,,,1
Ioe Torrent,1844,248,Hannibal Bligh,1724,501,Sac,253,B1,1,6,1,0,0.86%,-0.86%,1,0,297,25,5,KRK,ZAH,FO,FO,Sac,,,,,2
Doc Otis,2256,587,Hannibal Bligh,1724,704,1B,117,B1,2,2,2,0,7.04%,-7.04%,1,0,297,25,5,KRK,ZAH,1B,1B,1B,,,,,1
Cole Slaw,3040,956,Hannibal Bligh,1724,265,PO,309,B1,2,1,3,0,-1.37%,1.37%,0,0,297,25,5,KRK,ZAH,PO,PO,K,,,,,1
Robbie Tightpants,2584,277,perta rose sabor,149,544,FO,267,T2,0,0,3,0,-2.30%,2.30%,0,0,298,25,5,ZAH,KRK,FO,FO,FO,,,,,1
Jed I. Knight,3051,127,perta rose sabor,149,9,BB,118,T2,1,0,3,0,2.44%,-2.44%,0,0,298,25,5,ZAH,KRK,BB,BB,1B,,,,,1
Jed I. Knight,3051,450,perta rose sabor,149,8,CS,442,T2,1,1,3,0,-4.23%,4.23%,0,0,298,25,5,ZAH,KRK,CS 2B,CS 2B,CS,,,,,4
Demetrios Ooga,180,790,perta rose sabor,149,230,RGO,440,T2,2,0,3,0,-1.18%,1.18%,0,0,298,25,5,ZAH,KRK,RGO,RGO,RGO,,,,,1
Sierra Hightower,776,555,Hannibal Bligh,1724,802,K,247,B2,0,0,3,0,-0.95%,0.95%,0,0,299,25,5,KRK,ZAH,K,K,FO,,,,,1
Dark Brother,3060,575,Hannibal Bligh,1724,111,LGO,464,B2,1,0,3,0,-0.89%,0.89%,0,0,299,25,5,KRK,ZAH,LGO,LGO,LGO,,,,,1
Blaise Bailey Finnegan III,127,458,Hannibal Bligh,1724,933,LGO,475,B2,2,0,3,0,-0.69%,0.69%,0,0,299,25,5,KRK,ZAH,LGO,LGO,LGO,,,,,1
Ross Ewage,1764,71,perta rose sabor,149,7,2B,64,T3,0,0,3,0,5.77%,-5.77%,0,0,300,25,5,ZAH,KRK,2B,1B,2B,,,,,1
Beans Returns,3034,920,perta rose sabor,149,666,K,254,T3,0,2,3,0,-3.93%,3.93%,0,0,300,25,5,ZAH,KRK,K,K,FO,,,,,1
John Baseball,2970,420,perta rose sabor,149,506,1B,86,T3,1,2,3,0,5.21%,-5.21%,0,1,300,25,5,ZAH,KRK,1B,1B,1B,,,,,1
Dan Candoit,3028,783,perta rose sabor,149,920,BB,137,T3,1,5,3,0,6.85%,-6.85%,0,0,300,25,5,ZAH,KRK,BB,BB,1B,,,,,1
Slick Grifter,3061,,perta rose sabor,149,,AUTO BB,,T3,1,7,3,0,0.00%,0.00%,1,0,300,25,5,ZAH,KRK,AUTO BB,AUTO BB,AUTO BB,,,,,10
Dan Van Damme,3029,550,Joey Motto,2964,274,K,276,T3,1,7,3,1,-11.14%,11.14%,0,0,300,25,5,ZAH,KRK,K,K,Sac,,,,,1
Robbie Tightpants,2584,150,Joey Motto,2964,999,BB,151,T3,2,7,3,1,11.74%,-11.74%,1,0,300,25,5,ZAH,KRK,BB,BB,BB,,,,,1
Jed I. Knight,3051,422,Joey Motto,2964,972,RGO,450,T3,2,7,3,2,-13.37%,13.37%,0,0,300,25,5,ZAH,KRK,RGO,RGO,RGO,,,,,1
Liru Wolf,2983,434,Hannibal Bligh,1724,632,FO,198,B3,0,0,3,2,-2.04%,2.04%,0,0,301,25,5,KRK,ZAH,FO,FO,FO,,,,,1
Joan Wilkes Booth,3008,227,Hannibal Bligh,1724,111,1B,116,B3,1,0,3,2,1.65%,-1.65%,0,0,301,25,5,KRK,ZAH,1B,1B,1B,,,,,1
Sterling Turlington,2710,558,Hannibal Bligh,1724,925,DP,367,B3,1,1,3,2,-5.07%,5.07%,0,0,301,25,5,KRK,ZAH,RGO,RGO,K,,,,,1
Demetrios Ooga,180,492,Joey Motto,2964,724,FO,232,T4,0,0,3,2,-3.96%,3.96%,0,0,302,25,5,ZAH,KRK,FO,FO,FO,,,,,1
Ross Ewage,1764,301,Joey Motto,2964,890,RGO,411,T4,1,0,3,2,-3.37%,3.37%,0,0,302,25,5,ZAH,KRK,RGO,RGO,RGO,,,,,1
Beans Returns,3034,134,Joey Motto,2964,343,FO,209,T4,2,0,3,2,-2.78%,2.78%,0,0,302,25,5,ZAH,KRK,FO,FO,FO,,,,,1
Ioe Torrent,1844,303,Hannibal Bligh,1724,99,FO,204,B4,0,0,3,2,-1.87%,1.87%,0,0,303,25,5,KRK,ZAH,FO,FO,FO,,,,,1
Doc Otis,2256,77,Hannibal Bligh,1724,569,LGO,492,B4,1,0,3,2,-1.74%,1.74%,0,0,303,25,5,KRK,ZAH,LGO,LGO,LGO,,,,,1
Cole Slaw,3040,879,Hannibal Bligh,1724,411,LGO,468,B4,2,0,3,2,-1.49%,1.49%,0,0,303,25,5,KRK,ZAH,LGO,LGO,LGO,,,,,1
John Baseball,2970,837,Joey Motto,2964,746,1B,91,T5,0,0,3,2,5.72%,-5.72%,0,0,304,25,5,ZAH,KRK,1B,1B,1B,,,,,1
Dan Candoit,3028,417,Joey Motto,2964,227,FO,190,T5,0,1,3,2,-5.83%,5.83%,0,0,304,25,5,ZAH,KRK,FO,FO,FO,,,,,1
Slick Grifter,3061,1,Joey Motto,2964,746,FO,255,T5,1,1,3,2,-5.00%,5.00%,0,0,304,25,5,ZAH,KRK,FO,FO,FO,,,,,1
Dan Van Damme,3029,1,Joey Motto,2964,255,K,254,T5,2,1,3,2,-7.80%,7.80%,0,0,304,25,5,ZAH,KRK,K,K,FO,,,,,1
Sierra Hightower,776,777,Hannibal Bligh,1724,400,RGO,377,B5,0,0,3,2,-1.37%,1.37%,0,0,305,25,5,KRK,ZAH,RGO,RGO,K,,,,,1
Dark Brother,3060,711,Hannibal Bligh,1724,277,LGO,434,B5,1,0,3,2,-1.30%,1.30%,0,0,305,25,5,KRK,ZAH,LGO,LGO,RGO,,,,,1
Blaise Bailey Finnegan III,127,911,Hannibal Bligh,1724,813,1B,98,B5,2,0,3,2,1.06%,-1.06%,0,0,305,25,5,KRK,ZAH,1B,1B,1B,,,,,1
Blaise Bailey Finnegan III,127,795,Hannibal Bligh,1724,123,SB,328,B5,2,1,3,2,0.82%,-0.82%,0,0,305,25,5,KRK,ZAH,STEAL 2B,STEAL 2B,SB,,,,,4
Liru Wolf,2983,315,Hannibal Bligh,1724,956,RGO,359,B5,2,2,3,2,-3.02%,3.02%,0,0,305,25,5,KRK,ZAH,RGO,RGO,K,,,,,1
