Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Smokey Zygowski,2945,69,Andre Pope,3035,545,LGO,476,B4,0,4,8,0,,,0,0,34,3,2,WRM,DOG,LGO,LGO,,,,,,1
William T. Striker,2867,387,Andre Pope,3035,322,1B,65,B4,2,3,8,0,,,1,0,34,3,2,WRM,DOG,1B,2B,,583,,,,1
Tony Pizza,2844,555,Andre Pope,3035,112,LGO,443,B4,2,1,9,0,,,0,0,34,3,2,WRM,DOG,LGO,LGO,,,,,,1
Harry Peritestes,117,350,Eijun Sawamura,2782,110,FO,240,T5,0,0,9,0,,,0,0,35,3,2,DOG,WRM,FO,FO,,,,,,1
Hippo Jars,2902,467,Eijun Sawamura,2782,667,FO,200,T5,1,0,9,0,,,0,0,35,3,2,DOG,WRM,FO,FO,,,,,,1
Bucky Sabre,3124,50,Eijun Sawamura,2782,326,FO,276,T5,2,0,9,0,,,0,0,35,3,2,DOG,WRM,FO,FO,,,,,,1
Butch Sterling,2992,910,Andre Pope,3035,244,K,334,B5,0,0,9,0,,,0,0,36,3,2,WRM,DOG,K,K,,,,,,1
Doc Otis,2256,344,Andre Pope,3035,577,FO,233,B5,1,0,9,0,,,0,0,36,3,2,WRM,DOG,FO,FO,,,,,,1
Philip Berkenshire,3137,832,Andre Pope,3035,756,1B,76,B5,2,0,9,0,,,0,0,36,3,2,WRM,DOG,1B,1B,,,,,,1
Saul Pewald,2708,420,Andre Pope,3035,590,FO,170,B5,2,1,9,0,,,0,0,36,3,2,WRM,DOG,FO,FO,,,,,,1
Cormac Karona,3108,521,Eijun Sawamura,2782,550,HR,29,T6,0,0,9,0,,,1,1,37,3,2,DOG,WRM,HR,HR,,,,,2782,1
Ahab Ceeley,3172,680,Corbin Christmas Carol,2827,816,BB,136,T6,0,0,9,1,,,0,1,37,3,2,DOG,WRM,BB,BB,,,,,,1
Uncle Crush,3072,823,Corbin Christmas Carol,2827,816,HR,7,T6,0,1,9,1,,,2,1,37,3,2,DOG,WRM,HR,HR,,,,2827,2827,1
Flame-Test Fleming,3144,333,Corbin Christmas Carol,2827,620,K,287,T6,0,0,9,3,,,0,0,37,3,2,DOG,WRM,K,K,,,,,,1
Domino Calzone,3118,951,Corbin Christmas Carol,2827,420,LGO,469,T6,1,0,9,3,,,0,0,37,3,2,DOG,WRM,LGO,LGO,,,,,,1
Rich Driver,2671,740,Corbin Christmas Carol,2827,69,K,329,T6,2,0,9,3,,,0,0,37,3,2,DOG,WRM,K,K,,,,,,1
