Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Billy TheKid,2804,888,Pete Morris,2743,7,BB,119,B6,2,1,2,3,7.79%,-7.79%,0,0,139,12,2,MKW,PPM,BB,BB,1B,,,,,1
Dirtbag Darrell,262,525,Pete Morris,2743,219,FO,306,B6,2,4,2,3,-21.71%,21.71%,0,0,139,12,2,MKW,PPM,FO,FO,K,,,,,1
Matias Thagod,2723,353,Bill Stokes,2539,114,FO,239,T1,0,0,0,0,-2.51%,2.51%,0,0,140,13,3,BAG,CDT,FO,FO,FO,,,,,1
Doc Otis,2256,850,Bill Stokes,2539,178,K,328,T1,1,0,0,0,-2.18%,2.18%,0,0,140,13,3,BAG,CDT,K,K,K,,,,,1
Walter Yeller Weller,647,452,Bill Stokes,2539,461,HR,9,T1,2,0,0,0,12.09%,-12.09%,1,1,140,13,3,BAG,CDT,HR,HR,HR,,,,2539,1
Mike LaViva,2761,850,Bill Stokes,2539,337,LGO,487,T1,2,0,0,1,-1.47%,1.47%,0,0,140,13,3,BAG,CDT,LGO,LGO,LGO,,,,,1
Superbone Threefinger,413,777,Tasker Morris,287,15,FO,238,B1,0,0,0,1,-2.79%,2.79%,0,0,141,13,3,CDT,BAG,FO,FO,FO,,,,,1
Herbie Bucket,2667,366,Tasker Morris,287,511,BB,145,B1,1,0,0,1,2.76%,-2.76%,0,0,141,13,3,CDT,BAG,BB,BB,BB,,,,,1
Johnny Dickshot,233,511,Tasker Morris,287,833,K,322,B1,1,1,0,1,-2.90%,2.90%,0,0,141,13,3,CDT,BAG,K,K,K,,,,,1
Zenzizenzizenzic Xystarch,2505,212,Tasker Morris,287,427,FO,215,B1,2,1,0,1,-4.10%,4.10%,0,0,141,13,3,CDT,BAG,FO,FO,FO,,,,,1
Jefferson Saelflex,268,577,Bill Stokes,2539,114,LGO,463,T2,0,0,0,1,-2.27%,2.27%,0,0,142,13,3,BAG,CDT,LGO,LGO,LGO,,,,,1
Dutch Boggs,2625,690,Bill Stokes,2539,743,2B,53,T2,1,0,0,1,4.10%,-4.10%,0,1,142,13,3,BAG,CDT,2B,2B,2B,,,,,1
Toastman,2663,980,Bill Stokes,2539,527,RGO,453,T2,1,2,0,1,-3.18%,3.18%,0,0,142,13,3,BAG,CDT,RGO,RGO,LGO,,,,,1
Stu PunDous,2487,140,Bill Stokes,2539,31,1B,109,T2,2,3,0,1,10.38%,-10.38%,1,1,142,13,3,BAG,CDT,1B,1B,1B,2539,,,,1
Brent Chillwater,2689,327,Bill Stokes,2539,377,2B,50,T2,2,1,0,2,9.62%,-9.62%,1,0,142,13,3,BAG,CDT,2B,2B,2B,,,2539,,1
Matias Thagod,2723,412,Bill Stokes,2539,984,PO,428,T2,2,2,0,3,-2.53%,2.53%,0,0,142,13,3,BAG,CDT,PO,PO,RGO,,,,,1
Harry McPotterson,1703,427,Tasker Morris,287,987,LGO,440,B2,0,0,0,3,-2.53%,2.53%,0,0,143,13,3,CDT,BAG,LGO,LGO,RGO,,,,,1
Mike Litoris,2252,333,Tasker Morris,287,745,RGO,412,B2,1,0,0,3,-2.03%,2.03%,0,0,143,13,3,CDT,BAG,RGO,RGO,RGO,,,,,1
Garfield Chubbs,2230,423,Tasker Morris,287,164,FO,259,B2,2,0,0,3,-1.48%,1.48%,0,0,143,13,3,CDT,BAG,FO,FO,FO,,,,,1
Doc Otis,2256,612,Bill Stokes,2539,13,PO,401,T3,0,0,0,3,-1.14%,1.14%,0,0,144,13,3,BAG,CDT,PO,PO,RGO,,,,,1
Walter Yeller Weller,647,200,Bill Stokes,2539,677,LGO,477,T3,1,0,0,3,-1.03%,1.03%,0,0,144,13,3,BAG,CDT,LGO,LGO,LGO,,,,,1
Mike LaViva,2761,250,Bill Stokes,2539,927,K,323,T3,2,0,0,3,-0.88%,0.88%,0,0,144,13,3,BAG,CDT,K,K,K,,,,,1
Nate Kondylis,564,333,Tasker Morris,287,94,K,239,B3,0,0,0,3,-2.70%,2.70%,0,0,145,13,3,CDT,BAG,K,K,FO,,,,,1
Arson Judge,2634,421,Tasker Morris,287,976,LGO,445,B3,1,0,0,3,-2.15%,2.15%,0,0,145,13,3,CDT,BAG,LGO,LGO,RGO,,,,,1
Superbone Threefinger,413,286,Tasker Morris,287,296,HR,10,B3,2,0,0,3,8.70%,-8.70%,1,1,145,13,3,CDT,BAG,HR,HR,HR,,,,287,1
Herbie Bucket,2667,119,Tasker Morris,287,522,RGO,403,B3,2,0,1,3,-2.07%,2.07%,0,0,145,13,3,CDT,BAG,RGO,RGO,RGO,,,,,1
Jefferson Saelflex,268,47,Bill Stokes,2539,323,FO,276,T4,0,0,1,3,-1.53%,1.53%,0,0,146,13,3,BAG,CDT,FO,FO,FO,,,,,1
Dutch Boggs,2625,966,Bill Stokes,2539,21,2B,55,T4,1,0,1,3,2.88%,-2.88%,0,0,146,13,3,BAG,CDT,2B,2B,2B,,,,,1
Toastman,2663,980,Bill Stokes,2539,337,K,357,T4,1,2,1,3,-2.46%,2.46%,0,0,146,13,3,BAG,CDT,K,K,K,,,,,1
Stu PunDous,2487,690,Bill Stokes,2539,388,K,302,T4,2,2,1,3,-3.12%,3.12%,0,0,146,13,3,BAG,CDT,K,K,K,,,,,1
Johnny Dickshot,233,999,Tasker Morris,287,171,FO,172,B4,0,0,1,3,-3.76%,3.76%,0,0,147,13,3,CDT,BAG,FO,FO,BB,,,,,1
Zenzizenzizenzic Xystarch,2505,69,Tuck,163,714,PO,355,B4,1,0,1,3,-3.09%,3.09%,0,0,147,13,3,CDT,BAG,PO,PO,K,,,,,1
Harry McPotterson,1703,880,Tuck,163,285,RGO,405,B4,2,0,1,3,-2.26%,2.26%,0,0,147,13,3,CDT,BAG,RGO,RGO,RGO,,,,,1
