Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Vigolashi Dongeroso,159,211,Jordon Canning,353,644,PO,433,T5,2,0,5,2,,,0,0,339,34,9,BER,SCB,PO,PO,,1
Pretzels Poffenberger,86,483,Sam Wood,108,111,K,372,B5,0,0,5,2,,,0,0,340,34,9,SCB,BER,K,K,,1
Hank Murphy,76,444,Duke Nukem,124,669,BB,225,B5,1,0,5,2,,,0,0,340,34,9,SCB,BER,BB,BB,,1
Crimson Chin,78,113,Duke Nukem,124,1000,1B,113,B5,1,1,5,2,,,0,0,340,34,9,SCB,BER,1B,1B,,1
Jay Money,241,401,Duke Nukem,124,1000,DP,401,B5,1,4,5,2,,,0,0,340,34,9,SCB,BER,RGO,RGO,,1
Triston Uzumaki,125,142,Jordon Canning,353,920,FO,222,T6,0,0,5,2,,,0,0,341,34,9,BER,SCB,FO,FO,,1
Daniel Collins,149,722,Jordon Canning,353,869,1B,147,T6,1,0,5,2,,,0,0,341,34,9,BER,SCB,1B,1B,,1
Larry Longshot,32,197,Jordon Canning,353,905,FO,292,T6,1,1,5,2,,,0,0,341,34,9,BER,SCB,FO,FO,,1
Jordan Peppers,18,600,Jordon Canning,353,215,PO,385,T6,2,1,5,2,,,0,0,341,34,9,BER,SCB,PO,PO,,1
Hingle McCringleberry,257,420,Jeff Dingerhitter,298,265,1B,155,T1,0,0,0,0,,,0,1,342,35,9,CIN,FTP,1B,1B,,1
Viking Fishbird,42,865,Jeff Dingerhitter,298,792,2B,73,T1,0,1,0,0,,,0,1,342,35,9,CIN,FTP,2B,2B,,1
Tyrone Jennings lll,256,580,Jeff Dingerhitter,298,587,HR,7,T1,0,6,0,0,,,3,1,342,35,9,CIN,FTP,HR,HR,,1
walnuts labonte,261,100,Jeff Dingerhitter,298,987,1B,113,T1,0,0,0,3,,,0,0,342,35,9,CIN,FTP,1B,1B,,1
Forrest Gleeson,51,550,Jeff Dingerhitter,298,323,FO,227,T1,0,1,0,3,,,0,0,342,35,9,CIN,FTP,FO,FO,,1
Dallas Houston,416,148,Jeff Dingerhitter,298,872,K,276,T1,1,1,0,3,,,0,0,342,35,9,CIN,FTP,K,K,,1
Takahiro Hirasawa,419,287,Jeff Dingerhitter,298,678,RGO,391,T1,2,1,0,3,,,0,0,342,35,9,CIN,FTP,RGO,RGO,,1
Solf J. Kimblee,335,910,Tyrone Jennings lll,256,352,RGO,442,B1,0,0,0,3,,,0,0,343,35,9,FTP,CIN,RGO,RGO,,1
Niklas Sheely,214,831,Tyrone Jennings lll,256,639,BB,192,B1,1,0,0,3,,,0,0,343,35,9,FTP,CIN,BB,BB,,1
C.J. Yantzi,323,992,Tyrone Jennings lll,256,340,K,348,B1,1,1,0,3,,,0,0,343,35,9,FTP,CIN,K,K,,1
Jeff Dingerhitter,298,738,Tyrone Jennings lll,256,380,K,358,B1,2,1,0,3,,,0,0,343,35,9,FTP,CIN,K,K,,1
Jered Bentley,420,420,Jeff Dingerhitter,298,54,RGO,366,T2,0,0,0,3,,,0,0,344,35,9,CIN,FTP,RGO,RGO,,1
Ovaltine Jenkins,404,415,Jeff Dingerhitter,298,833,LGO,418,T2,1,0,0,3,,,0,0,344,35,9,CIN,FTP,LGO,LGO,,1
Hingle McCringleberry,257,211,Jeff Dingerhitter,298,679,LGO,468,T2,2,0,0,3,,,0,0,344,35,9,CIN,FTP,LGO,LGO,,1
Miguel Snow,290,913,Tyrone Jennings lll,256,610,RGO,303,B2,0,0,0,3,,,0,0,345,35,9,FTP,CIN,RGO,RGO,,1
Donked McToad,330,950,Tyrone Jennings lll,256,439,LGO,489,B2,1,0,0,3,,,0,0,345,35,9,FTP,CIN,LGO,LGO,,1
Stan Mann,357,789,Tyrone Jennings lll,256,969,BB,180,B2,2,0,0,3,,,0,0,345,35,9,FTP,CIN,BB,BB,,1
Jackson Takegi,302,314,Tyrone Jennings lll,256,453,1B,139,B2,2,1,0,3,,,0,0,345,35,9,FTP,CIN,1B,1B,,1
Aaron IceCream,358,370,Tyrone Jennings lll,256,666,K,296,B2,2,4,0,3,,,0,0,345,35,9,FTP,CIN,K,K,,1
Viking Fishbird,42,405,Jeff Dingerhitter,298,987,RGO,418,T3,0,0,0,3,,,0,0,346,35,9,CIN,FTP,RGO,RGO,,1
Tyrone Jennings lll,256,224,Jeff Dingerhitter,298,69,1B,155,T3,1,0,0,3,,,0,0,346,35,9,CIN,FTP,1B,1B,,1
walnuts labonte,261,,Jeff Dingerhitter,298,,Auto K,,T3,1,1,0,3,,,0,0,346,35,9,CIN,FTP,Auto K,Auto K,,9
Forrest Gleeson,51,135,Jeff Dingerhitter,298,737,RGO,398,T3,2,1,0,3,,,0,0,346,35,9,CIN,FTP,RGO,RGO,,1
Solf J. Kimblee,335,828,Tyrone Jennings lll,256,618,FO,210,B3,0,0,0,3,,,0,0,347,35,9,FTP,CIN,FO,FO,,1
Niklas Sheely,214,26,Tyrone Jennings lll,256,437,RGO,411,B3,1,0,0,3,,,0,0,347,35,9,FTP,CIN,RGO,RGO,,1
C.J. Yantzi,323,775,Tyrone Jennings lll,256,747,HR,28,B3,2,0,0,3,,,1,1,347,35,9,FTP,CIN,HR,HR,,1
Jeff Dingerhitter,298,381,Tyrone Jennings lll,256,910,LGO,471,B3,2,0,1,3,,,0,0,347,35,9,FTP,CIN,LGO,LGO,,1
Dallas Houston,416,342,Jeff Dingerhitter,298,839,LGO,497,T4,0,0,1,3,,,0,0,348,35,9,CIN,FTP,LGO,LGO,,1
Takahiro Hirasawa,419,80,Jeff Dingerhitter,298,287,BB,207,T4,1,0,1,3,,,0,1,348,35,9,CIN,FTP,BB,BB,,1
Takahiro Hirasawa,419,688,Jeff Dingerhitter,298,587,SB,101,T4,1,1,1,3,,,0,0,348,35,9,CIN,FTP,Steal 2B,Steal 2B,,4
Jered Bentley,420,320,Jeff Dingerhitter,298,322,HR,2,T4,1,2,1,3,,,2,1,348,35,9,CIN,FTP,HR,HR,,1
Ovaltine Jenkins,404,142,Jayson Burdwell,282,738,RGO,404,T4,1,0,1,5,,,0,0,348,35,9,CIN,FTP,RGO,RGO,,1
Hingle McCringleberry,257,420,Jayson Burdwell,282,522,2B,102,T4,2,0,1,5,,,0,0,348,35,9,CIN,FTP,2B,2B,,1
Viking Fishbird,42,18,Jayson Burdwell,282,902,BB,116,T4,2,2,1,5,,,0,0,348,35,9,CIN,FTP,BB,BB,,1
Tyrone Jennings lll,256,610,Jayson Burdwell,282,228,K,382,T4,2,4,1,5,,,0,0,348,35,9,CIN,FTP,K,K,,1
Miguel Snow,290,222,Tyrone Jennings lll,256,547,RGO,325,B4,0,0,1,5,,,0,0,349,35,9,FTP,CIN,RGO,RGO,,1
Donked McToad,330,507,Tyrone Jennings lll,256,363,1B,144,B4,1,0,1,5,,,0,1,349,35,9,FTP,CIN,1B,1B,,1
Stan Mann,357,456,Tyrone Jennings lll,256,386,2B,70,B4,1,1,1,5,,,0,1,349,35,9,FTP,CIN,2B,2B,,1
Jayson Burdwell,282,333,Tyrone Jennings lll,256,870,LGO,463,B4,1,6,1,5,,,1,0,349,35,9,FTP,CIN,LGO,LGO,,1
Aaron IceCream,358,550,Tyrone Jennings lll,256,456,2B,94,B4,2,2,2,5,,,1,0,349,35,9,FTP,CIN,2B,2B,,1
Solf J. Kimblee,335,418,Tyrone Jennings lll,256,222,BB,196,B4,2,2,3,5,,,0,0,349,35,9,FTP,CIN,BB,BB,,1
Niklas Sheely,214,371,Tyrone Jennings lll,256,610,FO,239,B4,2,4,3,5,,,0,0,349,35,9,FTP,CIN,FO,FO,,1
walnuts labonte,261,12,Jayson Burdwell,282,84,1B,72,T5,0,0,3,5,,,0,1,350,35,9,CIN,FTP,1B,1B,,1
Forrest Gleeson,51,911,Jayson Burdwell,282,688,FO,223,T5,0,1,3,5,,,0,0,350,35,9,CIN,FTP,FO,FO,,1
Dallas Houston,416,422,Jayson Burdwell,282,823,PO,401,T5,1,1,3,5,,,0,0,350,35,9,CIN,FTP,PO,PO,,1
Takahiro Hirasawa,419,959,Jayson Burdwell,282,738,BB,221,T5,2,1,3,5,,,0,1,350,35,9,CIN,FTP,BB,BB,,1
Jered Bentley,420,239,Jayson Burdwell,282,111,1B,128,T5,2,4,3,5,,,1,0,350,35,9,CIN,FTP,1B,1B,,1
Ovaltine Jenkins,404,143,Jayson Burdwell,282,302,1B,159,T5,2,7,3,6,,,1,0,350,35,9,CIN,FTP,1B,1B,,1
Hingle McCringleberry,257,869,Jayson Burdwell,282,244,PO,375,T5,2,7,3,7,,,0,0,350,35,9,CIN,FTP,PO,PO,,1
C.J. Yantzi,323,29,Tyrone Jennings lll,256,69,3B,40,B5,0,0,3,7,,,0,1,351,35,9,FTP,CIN,3B,3B,,1
Jeff Dingerhitter,298,,Tyrone Jennings lll,256,,Auto BB,,B5,0,3,3,7,,,0,0,351,35,9,FTP,CIN,Auto BB,Auto BB,,10
