Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Jameson Poe,310,901,J.J. Guemes,207,334,PO,433,T1,0,0,0,0,-2.51%,2.51%,0,0,1,1,1,SAR,WWC,PO,PO,RGO,,,,,1
Bonesy McSkellington,1733,428,J.J. Guemes,207,112,K,316,T1,1,0,0,0,-2.18%,2.18%,0,0,1,1,1,SAR,WWC,K,K,K,,,,,1
Dermot Mulveiny,1763,127,J.J. Guemes,207,545,PO,418,T1,2,0,0,0,-1.76%,1.76%,0,0,1,1,1,SAR,WWC,PO,PO,RGO,,,,,1
Ping Pong,530,249,Elmo Seabreeze,1785,816,LGO,433,B1,0,0,0,0,-2.48%,2.48%,0,0,2,1,1,WWC,SAR,LGO,LGO,RGO,,,,,1
Velvet Scarlatina,59,51,Elmo Seabreeze,1785,117,1B,66,B1,1,0,0,0,2.28%,-2.28%,0,1,2,1,1,WWC,SAR,1B,1B,1B,,,,,1
Sandy Zipp,701,644,Elmo Seabreeze,1785,698,2B,54,B1,1,1,0,0,9.71%,-9.71%,0,1,2,1,1,WWC,SAR,2B,2B,2B,,,,,1
Dick Sledge,2367,666,Elmo Seabreeze,1785,882,Sac,216,B1,1,6,0,0,1.08%,-1.08%,1,0,2,1,1,WWC,SAR,FO,K,Sac,1785,,,,1
Alex Peters,187,877,Elmo Seabreeze,1785,881,HR,4,B1,2,2,1,0,16.13%,-16.13%,2,1,2,1,1,WWC,SAR,HR,HR,HR,,1785,,1785,1
Betardo Carrero,2394,740,Elmo Seabreeze,1785,880,1B,140,B1,2,0,3,0,0.55%,-0.55%,0,0,2,1,1,WWC,SAR,1B,1B,BB,,,,,1
Theodore Charmsek,2368,184,Elmo Seabreeze,1785,781,RGO,403,B1,2,1,3,0,-1.37%,1.37%,0,0,2,1,1,WWC,SAR,RGO,RGO,RGO,,,,,1
