Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Hornet Hives,1946,327,Richard Northstar,275,346,SB,19,T4,1,1,0,0,6.08%,-6.08%,0,0,0,15,2,1,GT,GEO,Steal 2B,Steal 2B,SB,4
Pope Coswi,2327,194,Richard Northstar,275,101,1B,93,T4,1,2,0,0,10.32%,-10.32%,0,0,0,15,2,1,GT,GEO,1B,1B,1B,1
Theo Rodder,2353,298,Richard Northstar,275,60,K,238,T4,1,5,0,0,-16.00%,16.00%,0,0,0,15,2,1,GT,GEO,K,K,Sac,1
Troy Pressing,2282,530,Richard Northstar,275,25,LGO,495,T4,2,5,0,0,-14.14%,14.14%,0,0,0,15,2,1,GT,GEO,LGO,LGO,LGO,1
Roidy Magoo,2354,25,Bames Nond,2339,745,FO,280,B4,0,0,0,0,-5.27%,5.27%,0,0,0,16,2,1,GEO,GT,FO,FO,FO,1
Buck Maverick,2334,44,Bames Nond,2339,1000,3B,44,B4,1,0,0,0,21.85%,-21.85%,0,1,1,16,2,1,GEO,GT,3B,3B,2B,1
Kilometers Man,2363,,Bames Nond,2339,,IBB,,B4,1,3,0,0,-2.68%,2.68%,0,1,1,16,2,1,GEO,GT,IBB,IBB,IBB,8
Guthlac son of Romund,2340,1,Bames Nond,2339,1000,HR,1,B4,1,5,0,0,20.63%,-20.63%,3,1,1,16,2,1,GEO,GT,HR,HR,HR,1
Adam  Page,2386,255,Arm N. Hammer,326,692,RGO,437,T1,0,0,0,0,-3.03%,3.03%,0,0,0,17,3,2,NEB,GT,RGO,RGO,RGO,1
Fredrick Pabst,2343,619,Arm N. Hammer,326,397,FO,222,T1,1,0,0,0,-2.74%,2.74%,0,0,0,17,3,2,NEB,GT,FO,FO,FO,1
