Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
CIN,CHC,4193,4,S4,13,0,0,2,3,0,0,8,6,0,0,2,2,0,0,0,5,7,23,0,0,-3.3376534788540244,-0.2486298198569164,-0.5179999999999999,Away
CIN,CHC,5059,5,S5,4,1,0,3,3,3,0,1,8,0,1,4,1,0,2,0,7,13,25,6,6,2.7811662198391423,0.3827252489258672,0.4005,Home
CIN,CHC,5236,5,S5,16,2,0,2,1,0,0,8,2,0,3,0,2,0,0,0,5,13,20,3,3,-0.2188337801608579,0.0556044937927682,0.1372999999999999,Away
CIN,CHC,6093,6,S6,7,3,2,3,2,1,0,5,0,0,5,3,3,1,0,1,10,26,27,8,8,4.572881355932204,0.5649585637002416,0.7425,Away
CIN,CHC,6134,6,S6,9,2,0,1,2,1,0,7,3,0,1,3,2,1,0,1,5,12,22,2,2,-1.4271186440677963,-0.0542682984617264,-0.3234999999999999,Home
CIN,CHC,7076,7,S7,6,1,0,4,3,0,0,2,3,0,1,7,3,2,1,0,8,15,24,4,4,0.3045547246770904,0.1299491328762096,0.1134999999999998,Away
CIN,CHC,7230,7,S7,16,1,0,2,5,0,0,1,1,0,4,4,7,4,0,0,8,13,25,2,1,-2.8625685629941424,-0.1867631958909136,-0.3668999999999999,Home
CIN,CHC,8064,8,S8,5,3,0,3,4,1,0,5,6,0,0,2,4,0,0,1,10,22,28,7,7,3.1058551108170693,0.4217188628773461,0.2438999999999999,Away
CIN,CHC,8177,8,S8,12,3,0,5,2,2,0,5,5,0,0,3,2,0,0,0,10,24,27,8,8,4.754879259014224,0.5789569086077072,0.205,Home
CIN,CHC,9004,9,S9,1,2,0,2,5,2,0,0,3,0,7,1,5,2,0,0,9,17,27,4,4,0.1109685695958946,0.1072855446253074,0.3498,Away
CIN,CHC,9198,9,S9,14,0,0,6,2,2,0,3,0,0,8,2,2,0,0,0,8,14,25,6,6,2.759140474663245,0.3649776471568041,0.2086999999999999,Home
CIN,CHC,10021,10,S10,2,2,0,1,1,1,0,7,4,0,4,1,2,0,1,0,4,11,23,3,3,-0.6092544987146526,0.0280345984197832,-0.1279999999999999,Home
CIN,CHC,10168,10,S10,12,2,2,1,2,0,0,7,6,0,0,2,2,1,0,0,7,18,24,3,3,-0.6092544987146526,0.0280345984197832,0.1614999999999999,Away
CIN,CHC,11020,11,S11,2,1,0,0,6,2,0,1,4,0,3,3,3,1,2,0,7,10,23,4,4,1.002938295788443,0.1908528614240127,0.318,Home
CIN,CHC,11139,11,S11,10,2,0,0,2,2,0,6,5,0,3,2,2,0,0,0,4,10,24,2,2,-1.5964740450538686,-0.0727107339340252,-0.0435999999999999,Away
CIN,CLE,2056,2,S2,6,1,0,0,2,1,0,4,8,0,0,3,3,0,0,0,3,6,22,2,2,-1.6270012981393336,-0.0775011560173488,-0.2948,Away
CIN,CLE,3127,3,S3,11,3,0,2,2,2,0,2,4,1,2,4,3,1,0,2,7,18,24,6,6,2.844155844155844,0.3855930737866939,-0.1964999999999999,Home
CIN,COL,6208,6,S6,14,3,0,0,2,1,0,9,3,1,3,2,1,0,0,0,5,14,24,3,3,-0.4271186440677965,0.0495770739706671,-0.1909,Away
CIN,COL,8034,8,S8,3,0,0,4,3,5,0,3,4,0,0,4,4,1,0,0,7,11,27,5,5,2.4932424982044568,0.3527932325267304,0.5998999999999999,Home
CIN,COL,10095,10,S10,7,1,0,1,5,2,0,1,4,0,2,3,6,2,0,0,7,11,25,2,2,-1.6092544987146526,-0.0682587329014147,-0.1544,Home
CIN,COL,11214,11,S11,15,0,0,0,0,3,0,4,5,0,5,1,3,0,0,0,0,0,21,0,0,-3.596474045053869,-0.2835778177554454,-0.6558000000000002,Home
CIN,CWS,6150,6,S6,10,0,0,2,3,5,0,2,6,0,3,5,4,1,0,0,5,7,30,3,3,-0.6938044065932226,0.0459807323124862,-0.0044999999999999,Away
CIN,DET,2004,2,S2,1,2,0,2,2,5,0,4,5,0,0,3,4,2,0,0,6,14,27,5,5,1.1990891806159811,0.2244712949937699,0.3129,Away
CIN,DET,2161,2,S2,15,2,0,0,2,2,0,3,4,1,2,6,2,1,0,0,4,10,23,2,2,-1.6270012981393336,-0.0736284753902314,-0.1757999999999999,Home
CIN,DET,3001,3,S3,1,2,0,1,0,5,0,5,2,0,3,2,2,2,0,0,3,10,22,2,2,-0.8227049595715876,0.0033412258183954,0.165,Home
CIN,DET,3183,3,S3,16,2,0,1,2,2,0,6,5,1,2,1,4,0,1,0,5,12,25,2,2,-1.155844155844156,-0.0144069262133061,-0.1492,Away
