League,Season,Sessions,Active,gamelog_doc_id,gamelog_gid,player_type_doc_id,player_type_gid
MLR,1,7,FALSE,1NFICEzqd1hDts-_CvhQ-LN8F5V-ehQU4HDkxzN2ODtM,68804446,1kdt91NmK0G4gnkH-i07CZa2-6ZZdS5kJH_dqKFhA3wc,0
MLR,2,18,FALSE,1NFICEzqd1hDts-_CvhQ-LN8F5V-ehQU4HDkxzN2ODtM,969085133,1kdt91NmK0G4gnkH-i07CZa2-6ZZdS5kJH_dqKFhA3wc,941073848
MLR,3,16,FALSE,1NFICEzqd1hDts-_CvhQ-LN8F5V-ehQU4HDkxzN2ODtM,1028191360,1kdt91NmK0G4gnkH-i07CZa2-6ZZdS5kJH_dqKFhA3wc,1752634056
MLR,4,16,FALSE,1NFICEzqd1hDts-_CvhQ-LN8F5V-ehQU4HDkxzN2ODtM,437485875,1kdt91NmK0G4gnkH-i07CZa2-6ZZdS5kJH_dqKFhA3wc,1149720442
MLR,5,16,FALSE,1NFICEzqd1hDts-_CvhQ-LN8F5V-ehQU4HDkxzN2ODtM,1748327249,1kdt91NmK0G4gnkH-i07CZa2-6ZZdS5kJH_dqKFhA3wc,1555946397
MLR,6,16,FALSE,1NFICEzqd1hDts-_CvhQ-LN8F5V-ehQU4HDkxzN2ODtM,333039208,1kdt91NmK0G4gnkH-i07CZa2-6ZZdS5kJH_dqKFhA3wc,250139880
MLR,7,16,FALSE,1NFICEzqd1hDts-_CvhQ-LN8F5V-ehQU4HDkxzN2ODtM,894432227,1kdt91NmK0G4gnkH-i07CZa2-6ZZdS5kJH_dqKFhA3wc,1166663732
MLR,8,16,FALSE,1NFICEzqd1hDts-_CvhQ-LN8F5V-ehQU4HDkxzN2ODtM,2044457996,1kdt91NmK0G4gnkH-i07CZa2-6ZZdS5kJH_dqKFhA3wc,305299784
MLR,9,16,FALSE,1NFICEzqd1hDts-_CvhQ-LN8F5V-ehQU4HDkxzN2ODtM,479318516,1kdt91NmK0G4gnkH-i07CZa2-6ZZdS5kJH_dqKFhA3wc,1232808851
MLR,10,16,FALSE,1NFICEzqd1hDts-_CvhQ-LN8F5V-ehQU4HDkxzN2ODtM,1327643252,1kdt91NmK0G4gnkH-i07CZa2-6ZZdS5kJH_dqKFhA3wc,1409591166
MLR,11,16,FALSE,1NFICEzqd1hDts-_CvhQ-LN8F5V-ehQU4HDkxzN2ODtM,758852839,1kdt91NmK0G4gnkH-i07CZa2-6ZZdS5kJH_dqKFhA3wc,1555260808
MLR,12,16,FALSE,1NFICEzqd1hDts-_CvhQ-LN8F5V-ehQU4HDkxzN2ODtM,1098532579,1kdt91NmK0G4gnkH-i07CZa2-6ZZdS5kJH_dqKFhA3wc,632606276
MLR,13,16,FALSE,1NFICEzqd1hDts-_CvhQ-LN8F5V-ehQU4HDkxzN2ODtM,754926529,1KLLdfCxfmzSGIxMXdYU8lit6pyPBn1xJGZ300LjqWXs,948926183
