ID,Game ID,Season,Display Season,Session,Team,Franchise,Opponent,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
33,5002,5.0,S5,1,KRB,KRB,ISO,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2,3,0,0,0.30251402918069575,0.042373451867603905,0.052199999999999996,Home
33,5006,5.0,S5,2,KRB,KRB,WWC,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,3,0,1,-1.0888888888888888,-0.09676683993935455,-0.07049999999999998,Away
34,10001,10.0,S10,1,KIR,KIR,CRN,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,-0.3993939393939394,-0.032910946196660476,-0.047799999999999995,Home
34,12001,12.0,S12,1,SCR,SCR,SEF,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,3,1,1,0.5226800397578386,0.06098137393915384,0.0174,Home
36,4003,4.0,S4,1,LMN,LMN,EEE,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,1,0,-1.1583333333333332,-0.10672579920220235,0.022400000000000003,Away
36,5004,5.0,S5,1,LMN,LMN,TAC,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,0,-0.8708641975308644,-0.0749643708035521,-0.1897,Away
39,6005,6.0,S6,2,CBC,CBC,WWC,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2,1,1,0.7591093117408907,0.08173854210813503,0.11429999999999998,Home
39,6009,6.0,S6,3,CBC,CBC,SAS,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2,3,1,0,0.861300129564073,0.09487142935747625,0.0,Home
39,6011,6.0,S6,4,CBC,CBC,TTT,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,-0.7413419913419917,-0.0683065882001532,0.0,Home
40,3001,3.0,S3,1,CIN,CIN,BER,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,4,3,1,1,-1.15,-0.10844827586206894,0.0,Home
40,3003,3.0,S3,2,CIN,CIN,LAN,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,2,4,2,1,-0.06851851851851887,0.0018837803320561758,0.0,Home
41,3001,3.0,S3,1,CIN,CIN,BER,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8,3,2,3,2.3314814814814815,0.2396998722860792,0.0,Home
42,4002,4.0,S4,1,PDB,PDB,DDD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.103035844710377,0.1045,Away
46,3003,3.0,S3,2,CIN,CIN,LAN,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,3,1,0,-1.5601851851851851,-0.1494667943805875,0.0,Home
46,4002,4.0,S4,1,DDD,DDD,PDB,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,3,1,0,0.8913725490196076,0.09824478903309172,0.12150000000000001,Home
48,4002,4.0,S4,1,DDD,DDD,PDB,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1.3544736842105263,0.14455490255218362,0.2028,Home
48,4007,4.0,S4,3,DDD,DDD,LMN,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,-0.6987874097007225,-0.06380705154931827,-0.0856,Home
49,4001,4.0,S4,1,PGS,PGS,PGA,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,3,0,0,-0.8076470588235294,-0.07165717175122198,0.048499999999999995,Home
54,3001,3.0,S3,1,CIN,CIN,BER,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,3,0,1,-0.1370370370370373,-0.0071519795657726815,0.0,Home
54,3003,3.0,S3,2,CIN,CIN,LAN,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,3,1,1,1.610185185185185,0.16757024265644954,0.0,Home
54,4005,4.0,S4,2,DDD,DDD,PGA,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,5,3,2,2,2.5323529411764705,0.26234282824877797,0.0861,Home
59,6001,6.0,S6,1,WWC,WWC,SAR,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,2,3,1,1,0.7996801705756929,0.08870943345863826,0.0691,Home
59,6005,6.0,S6,2,WWC,WWC,CBC,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,3,0,1,0.5719298245614035,0.06593439885720932,0.09040000000000001,Away
59,7011,7.0,S7,4,SSJ,SSJ,SSC,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,-0.35281836683359624,-0.02800319124551021,0.0,Home
63,4003,4.0,S4,1,LMN,LMN,EEE,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,2,3,0,2,-0.9941666666666666,-0.09030913253553571,0.16860000000000003,Away
63,4007,4.0,S4,3,LMN,LMN,DDD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1.0,0.103035844710377,0.3312,Away
63,5005,5.0,S5,2,LMN,LMN,MVM,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,-0.46324354657688005,-0.03420230570815368,-0.1324,Away
63,5007,5.0,S5,3,LMN,LMN,WWC,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,4,4,1,3,1.1291358024691358,0.12907631217962603,0.06570000000000001,Away
63,6003,6.0,S6,1,HEL,HEL,TTT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2142857142857143,0.024342376895594417,0.0346,Away
63,7005,7.0,S7,2,STK,STK,SCG,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,2,3,1,1,0.44001109053074483,0.05855839992877332,0.1533,Away
65,5004,5.0,S5,1,TAC,TAC,LMN,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,-0.518088578088578,-0.043727491842501576,-0.0753,Home
66,7002,7.0,S7,1,SSC,SSC,BBC,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,3,3,1,2,-1.3299177311923316,-0.12207380496245902,0.0,Away
66,7008,7.0,S7,2,SSC,SSC,TBL,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,5,3,1,2,0.9632141369395364,0.10723938185072777,0.1639,Away
66,7009,7.0,S7,3,SSC,SSC,SCG,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,-0.452476155025356,-0.03432964734576147,0.0,Away
66,7011,7.0,S7,4,SSC,SSC,SSJ,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,-0.49689605071985216,-0.038771636915211086,0.0,Away
68,6003,6.0,S6,1,HEL,HEL,TTT,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0.04165727242121581,0.01290714364319054,-0.0365,Away
73,6006,6.0,S6,2,SAS,SAS,BAC,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,0,1.070509341404864,0.11287854507453238,0.11460000000000001,Away
76,4001,4.0,S4,1,PGS,PGS,PGA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,-0.3375,-0.02767831057924603,-0.1931,Home
76,6002,6.0,S6,1,SAS,SAS,SGP,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,1.1318681318681318,0.11901442412085915,0.24230000000000002,Home
76,6006,6.0,S6,2,SAS,SAS,BAC,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0.019142287406230807,0.007741839674669054,-0.024300000000000002,Away
77,4001,4.0,S4,1,PGS,PGS,PGA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.4,-0.03696415528962301,-0.0683,Home
78,7001,7.0,S7,1,BAC,BAC,STK,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.1972628112780407,-0.016086958408879363,0.0,Away
79,7005,7.0,S7,2,SCG,SCG,STK,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0.5755813953488372,0.06483678497273314,0.1286,Home
83,4001,4.0,S4,1,PGS,PGS,PGA,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0.03500000000000014,0.009571689420753988,-0.10149999999999999,Home
88,4005,4.0,S4,2,PGA,PGA,DDD,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,-0.01885964912280691,0.004185724508473283,0.0348,Away
91,7001,7.0,S7,1,STK,STK,BAC,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,3,1,1,0.6584097949400725,0.07675894765078137,0.0,Home
91,7005,7.0,S7,2,STK,STK,SCG,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,3,1,2,1.4532310321889899,0.15624107137567309,0.10660000000000001,Away
91,12001,12.0,S12,1,SEF,SEF,SCR,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,5,3,2,1,0.5428571428571428,0.06299908424908426,0.074,Away
91,12003,12.0,S12,2,SEF,SEF,PQD,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0.07619047619047609,0.016332417582417578,-0.029000000000000005,Away
97,3002,3.0,S3,1,LAN,LAN,FTP,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,4,4,2,3,0.7749999999999999,0.08623563218390803,0.0,Home
100,3002,3.0,S3,1,LAN,LAN,FTP,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,1.4166666666666667,0.1482183908045977,0.0,Home
100,6006,6.0,S6,2,BAC,BAC,SAS,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,-0.3536165327210104,-0.029534042338055067,-0.0696,Home
100,7001,7.0,S7,1,BAC,BAC,STK,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,3,0,1,0.4441240806543582,0.05533037622220994,0.0,Away
