Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
TTT,CBC,6011,6.0,S6,4,1,0,0,2,1,0,7,4,0,3,2,2,0,1,0,3,6,22,1,1,-2.044776119402985,-0.13746008619876984,0.0,Away
TTT,FRG,6008,6.0,S6,2,3,0,1,5,2,0,2,3,1,7,1,3,1,0,1,9,19,27,6,6,2.9552238805970146,0.3771089411363451,0.12539999999999996,Away
TTT,HEL,6003,6.0,S6,1,0,2,4,1,1,0,5,4,0,2,2,2,0,0,0,7,15,23,4,4,1.4626865671641789,0.21328618245794656,0.1166,Home
TTT,PHB,6010,6.0,S6,3,0,1,3,3,4,0,4,5,0,3,3,0,0,1,3,7,12,26,4,4,0.9552238805970148,0.18293655207039106,0.0,Away
VFQ,CCS,4004,4.0,S4,1,1,0,5,2,2,0,3,5,2,0,5,1,1,0,0,8,16,24,6,6,2.411764705882353,0.314036743637283,0.2558,Home
VFQ,LMN,4006,4.0,S4,2,1,1,3,4,1,0,3,6,0,3,2,3,1,0,0,9,17,27,4,4,-0.3058823529411764,0.051379571886061015,-0.18849999999999997,Home
WRM,DOG,11003,11.0,S11,2,0,2,2,10,3,0,2,4,0,1,1,5,0,1,0,14,20,30,9,9,5.538461538461538,0.6407443438914027,0.0,Home
WRM,IDR,11001,11.0,S11,1,1,1,1,4,3,0,5,4,0,7,1,1,0,1,0,7,13,29,2,2,-0.8461538461538463,-0.0005203619909502494,0.0,Home
WSH,WWC,5001,5.0,S5,1,0,0,1,3,3,0,4,7,1,1,4,2,0,1,0,4,5,25,2,2,-1.1851851851851853,-0.013460760955887677,-0.19300000000000003,Away
WSW,FAP,7006,7.0,S7,2,1,0,3,2,0,0,6,7,0,1,5,2,0,0,0,6,12,27,2,2,-2.685419058553387,-0.1702801924443716,-0.5079,Home
WWC,CBC,6005,6.0,S6,2,0,0,1,1,3,0,7,4,0,2,2,3,0,0,0,2,3,23,2,2,-1.0447761194029852,-0.037460086198769824,-0.276,Away
WWC,KRB,5006,5.0,S5,2,1,2,4,1,1,0,8,1,0,3,2,1,0,0,0,8,19,24,5,5,2.3456790123456788,0.33154429283084247,0.17979999999999993,Home
WWC,LMN,5007,5.0,S5,3,0,0,1,0,1,0,3,4,0,2,3,5,1,0,0,1,2,19,0,0,-3.1851851851851856,-0.24174554183813443,-0.23850000000000002,Home
WWC,SAR,6001,6.0,S6,1,3,0,1,6,1,0,3,0,0,3,3,5,1,1,0,10,20,25,7,7,4.462686567164179,0.5220275988590155,0.2822999999999999,Home
WWC,WSH,5001,5.0,S5,1,0,1,5,6,1,0,5,2,0,3,2,2,0,1,1,12,19,27,6,6,3.3456790123456788,0.45174770774673306,0.3063,Home
