Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
BAC,PUK,6113,6.0,S6,9,1,1,1,4,3,0,0,7,5,1,3,1,0,1,1,7,27,6.0,6,2.6047297297297294,-0.1403036939800141,-0.34680000000000005,8,4,Away
BAC,RBD,6001,6.0,S6,1,0,0,3,5,0,0,0,1,9,2,2,2,2,0,0,8,24,6.0,2,-1.3952702702702706,0.23897746481430332,0.29279999999999995,12,6,Away
BAC,RRR,7006,7.0,S7,1,1,0,2,0,2,0,0,4,6,5,0,3,0,0,0,3,23,6.0,1,-2.2911574406901507,0.3254406353234506,0.3853,8,3,Home
BAC,RRR,7095,7.0,S7,12,1,0,1,1,4,0,0,11,1,4,3,2,0,0,0,3,28,7.0,3,-1.4553365451677633,0.26279873952217603,0.12719999999999995,10,8,Away
BAC,SAR,6183,6.0,S6,14,1,0,3,3,5,0,1,3,6,5,1,2,1,0,1,7,29,6.333333333333333,4,0.5215456501277396,0.07215848222132142,-0.06990000000000007,12,7,Away
BAC,SAS,6071,6.0,S6,6,1,1,1,5,3,2,0,5,1,0,6,2,1,0,0,8,25,5.0,8,5.170608108108108,-0.41346660478239805,-0.7543000000000001,8,4,Away
BAC,SCG,7040,7.0,S7,5,0,0,5,0,3,0,0,6,6,3,2,1,0,0,0,5,26,6.0,5,0.7088425593098491,0.038004751574029105,-0.24790000000000004,8,4,Home
BAC,SGP,6057,6.0,S6,5,2,0,1,5,2,0,0,3,5,4,4,2,0,0,0,8,28,6.0,9,5.60472972972973,-0.44444746222115067,-0.3395,11,7,Home
BAC,SSC,7056,7.0,S7,7,2,0,5,3,1,1,0,1,5,4,5,2,1,0,0,10,28,6.0,8,4.708842559309849,-0.35361917092558526,-0.2735,13,8,Home
BAC,SSJ,7075,7.0,S7,10,1,0,3,1,2,0,1,0,4,7,1,2,1,0,0,5,21,5.0,4,1.2573687994248741,-0.037788066188437636,-0.4315999999999999,10,5,Away
BAC,STK,7025,7.0,S7,4,3,0,1,3,1,0,0,2,3,4,4,1,0,0,1,7,22,5.0,5,2.257368799424874,-0.12941198868805193,-0.20540000000000008,12,7,Away
BAC,TBL,7020,7.0,S7,3,3,0,0,2,1,1,0,1,6,5,3,1,1,0,1,5,22,6.0,3,-0.291157440690151,0.12544063532345057,-0.098,11,4,Home
BAC,TBL,7106,7.0,S7,14,0,0,0,4,2,0,0,4,5,5,1,1,2,0,0,4,22,6.0,1,-2.291157440690151,0.3212525965732577,0.29510000000000003,7,2,Away
BAC,TRI,7043,7.0,S7,6,0,0,2,2,1,0,0,3,3,8,0,3,1,0,0,4,22,6.0,1,-2.291157440690151,0.3212525965732577,0.1923,11,4,Away
BAC,WWC,6169,6.0,S6,13,0,0,0,3,4,0,2,3,7,2,3,2,1,0,0,3,24,6.0,2,-2.39527027027027,0.33897746481430335,0.5107999999999999,10,6,Home
BAG,BIS,8040,8.1,S8A,7,0,1,0,3,2,0,0,5,5,1,3,2,1,1,1,4,22,6.0,1,-3.06,0.4080686087895755,0.3433,11,5,Home
BAG,BLO,8025,8.1,S8A,5,0,0,2,2,2,0,0,5,1,2,4,4,2,0,0,4,22,6.0,1,-3.0599999999999996,0.3995628913904442,0.1161,10,5,Home
BAG,CCD,8008,8.1,S8A,2,1,0,5,2,4,0,0,2,2,4,6,2,2,1,0,8,28,6.0,5,0.94,0.029332902287403706,-0.14490000000000003,11,3,Home
BAG,CDT,8013,8.1,S8A,3,1,0,0,0,1,0,0,5,3,1,5,4,0,0,0,1,20,6.0,1,-3.06,0.39105717399131296,0.3133,12,9,Away
BAG,GND,8031,8.1,S8A,6,1,1,2,4,3,0,0,4,7,1,3,3,0,0,0,8,29,6.0,5,0.9400000000000003,0.02933290228740375,-0.08940000000000012,13,4,Away
BAG,LAC,8022,8.1,S8A,4,3,0,2,5,2,0,0,4,2,2,3,4,1,2,2,10,27,6.0,5,0.9400000000000003,0.037838619686535034,-0.24469999999999997,11,7,Home
BAG,MMM,8043,8.1,S8A,8,4,0,4,3,1,0,0,4,4,2,2,3,0,2,0,11,27,5.0,10,6.616666666666667,-0.538333764379263,-0.5513000000000001,6,1,Away
