Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
GTY,SPR,5029,5.0,S5,3,2,0,0,4,4,0,3,1,0,3,4,4,0,4,0,6,12,25,7,7,3.646778042959427,0.4850682381724877,0.2585,Home
GTY,SPR,5162,5.0,S5,14,1,0,2,5,3,0,4,2,1,1,5,4,1,0,1,8,13,27,4,3,-0.0238663484486876,0.1138524047600712,0.0061999999999999,Away
GTY,TSA,5125,5.0,S5,11,0,0,3,5,2,0,4,2,1,0,3,6,0,1,0,8,11,25,4,4,0.6467780429594272,0.1726140553576727,0.2377,Home
GTY,WSH,5073,5.0,S5,7,2,1,2,3,1,0,5,1,0,1,3,6,1,1,1,8,18,25,6,6,1.9761336515513124,0.3097010104884662,0.4076999999999999,Away
GTY,WWC,5051,5.0,S5,5,1,0,2,0,1,0,5,1,0,9,1,2,0,1,0,3,8,22,1,1,-3.023866348448688,-0.2069045665979537,-0.2762,Away
GTY,YUM,5113,5.0,S5,10,2,1,2,0,4,0,2,4,0,8,0,3,1,2,0,5,15,26,5,5,0.9761336515513126,0.2138524047600712,-0.023745,Away
HEL,BBB,6081,6.0,S6,6,1,3,1,1,3,0,6,4,0,1,5,0,1,0,1,6,16,25,4,4,0.6047297297297295,0.1698113623397873,-0.1580999999999999,Home
HEL,CIM,6134,6.0,S6,10,0,0,3,1,1,0,2,4,0,6,2,3,0,0,0,4,7,22,0,0,-2.949120986057726,-0.2023949999107758,-0.6787,Home
HEL,FRG,6151,6.0,S6,11,1,0,1,0,1,0,8,3,0,2,2,3,0,0,0,2,6,21,1,1,-2.3952702702702706,-0.1512152509999847,-0.2252,Away
HEL,LIM,6012,6.0,S6,1,2,0,2,4,3,0,1,4,0,7,1,3,1,0,1,8,16,27,3,3,-0.3952702702702704,0.0782220076756961,-0.1795,Away
HEL,MBT,6069,6.0,S6,5,0,1,3,4,3,0,6,4,0,1,2,1,1,0,0,8,13,25,6,6,3.170608108108108,0.4221938775096707,0.3445,Away
HEL,MVS,6093,6.0,S6,7,0,1,1,1,3,0,8,6,1,1,3,0,0,1,0,3,6,24,1,1,-2.39527027027027,-0.134393960328167,-0.1926999999999999,Away
