Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
FTP,LAN,3002,3.0,S3,1,4,0,2,6,5,1,0,7,7,0,1,0,0,0,0,12,32,5.0,13,6.874999999999999,-0.5311781609195403,0.0,7,3,Away
HEL,TTT,6003,6.0,S6,1,0,2,4,1,1,0,0,5,4,2,2,2,0,0,0,7,23,5.0,4,1.4626865671641789,-0.024342648760314514,-0.1166,8,2,Away
IDR,WRM,11001,11.0,S11,1,1,1,1,4,3,0,0,5,4,7,1,1,0,1,0,7,29,6.333333333333333,2,-0.8461538461538463,0.21757918552036198,0.0,9,2,Away
ISO,KRB,5002,5.0,S5,1,3,0,1,1,2,0,0,6,0,4,1,3,1,0,0,5,21,5.0,4,1.3456790123456785,-0.04319417370586963,-0.181,8,5,Away
KGB,POS,9001,9.0,S9,1,1,0,3,4,1,0,0,6,0,2,3,3,0,3,1,8,23,5.0,4,0.857142857142857,-0.022355769230769207,0.0,9,4,Away
KIR,CRN,10001,10.0,S10,1,4,0,2,0,1,0,0,3,5,4,3,2,1,0,0,6,24,6.0,5,1.7142857142857142,-0.06408163265306122,-0.3088,14,5,Home
KNX,PBA,7004,7.0,S7,1,0,0,2,1,0,0,0,6,8,0,3,1,0,0,0,3,21,6.0,0,-3.2238805970149254,0.4129993196411107,0.0,5,4,Away
KNX,SSJ,7007,7.0,S7,2,2,0,0,0,3,0,2,5,2,0,6,1,1,0,0,2,19,5.0,3,0.31343283582089554,0.05063833255375545,-0.09469999999999999,8,3,Away
KRB,ISO,5002,5.0,S5,1,1,0,2,3,1,0,0,3,3,6,2,3,1,0,0,6,24,6.0,2,-1.1851851851851851,0.2229456356941737,0.3183,12,6,Home
KRB,WWC,5006,5.0,S5,2,1,2,4,1,1,0,0,8,1,3,2,1,0,0,0,8,24,5.0,5,2.3456790123456788,-0.13014078405891272,-0.17979999999999993,6,5,Away
LAC,BIS,8002,8.1,S8A,1,1,0,2,1,1,0,0,4,4,2,2,3,0,1,0,4,20,5.0,4,2.055555555555556,-0.09698590381426203,-0.28689999999999993,9,5,Away
LAN,CIN,3003,3.0,S3,2,2,0,4,4,6,0,0,3,9,2,0,3,1,0,0,10,33,6.0,7,-0.35000000000000053,0.19620689655172419,0.0,11,7,Away
LAN,FTP,3002,3.0,S3,1,1,0,1,3,2,0,0,3,9,1,1,3,1,0,0,5,24,6.0,1,-6.3500000000000005,0.7522413793103448,0.0,13,4,Home
LMN,DDD,4007,4.0,S4,3,0,1,0,0,2,0,0,1,12,1,0,3,1,0,0,1,20,6.0,1,-3.3058823529411763,0.4343412551266925,0.5355000000000001,13,4,Away
LMN,EEE,4003,4.0,S4,1,1,1,5,2,5,0,1,5,6,1,1,3,2,0,0,9,30,6.0,6,1.694117647058823,-0.013782234957020034,0.14240000000000005,9,5,Away
LMN,MVM,5005,5.0,S5,2,1,0,1,4,1,0,0,4,5,0,4,3,2,1,0,6,23,6.0,3,-0.18518518518518567,0.12294563569417372,0.3202,11,7,Away
LMN,TAC,5004,5.0,S5,1,1,1,2,0,1,0,0,1,4,2,6,4,1,0,0,4,22,6.0,2,-1.1851851851851856,0.21424337592953577,0.22319999999999998,9,4,Away
LMN,VFQ,4006,4.0,S4,2,1,1,3,4,1,0,0,3,6,3,2,3,1,0,0,9,27,6.0,4,-0.3058823529411764,0.17065481206809371,0.18849999999999997,12,7,Away
LMN,WWC,5007,5.0,S5,3,0,0,1,0,1,0,0,3,4,2,3,5,1,0,0,1,19,6.0,0,-3.1851851851851856,0.40118998628257885,0.23850000000000002,12,7,Away
MOB,SCU,8501,8.2,S8B,1,2,1,5,5,3,0,1,4,3,1,3,2,1,0,1,13,29,5.0,13,8.128205128205128,-0.5809610110657231,0.0,8,3,Away
MVM,LMN,5005,5.0,S5,2,2,1,1,3,1,0,0,6,2,7,2,1,0,2,0,7,26,6.0,3,0.8148148148148148,0.040350155223449535,-0.1804999999999999,9,5,Home
MVM,SAR,5003,5.0,S5,1,0,1,0,2,2,0,0,4,2,6,3,2,0,1,1,3,22,6.0,0,-3.185185185185185,0.42294563569417365,0.6176,12,7,Home
NNL,BIR,9002,9.0,S9,1,4,1,1,2,4,0,0,6,1,3,2,1,0,1,0,8,25,4.333333333333333,7,4.110714285714286,-0.3477129120879121,0.0,7,5,Away
NUT,CC,8502,8.2,S8B,1,1,3,2,2,4,1,0,3,4,1,1,7,1,1,1,8,28,6.0,4,-1.8461538461538467,0.4164748863701744,0.0,13,9,Away
