ID,Name,League,Season,Session,Game ID,Team,Notes
139,,MLR,4,9,125,KCR,Pinch hit for in B3
139,,MLR,4,11,153,KCR,Pinch hit for in B2
140,,MLR,12,3,37,KCR,Pinch hit for in B2
142,,MLR_Playoff,3,1,1,KCR,Pinch hit for in B2
144,,MLR,6,3,41,CLE,Pinch hit for in T2
144,,MLR,6,5,70,CLE,Pinch hit for in B2
145,,MiLR,4,4,31,MBX,Pinch hit for in B1
146,,FCB,3,2,8,TOL,Game called before PA
146,,MLR,4,5,71,NYM,Fielding Replacement
146,,MLR,5,11,158,OAK,Fielding Replacement
149,,MiLR,7,11,83,STK,Fielding Replacement
149,,MiLR,11,6,36,PRP,Pinch hit for in B2
150,,MLR,6,3,44,SDP,Pinch hit for in T3
153,,LLR,1,7,27,VEN,Pinch hit for in B1
155,,MLR,4,2,25,CHC,Pinch hit for in B2
155,,MLR,5,3,42,CHC,Pinch hit for in T2
155,,MLR_Playoff,3,3,7,LAA,Pinch hit for in T2
156,,MLR,4,16,234,LAA,Pinch hit for in T2
158,,MiLR,5,11,132,DAD,Pinch hit for in T2
159,,MLR,4,11,162,CIN,Pinch hit for in B1
159,,MLR,6,3,33,CIN,Fielding Replacement
161,,MLR,8,13,194,SDP,Pinch hit for in B1
161,,MLR,9,13,184,SDP,Pinch hit for in B1
161,,MLR_Playoff,6,2,5,SDP,Fielding Replacement
161,,WBC,1,6,24,JMC,Pinch hit for in T2
167,,MiLR,6,6,83,POR,Pinch hit for in B3
167,,MLR,4,1,13,COL,Pinch hit for in B2
168,,MLR,9,6,84,LAD,Pinch hit for in B2
170,,MiLR,3,8,30,CCF,Pinch hit for in B1
170,,MiLR,5,5,60,POR,Pinch hit for in B2
170,,MLR,4,3,39,LAD,Pinch hit for in T2
170,,MLR,5,3,45,LAD,Fielding Replacement
170,,MLR,7,2,17,LAD,Pinch hit for in B3
170,,MLR,8,3,45,LAD,Pinch hit for in B3
170,,MLR,10,3,36,LAD,Pinch hit for in B3
170,,MLR_Playoff,8,2,5,LAD,Pinch hit for in B1
171,,MLR,3,9,102,LAD,Pinch hit for in B2
171,,MLR,4,3,39,LAD,Pinch hit for in T2
178,,MLR,4,14,209,LAD,Fielding Replacement
178,,MLR,5,9,121,CWS,Fielding Replacement
178,,MLR,7,1,8,CWS,Fielding Replacement
179,,MLR,4,1,15,LAD,Pinch hit for in B1
183,,MiLR,6,14,195,SLT,Fielding Replacement
184,,MiLR,4,11,84,DBV,Fielding Replacement
184,,MiLR,5,13,149,GBC,Pinch hit for in T2
184,,MiLR,6,1,2,CBC,Pinch hit for in B1
184,,MLR,4,10,146,MIA,Fielding Replacement
184,,MLR,7,15,217,MIA,Pinch hit for in B2
185,,MLR,5,2,23,OAK,Fielding Replacement
186,,MLR,5,7,96,SEA,Fielding Replacement
186,,MLR,6,7,92,ATL,Fielding Replacement
186,,MLR,7,14,199,ATL,Pinch hit for in B3
186,,MLR,10,2,17,ATL,Pinch hit for in B3
187,,MLR,4,15,218,MIL,Fielding Replacement
189,,MiLR,5,9,101,SPR,Pinch hit for in T2
190,,MLR,7,4,53,MIA,Fielding Replacement
190,,MLR,7,6,90,MIA,Pinch hit for in B2
191,,MLR,11,8,111,COL,Pinch hit for in T2
192,,MLR,5,7,99,MIA,Fielding Replacement
193,,MLR,4,12,166,NYY,Fielding Replacement
77,,MLR,3,5,56,COL,"Fielding Replacement, Run Scored"
194,,MLR,4,6,86,MIA,Fielding Replacement
196,,MLR,3,15,175,MIA,Fielding Replacement
197,,MiLR,4,9,71,LMN,Fielding Replacement
197,,MiLR_Playoff,5,2,6,WWC,Pinch hit for in B2
202,,MLR,4,14,208,MIL,Fielding Replacement
203,,MLR,5,15,213,TBR,Fielding Replacement
203,,MLR,8,5,67,SDP,Pinch hit for in T2
204,,MLR,5,7,105,LAD,Fielding Replacement
204,,MLR,8,5,61,LAD,Pinch hit for in T2
205,,MiLR,4,5,33,N69,Pinch hit for in B1
205,,MiLR,5,10,114,ISO,Pinch hit for in B1
205,,MiLR,5,11,126,ISO,Pinch hit for in B2
205,,MiLR,7,7,49,SCG,Pinch hit for in T2
205,,MiLR_Playoff,4,1,3,EEE,Pinch hit for in B1
205,,MLR,6,1,14,STL,Pinch hit for in T2
205,,MLR,6,5,62,STL,Pinch hit for in B2
208,,MiLR,4,5,35,CEL,Pinch hit for in B2
208,,MLR,3,15,177,MIL,Fielding Replacement
209,,MLR,5,8,111,SFG,Replaced in B1
213,,MLR,5,6,76,BAL,Fielding Replacement
213,,MLR,7,4,51,BOS,Pinch hit for in T2
214,,MiLR,4,2,10,DBV,Pinch hit for in B2
214,,MiLR,4,6,45,LDN,Pinch hit for in T2
214,,MLR,4,3,31,NYY,Fielding Replacement
214,,MLR,4,4,57,MTL,Fielding Replacement
216,,MiLR,5,10,113,GTY,Fielding Replacement
216,,MLR,5,12,177,ATL,Pinch hit for in B2
218,,MLR,4,15,217,ATL,Fielding Replacement
222,,MLR,4,14,204,ATL,Fielding Replacement
223,,MiLR,6,4,47,SAS,Pinch hit for in B2
223,,MiLR,6,13,175,SAS,Pinch hit for in T2
223,,MLR,6,3,34,COL,Pinch hit for in T3
226,,MiLR,6,1,12,LIM,Pinch hit for in B2
226,,MLR,6,13,182,PHI,Pinch hit for in B1
226,,MLR,11,1,13,PHI,Fielding Replacement
228,,MiLR,3,6,23,CCF,Pinch hit for in B1
228,,MLR,4,4,53,ATL,Pinch hit for in T3
230,,MiLR,3,5,18,CCF,Pinch hit for in T2
230,,MiLR,4,6,43,N69,Pinch hit for in T2
230,,MLR,3,7,77,MTL,Pinch hit for in T3
230,,MLR,3,10,119,MTL,Pinch hit for in B2
232,,MLR,2,9,96,MTL,Fielding Replacement
233,,MiLR,5,12,139,TAI,Fielding Replacement
233,,MLR,11,14,201,ARI,Pinch hit for in T3
236,,MLR,5,8,117,NYM,Fielding Replacement
236,,MLR,5,11,160,NYM,Pinch hit for in T2
240,,MiLR,3,4,16,CCF,Pinch hit for in B1
241,,MiLR,7,5,38,SSJ,Pinch hit for in B2
241,,MLR,2,16,163,BOS,Fielding Replacement
244,,MLR,4,13,193,CIN,Pinch hit for in T3
244,,MLR,5,5,74,STL,Pinch hit for in B3
244,,MLR,5,7,103,STL,Fielding Replacement
244,,MLR,5,10,148,STL,Pinch hit for in T2
246,,MLR,2,11,112,SDP,Schism ended game before PA
248,,MLR,4,13,194,NYM,Fielding Replacement
249,,MiLR,6,5,67,POR,Fielding Replacement
255,,MLR,6,6,87,ARI,"Fielding Replacement, Pinch hit for in B6"
256,,MiLR,5,12,137,SPR,Pinch hit for in T2
256,,MiLR,6,13,181,SUP,Pinch hit for in B1
256,,MLR,5,1,1,NYY,Pinch hit for in T2
256,,MLR,5,13,181,NYY,Pinch hit for in T2
256,,MLR,6,13,191,TEX,Fielding Replacement
257,,MiLR,6,11,141,CWJ,Pinch hit for in T2
257,,MiLR,7,9,68,BBB,Pinch hit for in T2
258,,GIB,2,7,27,ORL,Fielding Replacement
263,,MLR,3,10,112,NYY,Pinch hit for in B2
264,,MiLR,8A,5,30,GND,Pinch hit for in B3
264,,MLR,3,12,142,NYY,Pinch hit for in B2
264,,MLR,7,16,240,PHI,Pinch hit for in B1
266,,MLR,5,14,202,LAA,Pinch hit for in B1
269,,MLR,4,8,112,OAK,Pinch hit for in T2
271,,MLR,6,2,30,OAK,Pinch hit for in B2
271,,MLR,6,3,42,OAK,Pinch hit for in B1
273,,MLR,5,7,100,ARI,Pinch hit for in B2
276,,MLR,2,12,124,MIL,Pinch hit for in B2
278,,MiLR,11,13,78,SHH,Fielding Replacement
278,,MLR,2,18,184,TB,Pinch Runner
278,,MLR,9,10,147,ANA,Pinch hit for in B3
278,,MLR,12,4,47,NYM,Pinch hit for in T3
284,,MiLR,6,3,29,WWC,Fielding Replacement
287,,MLR,3,8,95,PHI,Fielding Replacement
289,,MiLR,6,8,102,JEF,Pinch hit for in B1
290,,MiLR,6,10,129,JEF,Pinch hit for in B1
290,,MLR,2,17,174,PHI,Fielding Replacement
292,,MLR,4,16,238,CHC,Fielding Replacement
293,,GIB,3,6,23,FUB,Fielding Replacement
293,,MiLR,3,3,9,FTP,Fielding Replacement
293,,MiLR,4,5,40,LMN,Fielding Replacement
293,,MLR,3,13,148,PHI,Fielding Replacement
293,,MLR,11,13,191,PHI,Fielding Replacement
294,,MLR,3,12,144,NYM,Fielding Replacement
295,,MLR,4,2,26,PHI,Pinch hit for in T2
295,,MLR,7,2,17,LAD,Pinch hit for in B1
295,,MLR,12,12,178,LAD,Pinch hit for in T2
296,,MLR,4,10,145,PHI,Pinch hit for in T3
298,,GIB,1,3,7,WBK,Fielding Replacement
300,,MLR,3,6,71,PHI,Fielding Replacement
307,,MLR,5,7,103,PIT,Fielding Replacement
308,,MLR,9,2,18,PIT,Pinch hit for in B1
309,,MLR,11,14,205,PIT,Pinch hit for in B1
309,Emer Bock,MLR,12,3,43,PIT,Pinch hit for in B1
314,,MLR,5,8,108,PIT,Pinch hit for in T3
314,,MLR,7,6,82,PIT,Pinch hit for in T3
314,,MLR,7,13,195,PIT,Pinch hit for in B2
314,,MLR,8,10,148,PIT,Pinch hit for in T3
315,,MiLR,4,5,37,CCS,Pinch hit for in B3
315,,MiLR,4,12,93,CCS,Pinch hit for in T2
316,,MLR,4,13,194,MIL,Pinch hit for in B2
317,,MLR,3,10,113,PIT,Pinch hit for in T3
324,,MiLR,7,13,100,BBB,Pinch hit for in T2
324,,MLR,5,16,240,SDP,Fielding Replacement
324,,MLR,6,6,90,SDP,Fielding Replacement
325,,MiLR,5,13,146,CHI,Pinch hit for in B3
326,,MLR,4,5,64,TBD,Pinch hit for in B1
329,,MLR,7,6,88,SDP,Pinch hit for in B3
329,,MLR,8,4,54,SDP,Pinch hit for in B2
331,,MLR,11,2,29,SDP,Fielding Replacement
333,Benjamin Baeurkemper,MLR,4,2,20,SDP,Pinch hit for in B1
334,,MiLR,5,14,167,MVM,Pinch hit for in T2
334,,MLR,4,9,135,SDP,Pinch hit for in B2
334,,MLR,5,3,40,NYM,Fielding Replacement
335,,MiLR,7,9,72,RRR,Pinch hit for in B2
335,,MiLR,7,12,95,RRR,Pinch hit for in B2
335,,MLR,7,5,75,CIN,Fielding Replacement
339,,MiLR,4,4,30,CCS,Fielding Replacement
339,,MiLR,5,10,118,LMN,Pinch hit for in T2
340,,MLR,7,4,55,LAD,Pinch hit for in B2
340,,MLR,9,6,84,LAD,Pinch hit for in B3
342,,NPR,1,4,17,HIR,Game called before PA
344,,MiLR,5,9,98,RKT,Fielding Replacement
350,,MLR,4,1,14,SFG,Pinch hit for in B2
350,,MLR,7,16,230,CIN,Pinch hit for in B2
350,,MLR_Playoff,6,2,6,STL,Pinch hit for in T3
354,,MiLR,5,4,37,KRB,Pinch hit for in B1
354,,MLR,8,10,137,TOR,Pinch hit for in B2
355,,MiLR,8B,4,14,ESP,Pinch hit for in B1
355,,MLR,10,16,235,MTL,Pinch hit for in B3
355,,MLR,11,14,198,DET,Pinch hit for in B1
355,,MLR_Playoff,12,3,9,DET,Pinch hit for in B1
357,,MLR,5,8,109,STL,Pinch hit for in T2
357,,MLR,8,1,4,STL,Pinch hit for in B1
359,,ECO,1,6,21,MB,Schism ended game before PA
361,,MiLR,12,11,55,SDV,Pinch hit for in B1
362,,MLR,3,8,94,STL,Pinch hit for in T2
362,,MLR,12,11,160,KCR,Pinch hit for in T2
363,,MLR,3,1,10,STL,Fielding Replacement
363,,MLR,5,8,113,CWS,Pinch hit for in B2
364,,MLR,2,12,122,TB,Fielding Replacement
367,,MiLR,5,9,106,MVM,Pinch hit for in T3
367,,MiLR,5,10,120,MVM,Pinch hit for in B3
367,,MiLR,5,13,156,MVM,Pinch hit for in B2
367,,MiLR,10,9,42,KRK,Pinch hit for in B2
367,,MLR,10,2,24,HOU,Pinch hit for in T3
367,,MLR,10,5,68,HOU,Pinch hit for in B2
369,,MiLR,6,2,24,MBT,Fielding Replacement
369,,MLR,2,3,23,TB,Fielding Replacement
369,,MLR,2,14,145,TB,Fielding Replacement
370,,MLR,4,7,100,STL,Pinch hit for in B1
371,,MiLR,5,14,166,TAC,Fielding Replacement
375,,MiLR,5,14,162,SPR,Pinch hit for in B1
