League,Season,Session,Game ID,Run+,Run-,Team,Notes
MiLR,4,7,50,194,189,DBV,Pinch runner scores
MLR,3,5,56,77,84,COL,Fielding replacement became ghost runner and scored
MLR,4,6,76,564,183,CWS,Pinch runner for ejected player scores
MLR,10,2,28,2683,2747,NYM,Pinch runner scores
