Line ID,Batting Team's Score:,,,,,"Win Probability, slightly edited",,,,,,,,,,,,,,,,,,,,
,Inning,Top/Bot,OBC,Outs,Inning&OBC&Outs,-10+,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10+
30,1,2,2,0,1220,0.75%,1.49%,4.69%,5.31%,11.47%,13.45%,20.82%,29.62%,39.94%,51.11%,62.78%,73.00%,81.13%,87.56%,93.38%,94.66%,97.94%,98.00%,98.75%,99.75%,100.00%
31,1,2,2,1,1221,0.50%,1.66%,2.90%,3.91%,8.08%,11.23%,17.79%,24.99%,35.31%,46.25%,58.70%,69.97%,78.82%,86.27%,91.36%,94.70%,96.14%,98.65%,98.19%,99.60%,99.75%
32,1,2,2,2,1222,0.10%,1.50%,2.65%,3.16%,6.26%,8.70%,14.62%,21.46%,30.97%,42.45%,54.93%,67.04%,76.68%,84.62%,89.79%,93.71%,95.79%,97.64%,98.52%,99.58%,99.67%
33,1,2,3,0,1230,0.75%,1.00%,1.90%,7.37%,11.55%,15.68%,23.03%,32.09%,42.53%,54.61%,66.27%,75.93%,84.16%,90.27%,93.23%,96.47%,97.04%,99.00%,99.50%,99.75%,100.00%
34,1,2,3,1,1231,0.50%,1.00%,4.39%,5.02%,9.88%,12.44%,19.15%,28.20%,37.84%,49.58%,61.87%,72.62%,81.33%,87.75%,92.13%,95.56%,97.47%,98.93%,99.12%,99.50%,100.00%
35,1,2,3,2,1232,0.10%,0.95%,1.34%,4.72%,6.10%,9.75%,14.34%,21.54%,30.88%,42.39%,55.05%,66.89%,76.99%,84.85%,90.08%,93.77%,95.76%,97.33%,98.53%,99.33%,100.00%
36,1,2,4,0,1240,0.00%,2.91%,7.73%,7.95%,10.24%,17.06%,24.56%,33.07%,42.86%,53.29%,64.41%,74.75%,82.38%,88.05%,91.74%,96.70%,98.95%,99.25%,99.50%,99.75%,100.00%
37,1,2,4,1,1241,0.98%,1.23%,3.54%,5.41%,9.69%,13.50%,20.16%,28.33%,37.69%,48.54%,60.14%,70.99%,80.23%,86.65%,90.82%,94.19%,97.69%,96.67%,99.00%,99.50%,100.00%
38,1,2,4,2,1242,1.08%,4.03%,1.57%,3.62%,8.58%,11.12%,16.84%,24.04%,33.41%,44.20%,56.50%,68.11%,77.67%,85.06%,90.73%,94.41%,96.06%,97.60%,98.99%,99.34%,100.00%
39,1,2,5,0,1250,1.00%,2.50%,5.00%,7.14%,16.89%,18.01%,26.59%,35.51%,45.92%,58.53%,68.57%,77.63%,85.27%,89.73%,94.43%,96.71%,97.65%,98.00%,99.00%,99.75%,100.00%
