Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Dread Scott,,788.0,Hayden McCloud,129.0,402.0,K,386.0,T1,2,4,0,2,,,0,0,34,7,2,TCU,WSU,K,K,,1
Rob Patterson,140.0,160.0,Charles Magnus,220.0,580.0,PO,420.0,B1,0,0,0,2,,,0,0,35,7,2,WSU,TCU,PO,PO,,1
Fergus Fluoride,,888.0,Charles Magnus,220.0,666.0,FO,222.0,B1,1,0,0,2,,,0,0,35,7,2,WSU,TCU,FO,FO,,1
Nicholas Verduci,70.0,385.0,Charles Magnus,220.0,914.0,LGO,471.0,B1,2,0,0,2,,,0,0,35,7,2,WSU,TCU,LGO,LGO,,1
Aaron IceCream,358.0,745.0,Hayden McCloud,129.0,405.0,K,340.0,T2,0,0,0,2,,,0,0,36,7,2,TCU,WSU,K,K,,1
Charles Magnus,220.0,580.0,Hayden McCloud,129.0,621.0,2B,41.0,T2,1,0,0,2,,,0,0,36,7,2,TCU,WSU,2B,2B,,1
River Ride,342.0,412.0,Hayden McCloud,129.0,897.0,LGO,485.0,T2,1,2,0,2,,,0,0,36,7,2,TCU,WSU,LGO,LGO,,1
Barney Turbo,28.0,598.0,Hayden McCloud,129.0,166.0,PO,432.0,T2,2,2,0,2,,,0,0,36,7,2,TCU,WSU,PO,PO,,1
Jack Meloy,145.0,337.0,Charles Magnus,220.0,599.0,FO,262.0,B2,0,0,0,2,,,0,0,37,7,2,WSU,TCU,FO,FO,,1
Jocko Jones,295.0,642.0,Charles Magnus,220.0,231.0,K,368.0,B2,1,0,0,2,,,0,0,37,7,2,WSU,TCU,K,K,,1
Tyler Gordon,136.0,579.0,Charles Magnus,220.0,51.0,LGO,472.0,B2,2,0,0,2,,,0,0,37,7,2,WSU,TCU,LGO,LGO,,1
Solf J. Kimblee,335.0,717.0,Hayden McCloud,129.0,92.0,K,375.0,T3,0,0,0,2,,,0,0,38,7,2,TCU,WSU,K,K,,1
Walnuts Labonte,261.0,275.0,Hayden McCloud,129.0,211.0,2B,64.0,T3,1,0,0,2,,,0,0,38,7,2,TCU,WSU,2B,2B,,1
Odin Luka,9.0,140.0,Hayden McCloud,129.0,314.0,FO,174.0,T3,1,2,0,2,,,0,0,38,7,2,TCU,WSU,FO,FO,,1
Chaz McDunnough,121.0,248.0,Hayden McCloud,129.0,10.0,FO,238.0,T3,2,2,0,2,,,0,0,38,7,2,TCU,WSU,FO,FO,,1
Isaac Snowbender,339.0,686.0,Chris Orosz,219.0,325.0,K,361.0,B3,0,0,0,2,,,0,0,39,7,2,WSU,TCU,K,K,,1
Carola Wynne,,265.0,Chris Orosz,219.0,104.0,FO,161.0,B3,1,0,0,2,,,0,0,39,7,2,WSU,TCU,FO,FO,,1
Reimer Gonzalez,13.0,711.0,Chris Orosz,219.0,578.0,BB,133.0,B3,2,0,0,2,,,0,0,39,7,2,WSU,TCU,BB,BB,,1
Rob Patterson,140.0,920.0,Chris Orosz,219.0,777.0,BB,143.0,B3,2,1,0,2,,,0,0,39,7,2,WSU,TCU,BB,BB,,1
Fergus Fluoride,,234.0,Chris Orosz,219.0,789.0,RGO,445.0,B3,2,4,0,2,,,0,0,39,7,2,WSU,TCU,RGO,RGO,,1
Dean Wesrey,67.0,621.0,Korey Cluber,,72.0,LGO,451.0,T1,0,0,0,0,,,0,0,40,8,2,IND,TOL,LGO,LGO,,1
Filet-Mignon Jackson,320.0,571.0,Korey Cluber,,241.0,FO,330.0,T1,1,0,0,0,,,0,0,40,8,2,IND,TOL,FO,FO,,1
Chunky Dongmeister,348.0,589.0,Korey Cluber,,652.0,2B,63.0,T1,2,0,0,0,,,0,0,40,8,2,IND,TOL,2B,2B,,1
Michael Ikenberry,63.0,858.0,Korey Cluber,,290.0,RGO,432.0,T1,2,2,0,0,,,0,0,40,8,2,IND,TOL,RGO,RGO,,1
Benji Bjorn,427.0,220.0,Silver Shore,,808.0,PO,412.0,B1,0,0,0,0,,,0,0,41,8,2,TOL,IND,PO,PO,,1
