Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Marcel Medellin,2592,590.0,CJ Ayer,2611,322.0,K,268.0,B4,2,4,1,5,-4.58%,4.58%,0,0,89,12,4,USF,MICH,K,K,FO,,,,,1
Sammy Scully,2518,666.0,Noooot,2555,823.0,BB,157.0,T1,0,0,0,0,2.91%,-2.91%,0,0,90,13,5,MICH,RU,BB,BB,BB,,,,,1
George Pinetar,2510,555.0,Noooot,2555,1.0,DP,446.0,T1,0,1,0,0,-7.60%,7.60%,0,0,90,13,5,MICH,RU,LGO,LGO,DP,,,,,1
Rick Role,2513,420.0,Noooot,2555,302.0,BB,118.0,T1,2,0,0,0,1.98%,-1.98%,0,0,90,13,5,MICH,RU,BB,BB,1B,,,,,1
Stumpy Malone,2517,860.0,Noooot,2555,2.0,BB,142.0,T1,2,1,0,0,2.81%,-2.81%,0,0,90,13,5,MICH,RU,BB,BB,BB,,,,,1
Ty Spain,2514,666.0,Noooot,2555,983.0,K,317.0,T1,2,4,0,0,-6.55%,6.55%,0,0,90,13,5,MICH,RU,K,K,K,,,,,1
Derek Rasmussen,2588,987.0,Chicano Bradley,2509,410.0,RGO,423.0,B1,0,0,0,0,-2.48%,2.48%,0,0,91,13,5,RU,MICH,RGO,RGO,RGO,,,,,1
Hunter D. Parker,2591,399.0,Chicano Bradley,2509,672.0,RGO,273.0,B1,1,0,0,0,-2.17%,2.17%,0,0,91,13,5,RU,MICH,RGO,RGO,FO,,,,,1
Brit Kennedy,2607,898.0,Chicano Bradley,2509,439.0,LGO,459.0,B1,2,0,0,0,-1.79%,1.79%,0,0,91,13,5,RU,MICH,LGO,LGO,LGO,,,,,1
Jordan Hass,2589,69.0,Noooot,2555,450.0,RGO,381.0,T2,0,0,0,0,-2.72%,2.72%,0,0,92,13,5,MICH,RU,RGO,RGO,PO,,,,,1
