Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Dolphin Dingers,2977,300.0,Electric Windgodfist,3047,629.0,K,329.0,T1,0,0,0,0,-2.51%,2.51%,0,0,1,1,1,FOK,TOL,K,K,K,,,,,1
Archie Henderson,3042,573.0,Electric Windgodfist,3047,520.0,1B,53.0,T1,1,0,0,0,2.43%,-2.43%,0,0,1,1,1,FOK,TOL,1B,1B,2B,,,,,1
Raymond Philippe,3041,497.0,Electric Windgodfist,3047,720.0,FO,223.0,T1,1,1,0,0,-2.63%,2.63%,0,0,1,1,1,FOK,TOL,FO,FO,FO,,,,,1
Acuña Matata,3025,819.0,Electric Windgodfist,3047,245.0,RGO,426.0,T1,2,1,0,0,-3.74%,3.74%,0,0,1,1,1,FOK,TOL,RGO,RGO,RGO,,,,,1
Stealing Seconds,3038,705.0,Copernicus Hel,3016,1.0,K,296.0,B1,0,0,0,0,-2.48%,2.48%,0,0,2,1,1,TOL,FOK,K,K,K,,,,,1
Mack MacMack,2651,800.0,Copernicus Hel,3016,1.0,FO,201.0,B1,1,0,0,0,-2.17%,2.17%,0,0,2,1,1,TOL,FOK,FO,FO,FO,,,,,1
Cared Jarrabis,3030,350.0,Copernicus Hel,3016,800.0,RGO,450.0,B1,2,0,0,0,-1.79%,1.79%,0,0,2,1,1,TOL,FOK,RGO,RGO,RGO,,,,,1
Joan Wilkes Booth,3008,102.0,Electric Windgodfist,3047,552.0,LGO,450.0,T2,0,0,0,0,-2.72%,2.72%,0,0,3,1,1,FOK,TOL,LGO,LGO,RGO,,,,,1
Carmelo Anthony,3007,421.0,Electric Windgodfist,3047,682.0,FO,261.0,T2,1,0,0,0,-2.40%,2.40%,0,0,3,1,1,FOK,TOL,FO,FO,FO,,,,,1
Corva Johnson,2978,594.0,Electric Windgodfist,3047,1.0,RGO,407.0,T2,2,0,0,0,-1.99%,1.99%,0,0,3,1,1,FOK,TOL,RGO,RGO,RGO,,,,,1
Homer Pimpson II,3020,952.0,Copernicus Hel,3016,257.0,K,305.0,B2,0,0,0,0,-2.72%,2.72%,0,0,4,1,1,TOL,FOK,K,K,K,,,,,1
Kyogo Jota,2987,367.0,Copernicus Hel,3016,752.0,PO,385.0,B2,1,0,0,0,-2.38%,2.38%,0,0,4,1,1,TOL,FOK,PO,PO,PO,,,,,1
Jordan Kurdi,3017,420.0,Copernicus Hel,3016,1.0,LGO,419.0,B2,2,0,0,0,-2.03%,2.03%,0,0,4,1,1,TOL,FOK,LGO,LGO,RGO,,,,,1
Dickle Fingerford,2995,305.0,Electric Windgodfist,3047,2.0,RGO,303.0,T3,0,0,0,0,-3.03%,3.03%,0,0,5,1,1,FOK,TOL,RGO,RGO,K,,,,,1
John Applebees,3026,248.0,Electric Windgodfist,3047,412.0,FO,164.0,T3,1,0,0,0,-2.74%,2.74%,0,0,5,1,1,FOK,TOL,FO,FO,BB,,,,,1
Jerk McGurkin,3058,545.0,Electric Windgodfist,3047,223.0,K,322.0,T3,2,0,0,0,-2.31%,2.31%,0,0,5,1,1,FOK,TOL,K,K,K,,,,,1
Parker Story,3036,400.0,Copernicus Hel,3016,711.0,RGO,311.0,B3,0,0,0,0,-3.07%,3.07%,0,0,6,1,1,TOL,FOK,RGO,RGO,K,,,,,1
Chico Pappas,2996,916.0,Copernicus Hel,3016,400.0,LGO,484.0,B3,1,0,0,0,-2.77%,2.77%,0,0,6,1,1,TOL,FOK,LGO,LGO,LGO,,,,,1
Serengeti Fingers,2989,916.0,Copernicus Hel,3016,500.0,RGO,416.0,B3,2,0,0,0,-2.27%,2.27%,0,0,6,1,1,TOL,FOK,RGO,RGO,RGO,,,,,1
Archie Henderson,3042,333.0,Finnegan Craigellachie,2990,1.0,PO,332.0,T4,0,0,0,0,-3.58%,3.58%,0,0,7,1,1,FOK,TOL,PO,PO,K,,,,,1
Raymond Philippe,3041,890.0,Finnegan Craigellachie,2990,749.0,1B,141.0,T4,1,0,0,0,3.19%,-3.19%,0,1,7,1,1,FOK,TOL,1B,1B,BB,,,,,1
Acuña Matata,3025,900.0,Finnegan Craigellachie,2990,819.0,1B,81.0,T4,1,1,0,0,5.25%,-5.25%,0,1,7,1,1,FOK,TOL,1B,1B,1B,,,,,1
Joan Wilkes Booth,3008,51.0,Finnegan Craigellachie,2990,999.0,2B,52.0,T4,1,4,0,0,22.04%,-22.04%,1,1,7,1,1,FOK,TOL,2B,2B,2B,,2990.0,,,1
Carmelo Anthony,3007,657.0,Finnegan Craigellachie,2990,500.0,Sac,157.0,T4,1,6,0,1,2.24%,-2.24%,1,0,7,1,1,FOK,TOL,FO,FO,BB,2990.0,,,,1
Corva Johnson,2978,1.0,Finnegan Craigellachie,2990,989.0,HR,12.0,T4,2,2,0,2,13.08%,-13.08%,2,1,7,1,1,FOK,TOL,HR,HR,HR,,2990.0,,2990.0,1
Dickle Fingerford,2995,563.0,Finnegan Craigellachie,2990,750.0,K,187.0,T4,2,0,0,4,-0.48%,0.48%,0,0,7,1,1,FOK,TOL,K,K,FO,,,,,1
Stealing Seconds,3038,10.0,Jimbo Wellington III,2954,300.0,K,290.0,B4,0,0,0,4,-1.89%,1.89%,0,0,8,1,1,TOL,FOK,K,K,K,,,,,1
Mack MacMack,2651,674.0,Jimbo Wellington III,2954,10.0,K,336.0,B4,1,0,0,4,-1.37%,1.37%,0,0,8,1,1,TOL,FOK,K,K,K,,,,,1
Cared Jarrabis,3030,674.0,Jimbo Wellington III,2954,200.0,LGO,474.0,B4,2,0,0,4,-0.89%,0.89%,0,0,8,1,1,TOL,FOK,LGO,LGO,LGO,,,,,1
John Applebees,3026,333.0,Finnegan Craigellachie,2990,252.0,1B,81.0,T5,0,0,0,4,0.33%,-0.33%,0,0,9,1,1,FOK,TOL,1B,1B,1B,,,,,1
Jerk McGurkin,3058,180.0,Finnegan Craigellachie,2990,500.0,PO,320.0,T5,0,1,0,4,-0.38%,0.38%,0,0,9,1,1,FOK,TOL,PO,PO,K,,,,,1
Archie Henderson,3042,199.0,Finnegan Craigellachie,2990,603.0,DP,404.0,T5,1,1,0,4,-0.96%,0.96%,0,0,9,1,1,FOK,TOL,RGO,RGO,DP,,,,,1
Homer Pimpson II,3020,481.0,Jimbo Wellington III,2954,898.0,RGO,417.0,B5,0,0,0,4,-1.65%,1.65%,0,0,10,1,1,TOL,FOK,RGO,RGO,RGO,,,,,1
Kyogo Jota,2987,970.0,Jimbo Wellington III,2954,898.0,1B,72.0,B5,1,0,0,4,1.86%,-1.86%,0,1,10,1,1,TOL,FOK,1B,1B,1B,,,,,1
Jordan Kurdi,3017,285.0,Jimbo Wellington III,2954,300.0,HR,15.0,B5,1,1,0,4,8.90%,-8.90%,2,1,10,1,1,TOL,FOK,HR,HR,HR,,,2954.0,2954.0,1
Parker Story,3036,200.0,Jimbo Wellington III,2954,659.0,LGO,459.0,B5,1,0,2,4,-3.45%,3.45%,0,0,10,1,1,TOL,FOK,LGO,LGO,LGO,,,,,1
