Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Loafus Cramwell,3190,225,C. T. Bailiff,2877,680,LGO,455,T1,1,0,0,0,-2.18%,2.18%,0,0,28,14,1,MTL,SFG,LGO,LGO,LGO,,,,,1
Freddie Eggman Huff,1813,115,C. T. Bailiff,2877,940,FO,175,T1,2,0,0,0,-1.76%,1.76%,0,0,28,14,1,MTL,SFG,FO,FO,BB,,,,,1
Holly Kühnhackl,54,701,Ant man,3229,721,3B,20,B1,0,0,0,0,9.82%,-9.82%,0,1,29,14,1,SFG,MTL,3B,3B,HR,,,,,1
Big Smoke Anderson,1839,870,Ant man,3229,836,2B,34,B1,0,3,0,0,6.73%,-6.73%,1,1,29,14,1,SFG,MTL,2B,2B,2B,3229.0,,,,2
Not Gaca,3006,549,Ant man,3229,471,1B,78,B1,0,2,1,0,4.63%,-4.63%,0,0,29,14,1,SFG,MTL,1B,1B,1B,,,,,1
Hess Nahstee,443,388,Ant man,3229,1,DP,387,B1,0,5,1,0,-2.67%,2.67%,0,0,29,14,1,SFG,MTL,RGO,RGO,PO,3229.0,,,,1
Peter Hoomanawanui,2504,709,Uncle Crush,3072,67,PO,358,T1,0,0,0,0,-2.51%,2.51%,0,0,30,15,1,MIL,BOS,PO,PO,K,,,,,1
Cher Noble,3273,488,Uncle Crush,3072,999,LGO,489,T1,1,0,0,0,-2.18%,2.18%,0,0,30,15,1,MIL,BOS,LGO,LGO,LGO,,,,,1
Aladdin Sane,3263,333,Uncle Crush,3072,69,PO,264,T1,2,0,0,0,-1.76%,1.76%,0,0,30,15,1,MIL,BOS,PO,PO,FO,,,,,1
Angry Lizard,3256,696,Lamar Scrotum,3159,222,LGO,474,B1,0,0,0,0,-2.48%,2.48%,0,0,31,15,1,BOS,MIL,LGO,LGO,LGO,,,,,1
Tony Pizza,2844,6,Lamar Scrotum,3159,5,HR,1,B1,1,0,0,0,12.30%,-12.30%,1,1,31,15,1,BOS,MIL,HR,HR,HR,,,,3159.0,1
