Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Salsa Steve,2835,1.0,Total Dial,3013,950.0,2B,51.0,T1,0,0,0,0,6.33%,-6.33%,0,0,1,1,1,WWC,DDD,2B,2B,2B,,,,,1
Sid Hugo V,3032,428.0,Total Dial,3013,307.0,BB,121.0,T1,0,2,0,0,2.14%,-2.14%,0,0,1,1,1,WWC,DDD,BB,BB,1B,,,,,1
Toky Oto,2773,656.0,Total Dial,3013,307.0,K,349.0,T1,0,4,0,0,-4.44%,4.44%,0,0,1,1,1,WWC,DDD,K,K,K,,,,,1
Saul Pewald,2708,420.0,Total Dial,3013,859.0,DP,439.0,T1,1,4,0,0,-10.48%,10.48%,0,0,1,1,1,WWC,DDD,RGO,RGO,DP,,,,,1
Alex Blockman,3202,69.0,Tater Tots,3127,702.0,K,367.0,B1,0,0,0,0,-2.48%,2.48%,0,0,2,1,1,DDD,WWC,K,K,K,,,,,1
Stu PunDous,2487,603.0,Tater Tots,3127,116.0,LGO,487.0,B1,1,0,0,0,-2.17%,2.17%,0,0,2,1,1,DDD,WWC,LGO,LGO,LGO,,,,,1
Noah Diamond,2673,593.0,Tater Tots,3127,80.0,LGO,487.0,B1,2,0,0,0,-1.79%,1.79%,0,0,2,1,1,DDD,WWC,LGO,LGO,LGO,,,,,1
Philip Berkenshire,3137,26.0,Total Dial,3013,151.0,BB,125.0,T2,0,0,0,0,3.09%,-3.09%,0,1,3,1,1,WWC,DDD,BB,BB,1B,,,,,1
Katelyn 'River' Hoshino,3110,730.0,Total Dial,3013,900.0,FO,170.0,T2,0,1,0,0,-3.24%,3.24%,0,0,3,1,1,WWC,DDD,FO,FO,BB,,,,,1
Harry Peritestes,117,750.0,Total Dial,3013,135.0,PO,385.0,T2,1,1,0,0,-2.82%,2.82%,0,0,3,1,1,WWC,DDD,PO,PO,PO,,,,,1
Napoleon Swingsalot,3214,645.0,Total Dial,3013,711.0,2B,66.0,T2,2,1,0,0,14.42%,-14.42%,1,0,3,1,1,WWC,DDD,2B,2B,1B,,,3013.0,,1
Smokey Zygowski,2945,744.0,Total Dial,3013,321.0,PO,423.0,T2,2,2,0,1,-4.46%,4.46%,0,0,3,1,1,WWC,DDD,PO,PO,RGO,,,,,1
Mo Soso,3223,321.0,Tater Tots,3127,516.0,FO,195.0,B2,0,0,0,1,-3.11%,3.11%,0,0,4,1,1,DDD,WWC,FO,FO,FO,,,,,1
Blaise Bailey Finnegan III,127,738.0,Tater Tots,3127,321.0,RGO,417.0,B2,1,0,0,1,-2.69%,2.69%,0,0,4,1,1,DDD,WWC,RGO,RGO,RGO,,,,,1
Joan Andreu Rosà,3234,867.0,Tater Tots,3127,888.0,3B,21.0,B2,2,0,0,1,4.04%,-4.04%,0,0,4,1,1,DDD,WWC,3B,3B,HR,,,,,1
Hakuna Moncada,2501,704.0,Tater Tots,3127,1.0,K,297.0,B2,2,3,0,1,-6.17%,6.17%,0,0,4,1,1,DDD,WWC,K,K,K,,,,,1
Salsa Steve,2835,2.0,Total Dial,3013,264.0,K,262.0,T3,0,0,0,1,-2.37%,2.37%,0,0,5,1,1,WWC,DDD,K,K,FO,,,,,1
Sid Hugo V,3032,435.0,Total Dial,3013,67.0,K,368.0,T3,1,0,0,1,-2.03%,2.03%,0,0,5,1,1,WWC,DDD,K,K,K,,,,,1
Toky Oto,2773,817.0,Total Dial,3013,935.0,BB,118.0,T3,2,0,0,1,1.75%,-1.75%,0,1,5,1,1,WWC,DDD,BB,BB,1B,,,,,1
Saul Pewald,2708,867.0,Total Dial,3013,711.0,BB,156.0,T3,2,1,0,1,2.34%,-2.34%,0,1,5,1,1,WWC,DDD,BB,BB,BB,,,,,1
Philip Berkenshire,3137,879.0,Total Dial,3013,911.0,HR,32.0,T3,2,4,0,1,24.92%,-24.92%,3,1,5,1,1,WWC,DDD,HR,HR,2B,,3013.0,3013.0,3013.0,1
Katelyn 'River' Hoshino,3110,467.0,Total Dial,3013,411.0,2B,56.0,T3,2,0,0,4,0.84%,-0.84%,0,0,5,1,1,WWC,DDD,2B,2B,2B,,,,,1
Harry Peritestes,117,800.0,Total Dial,3013,567.0,FO,233.0,T3,2,2,0,4,-1.48%,1.48%,0,0,5,1,1,WWC,DDD,FO,FO,FO,,,,,1
