Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Ronald (Ron) Redmers,2370,279.0,Kuuma Kivi,2397,10.0,K,269.0,T3,1,0,0,1,-2.03%,2.03%,0,0,0,36,5,3,GEO,NEB,K,K,FO,1
Kilometers Man,2363,967.0,Kuuma Kivi,2397,420.0,RGO,453.0,T3,2,0,0,1,-1.82%,1.82%,0,0,0,36,5,3,GEO,NEB,RGO,RGO,LGO,1
Richard Thumpus,2375,911.0,Dirk Digglet,2206,240.0,PO,329.0,B3,0,0,0,1,-3.58%,3.58%,0,0,0,37,5,3,NEB,GEO,PO,PO,K,1
tanguy chan,2393,150.0,Dirk Digglet,2206,666.0,LGO,484.0,B3,1,0,0,1,-3.10%,3.10%,0,0,0,37,5,3,NEB,GEO,LGO,LGO,LGO,1
Don Foster,2360,999.0,Dirk Digglet,2206,327.0,PO,328.0,B3,2,0,0,1,-2.59%,2.59%,0,0,0,37,5,3,NEB,GEO,PO,PO,K,1
Guthlac son of Romund,2340,420.0,Hunter Scott CCCXXVII,786,569.0,BB,149.0,T4,0,0,0,1,2.58%,-2.58%,0,0,0,38,5,3,GEO,NEB,BB,BB,BB,1
Guthlac son of Romund,2340,800.0,Hunter Scott CCCXXVII,786,880.0,SB,80.0,T4,0,1,0,1,3.59%,-3.59%,0,0,0,38,5,3,GEO,NEB,Steal 2B,Steal 2B,SB,4
Hugh Jass,2357,223.0,Hunter Scott CCCXXVII,786,420.0,FO,197.0,T4,0,2,0,1,-3.94%,3.94%,0,0,0,38,5,3,GEO,NEB,FO,FO,FO,1
Wazz Up,2328,621.0,Hunter Scott CCCXXVII,786,197.0,RGO,424.0,T4,1,2,0,1,-3.72%,3.72%,0,0,0,38,5,3,GEO,NEB,RGO,RGO,RGO,1
Waffles O'Laughlin,2347,193.0,Hunter Scott CCCXXVII,786,420.0,FO,227.0,T4,2,3,0,1,-5.01%,5.01%,0,0,0,38,5,3,GEO,NEB,FO,FO,FO,1
Alton Beasley,2348,333.0,Obama  But White,2372,678.0,K,345.0,B4,0,0,0,1,-4.38%,4.38%,0,0,0,39,5,3,NEB,GEO,K,K,K,1
Fredrick Pabst,2343,630.0,Obama  But White,2372,762.0,BB,132.0,B4,1,0,0,1,4.07%,-4.07%,0,0,0,39,5,3,NEB,GEO,BB,BB,1B,1
Warren Peace,2352,625.0,Obama  But White,2372,965.0,K,340.0,B4,1,1,0,1,-4.31%,4.31%,0,0,0,39,5,3,NEB,GEO,K,K,K,1
Corn Barn,2337,628.0,Obama  But White,2372,134.0,LGO,494.0,B4,2,1,0,1,-6.91%,6.91%,0,0,0,39,5,3,NEB,GEO,LGO,LGO,LGO,1
Rebecca Weems,2361,,Reimer Gonzalez,13,,Auto K,,T1,0,0,0,0,-2.51%,2.51%,0,0,0,40,6,3,OSU,GT,Auto K,Auto K,Auto K,9
Terry Gaskins,2349,364.0,Reimer Gonzalez,13,821.0,LGO,457.0,T1,1,0,0,0,-2.18%,2.18%,0,0,0,40,6,3,OSU,GT,LGO,LGO,LGO,1
Stan Francisco,2378,625.0,Reimer Gonzalez,13,87.0,LGO,462.0,T1,2,0,0,0,-1.76%,1.76%,0,0,0,40,6,3,OSU,GT,LGO,LGO,LGO,1
Bad Mulligan,2350,731.0,Mazy Loron,2345,69.0,PO,338.0,B1,0,0,0,0,-2.48%,2.48%,0,0,0,41,6,3,GT,OSU,PO,PO,K,1
Gerald McCoy,2389,563.0,Mazy Loron,2345,69.0,LGO,494.0,B1,1,0,0,0,-2.17%,2.17%,0,0,0,41,6,3,GT,OSU,LGO,LGO,LGO,1
Pancake Blankenship,2346,315.0,Mazy Loron,2345,69.0,K,246.0,B1,2,0,0,0,-1.79%,1.79%,0,0,0,41,6,3,GT,OSU,K,K,FO,1
Lionel Houser,2374,683.0,Reimer Gonzalez,13,63.0,RGO,380.0,T2,0,0,0,0,-2.72%,2.72%,0,0,0,42,6,3,OSU,GT,RGO,RGO,PO,1
Boots Malarkey,2383,777.0,Reimer Gonzalez,13,500.0,K,277.0,T2,1,0,0,0,-2.40%,2.40%,0,0,0,42,6,3,OSU,GT,K,K,FO,1
