Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral
Foxx Dashington,306,925.0,Oliver Yu,286,689.0,K,236.0,T4,0,0,2,3,-2.65%,2.65%,0,0,2713,231,16,DET,PHI,K,K,FO
Buck Armstrong,97,921.0,Oliver Yu,286,609.0,K,312.0,T4,1,0,2,3,-2.58%,2.58%,0,0,2713,231,16,DET,PHI,K,K,K
Tyler Phoenix,99,640.0,Oliver Yu,286,380.0,FO,260.0,T4,2,0,2,3,-1.93%,1.93%,0,0,2713,231,16,DET,PHI,FO,FO,FO
Chuck McCluster,296,71.0,John Johnson Jr.,91,4.0,2B,67.0,B4,0,0,2,3,11.20%,-11.20%,0,1,2714,231,16,PHI,DET,2B,2B,1B
Miguel Snow,290,600.0,John Johnson Jr.,91,955.0,RGO,355.0,B4,0,2,2,3,2.03%,-2.03%,0,0,2714,231,16,PHI,DET,RGO,RGO,K
Charlie Bae Jr.,293,511.0,John Johnson Jr.,91,600.0,1B,89.0,B4,1,3,2,3,6.80%,-6.80%,1,0,2714,231,16,PHI,DET,1B,1B,1B
Charlie Bae Jr.,293,800.0,Mackin Tosh,93,845.0,SB,45.0,B4,1,1,3,3,2.96%,-2.96%,0,0,2714,231,16,PHI,DET,Steal 2B,SB,SB
Phil Coulson,226,420.0,Mackin Tosh,93,7.0,RGO,413.0,B4,1,2,3,3,-5.74%,5.74%,0,0,2714,231,16,PHI,DET,RGO,RGO,RGO
Jackson Takegi,302,658.0,Mackin Tosh,93,957.0,K,299.0,B4,2,3,3,3,-8.14%,8.14%,0,0,2714,231,16,PHI,DET,K,K,K
Edward Freeman,700,560.0,Oliver Yu,286,152.0,RGO,408.0,T5,0,0,3,3,-4.71%,4.71%,0,0,2715,231,16,DET,PHI,RGO,RGO,RGO
Francois Onime,485,509.0,Oliver Yu,286,907.0,RGO,398.0,T5,1,0,3,3,-4.48%,4.48%,0,0,2715,231,16,DET,PHI,RGO,RGO,PO
Morris Deratt,104,369.0,Oliver Yu,286,855.0,LGO,486.0,T5,2,0,3,3,-3.26%,3.26%,0,0,2715,231,16,DET,PHI,LGO,LGO,LGO
Chody McCarty,650,571.0,Mackin Tosh,93,944.0,RGO,373.0,B5,0,0,3,3,-4.39%,4.39%,0,0,2716,231,16,PHI,DET,RGO,RGO,K
Jeff Dingerhitter,298,738.0,Mackin Tosh,93,238.0,LGO,500.0,B5,1,0,3,3,-4.77%,4.77%,0,0,2716,231,16,PHI,DET,LGO,LGO,LGO
Billy McBeans,681,870.0,Mackin Tosh,93,820.0,2B,50.0,B5,2,0,3,3,5.98%,-5.98%,0,0,2716,231,16,PHI,DET,2B,2B,2B
Conor Sexton,289,59.0,Mackin Tosh,93,855.0,FO,204.0,B5,2,2,3,3,-9.02%,9.02%,0,0,2716,231,16,PHI,DET,FO,FO,FO
Merodach Baladan,100,221.0,Hudson Hildebrandt,284,516.0,K,295.0,T6,0,0,3,3,-6.10%,6.10%,0,0,2717,231,16,DET,PHI,K,K,K
Thomas Nova,1,783.0,Hudson Hildebrandt,284,907.0,BB,124.0,T6,1,0,3,3,6.77%,-6.77%,0,0,2717,231,16,DET,PHI,BB,BB,1B
Otis Nixon Sr.,107,187.0,Hudson Hildebrandt,284,101.0,BB,86.0,T6,1,1,3,3,10.10%,-10.10%,0,0,2717,231,16,DET,PHI,BB,BB,1B
Foxx Dashington,306,750.0,Hudson Hildebrandt,284,23.0,K,273.0,T6,1,4,3,3,-12.75%,12.75%,0,0,2717,231,16,DET,PHI,K,K,FO
Buck Armstrong,97,283.0,Hudson Hildebrandt,284,608.0,K,325.0,T6,2,4,3,3,-14.82%,14.82%,0,0,2717,231,16,DET,PHI,K,K,K
Chuck McCluster,296,803.0,Mackin Tosh,93,448.0,PO,355.0,B6,0,0,3,3,-6.12%,6.12%,0,0,2718,231,16,PHI,DET,PO,PO,K
Miguel Snow,290,123.0,Mackin Tosh,93,418.0,RGO,295.0,B6,1,0,3,3,-5.87%,5.87%,0,0,2718,231,16,PHI,DET,RGO,RGO,K
Charlie Bae Jr.,293,250.0,Mackin Tosh,93,516.0,FO,266.0,B6,2,0,3,3,-4.81%,4.81%,0,0,2718,231,16,PHI,DET,FO,FO,FO
