Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Brian Taylor,1838,920.0,Ferret McGivins,1706,500.0,RGO,420.0,T2,1,0,0,0,-2.40%,2.40%,0,0,IMPORT ERROR,7,2,BIS,LAC,RGO,RGO,RGO,,,,,1
Cameron gall,2547,713.0,Ferret McGivins,1706,281.0,RGO,432.0,T2,2,0,0,0,-1.99%,1.99%,0,0,IMPORT ERROR,7,2,BIS,LAC,RGO,RGO,RGO,,,,,1
Mr Peggable,259,190.0,Ben Bramly,238,500.0,PO,310.0,B2,0,0,0,0,-2.72%,2.72%,0,0,IMPORT ERROR,7,2,LAC,BIS,PO,PO,K,,,,,1
Kevin James,2659,654.0,Ben Bramly,238,214.0,RGO,440.0,B2,1,0,0,0,-2.38%,2.38%,0,0,IMPORT ERROR,7,2,LAC,BIS,RGO,RGO,RGO,,,,,1
Roosevelt Sandoval,2789,115.0,Ben Bramly,238,402.0,K,287.0,B2,2,0,0,0,-2.03%,2.03%,0,0,IMPORT ERROR,7,2,LAC,BIS,K,K,K,,,,,1
Rocco Rudnikov,114,603.0,Ferret McGivins,1706,12.0,RGO,409.0,T3,0,0,0,0,-3.03%,3.03%,0,0,IMPORT ERROR,7,2,BIS,LAC,RGO,RGO,RGO,,,,,1
Robbie,1745,904.0,Ferret McGivins,1706,777.0,BB,127.0,T3,1,0,0,0,2.77%,-2.77%,0,1,IMPORT ERROR,7,2,BIS,LAC,BB,FO,1B,,,,,1
Kev Biffington,2276,240.0,Ferret McGivins,1706,382.0,BB,142.0,T3,1,1,0,0,4.75%,-4.75%,0,1,IMPORT ERROR,7,2,BIS,LAC,BB,FO,BB,,,,,1
Matt Himynamis,361,880.0,Ferret McGivins,1706,164.0,FO,284.0,T3,1,4,0,0,-4.65%,4.65%,0,0,IMPORT ERROR,7,2,BIS,LAC,FO,FO,FO,,,,,1
IMPORT ERROR,IMPORT ERROR,202.0,IMPORT ERROR,IMPORT ERROR,933.0,,,T3,2,4,0,0,,,,,IMPORT ERROR,7,2,BIS,LAC,,,,,1706,1706,IMPORT ERROR,1
