ID,Game ID,Season,Display Season,Session,Team,Franchise,Opponent,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
275,6007,6,S6,4,GEO,GEO,OSU,0,0,0,0,2,0,0,0,5,0,2,0,0,0,0,0,9,2.333333333333333,0,-0.8278187565858797,0.1375101300337848,0.2191,4,3,Home
321,3002,3,S3,1,TOL,TOL,TCU,1,0,0,3,0,0,0,1,5,0,0,0,0,0,0,4,10,2.0,3,1.6779661016949152,-0.0705003579779872,-0.4477999999999999,3,0,Away
326,6003,6,S6,2,GT,GT,NEB,0,1,1,0,1,0,0,2,1,1,4,4,0,0,0,2,15,4.0,1,-0.6986301369863012,0.1610767709906249,0.3251999999999999,8,5,Home
326,6008,6,S6,4,GT,GT,NEB,0,0,2,1,0,0,0,0,3,0,1,0,0,0,0,3,7,1.3333333333333333,0,0.289628180039139,0.0136036020656837,0.6543,2,0,Away
345,4006,4,S4,1,VAN,VAN,UNC,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,6,2.0,0,-1.6435374149659865,0.2064593494473538,0.5703,3,1,Home
345,4010,4,S4,2,VAN,VAN,ULA,2,0,0,0,0,0,0,8,1,1,1,1,0,0,0,2,14,4.0,2,-0.0408163265306122,0.1023280512048232,-0.0341999999999999,3,2,Home
352,3004,3,S3,1,IND,IND,UOM,1,0,0,0,1,0,1,4,5,0,0,0,0,0,0,1,11,3.0,1,-0.9830508474576272,0.2053309621564175,-0.0031,1,0,Home
361,4003,4,S4,1,GT,GT,CLM,0,1,1,0,1,0,0,0,1,1,2,1,1,0,0,2,8,2.0,1,-0.0204081632653061,0.0581816269275375,-0.0486,4,1,Away
371,11016,11,S11,6,KSU,KSU,ZOO,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,5,0.6666666666666666,1,0.6066210155760235,-0.0393867029626669,-0.1388,1,1,Away
372,3004,3,S3,1,UOM,UOM,IND,0,0,0,0,3,0,0,1,4,0,1,2,1,0,0,0,11,3.0,0,-1.9830508474576272,0.3053309621564175,0.4965,4,3,Away
428,3001,3,S3,1,HOF,HOF,CSUF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.3333333333333333,0,-0.7,0.0797296252191504,0.0081,1,0,Away
451,3010,3,S3,2,CSUF,CSUF,RIC,0,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,9,3.0,0,-1.9830508474576272,0.2858717117181166,0.3909999999999999,5,2,Home
474,4001,4,S4,1,UWO,UWO,MIC,1,0,0,0,0,0,0,1,2,1,1,1,0,0,0,1,7,2.0,1,-0.0204081632653061,0.0511640256024116,-0.1188999999999999,5,2,Home
