G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,Last Session,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
1,1.3333333333333333,7,3,3,3,1,0,0,0,0,1,0,1,1,1,0,13.5,3.0,13.5,0.0,4.5,0.0,0.0,0.6,0.5714285714285714,1.0,1.5714285714285714,0.5,0.0,0.0,0.14285714285714285,0.3333333333333333,0.6666666666666666,0.5,216.0,1.6492063492063496,0.0,5,1,0,2,0,1,2,1,1,0.5,POS,S8,2524,False,PUR,PUR,4,3.817567567567568,1.6666666666666667,174,2.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,-0.13604013177598087
2,3.3333333333333335,17,5,5,5,2,0,0,1,2,0,1,0,3,5,0,9.0,2.1,9.0,3.5999999999999996,3.5999999999999996,1.7999999999999998,0.5,0.3333333333333333,0.4117647058823529,1.0,1.4117647058823528,0.25,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.1111111111111111,0.8888888888888888,0.125,215.52941176470588,2.853968253968254,0.0,15,0,0,2,1,1,8,0,0,,WC-H,S8,2633,False,UCL,UCL,3,10.567567567567568,3.3333333333333335,177,4.075198412698413,1.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.2152584606169512
2,6.333333333333333,25,5,3,3,2,0,0,6,3,1,3,3,3,3,0,2.8421052631578947,1.105263157894737,4.7368421052631575,2.8421052631578947,1.8947368421052633,5.684210526315789,3.0,0.21739130434782608,0.28,0.6521739130434783,0.9321739130434783,0.14285714285714285,0.12,0.24,0.08,0.5384615384615384,0.46153846153846156,1.1666666666666667,274.8,-1.1736111111111112,0.0,23,0,0,1,0,7,6,0,0,,TT-H,S8,2659,False,PAN,PAN,4,6.778093883357043,6.333333333333333,69,3.0,2.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2205057651991614
4,8.666666666666666,39,11,9,9,3,0,0,10,5,4,5,4,5,1,0,6.230769230769231,1.6153846153846154,7.615384615384617,3.4615384615384617,2.076923076923077,6.923076923076923,3.3333333333333335,0.3055555555555556,0.358974358974359,0.8055555555555556,1.1645299145299146,0.2857142857142857,0.1282051282051282,0.2564102564102564,0.07692307692307693,0.625,0.375,1.6666666666666667,243.6578947368421,3.276867703004067,0.0,36,0,0,1,1,10,6,0,0,,BS-S,S8,2674,False,MSU,MSU,4,7.798336798336798,9.333333333333334,140,9.0,1.0,1.0,0.0,0.0,0,2,0,0,0.0,-0.16678110992304823
3,10.333333333333334,38,6,4,4,1,0,0,3,0,1,3,3,5,17,0,2.32258064516129,0.6774193548387096,3.483870967741935,0.0,0.5806451612903225,1.7419354838709675,3.0,0.16216216216216217,0.18421052631578946,0.32432432432432434,0.5085348506401138,0.17647058823529413,0.0,0.07894736842105263,0.02631578947368421,0.21428571428571427,0.7857142857142857,0.2727272727272727,284.8421052631579,-4.241269841269842,0.0,37,0,0,4,1,6,22,0,0,,WC-B,S8,2675,False,ORD,ORD,4,1.2772449869224067,9.0,79,4.910735602781057,2.0,2.0,1.0,0.0,1,0,0,0,1.0,0.5809068583408207
1,6.0,27,6,4,4,3,0,1,4,1,1,1,3,6,4,0,4.0,1.5,6.0,1.0,3.0,4.0,1.3333333333333333,0.2608695652173913,0.3333333333333333,0.6521739130434783,0.9855072463768115,0.2631578947368421,0.037037037037037035,0.14814814814814814,0.1111111111111111,0.2857142857142857,0.7142857142857143,0.4,244.77777777777777,0.09523809523809557,0.0,23,1,0,2,2,4,10,1,0,1.0,BS-S,S8,2678,False,ORD,ORD,3,3.9009009009009015,6.0,97,4.0,1.0,1.0,1.0,0.0,1,0,0,0,1.0,0.10187241689128476
3,7.666666666666667,31,3,3,3,6,0,0,5,0,0,3,5,5,4,0,2.3478260869565215,1.1739130434782608,2.3478260869565215,0.0,4.695652173913043,3.9130434782608696,0.8333333333333334,0.125,0.2903225806451613,0.2916666666666667,0.581989247311828,0.15,0.0,0.16129032258064516,0.1935483870967742,0.5,0.5,1.0,252.0909090909091,-2.0126984126984127,0.0,24,1,0,2,1,9,9,2,0,1.0,EN-S,S8,2684,False,MCH,MCH,4,2.611045828437133,8.0,54,3.0,1.0,1.0,0.0,0.0,1,0,1,0,1.0,0.32916921233902363
3,9.666666666666666,40,9,4,4,5,0,1,6,1,5,5,5,8,2,0,2.4827586206896552,1.4482758620689655,5.586206896551724,0.6206896551724139,3.1034482758620694,3.724137931034483,1.2,0.2647058823529412,0.35,0.47058823529411764,0.8205882352941176,0.2857142857142857,0.025,0.15,0.125,0.5454545454545454,0.45454545454545453,1.2,253.2051282051282,-2.2390873015873014,0.0,34,1,0,2,1,12,10,0,1,0.0,BS-S,S8,2694,False,UCL,UCL,4,3.2227399813606716,10.0,44,3.0,1.0,2.0,0.0,0.0,2,0,0,0,1.0,0.3889401766996106
3,7.666666666666667,38,13,7,7,3,0,0,8,1,7,0,3,9,2,0,5.478260869565217,2.0869565217391304,10.173913043478262,0.7826086956521738,2.3478260869565215,6.260869565217391,2.6666666666666665,0.38235294117647056,0.42105263157894735,0.6176470588235294,1.0386996904024768,0.46153846153846156,0.02631578947368421,0.21052631578947367,0.07894736842105263,0.26666666666666666,0.7333333333333333,0.36363636363636365,205.68421052631578,2.4549258821986086,0.0,34,1,0,5,0,4,11,0,0,,POS,S8,2707,False,PUR,PUR,4,2.350176263219742,8.333333333333334,126,7.252608881017972,1.0,1.0,0.0,0.0,0,0,0,0,0.0,-0.0887127140060244
3,6.0,28,4,2,2,6,0,0,2,0,3,1,2,9,4,0,2.0,1.6666666666666667,4.0,0.0,6.0,2.0,0.3333333333333333,0.18181818181818182,0.35714285714285715,0.22727272727272727,0.5844155844155844,0.2,0.0,0.07142857142857142,0.21428571428571427,0.1875,0.8125,0.23076923076923078,234.96666666666667,-2.0802721088435385,0.0,22,0,0,1,0,3,13,2,0,1.0,NH-S,S8,2714,False,MCH,MCH,4,3.9009009009009015,6.333333333333333,2,0.07519841269841271,0.0,2.0,0.0,0.0,1,0,0,0,1.0,0.3235492234629702
