G,PA,AB,H,R,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS,Avg Diff,nOBP,nSLG,Season,Hitter ID
2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,276.5,0.0,0.0,S1,-19
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,S1,-18
4.0,7.0,7.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.7142857142857142,293.4,0.14285714285714285,0.5714285714285714,S1,-17
4.0,9.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.2857142857142857,0.6190476190476191,264.2,0.3333333333333333,0.2857142857142857,S1,-16
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,0.0,0.0,S1,-15
6.0,16.0,14.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.2857142857142857,0.3125,0.2857142857142857,0.5982142857142857,281.5625,0.3125,0.2857142857142857,S1,-14
2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,463.3333333333333,0.0,0.0,S1,-13
2.0,6.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4,0.5,1.0,1.5,199.8,0.5,1.0,S1,-12
2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,434.5,0.0,0.0,S1,-11
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,326.5,0.0,0.0,S1,-10
5.0,14.0,14.0,6.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.42857142857142855,0.42857142857142855,0.7142857142857143,1.1428571428571428,219.0,0.42857142857142855,0.7142857142857143,S1,-9
2.0,7.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.7142857142857143,1.2857142857142856,163.0,0.5714285714285714,0.7142857142857143,S1,-8
4.0,7.0,7.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,1.0,185.0,0.42857142857142855,0.5714285714285714,S1,-7
4.0,11.0,10.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.2727272727272727,0.3,0.5727272727272728,304.72727272727275,0.2727272727272727,0.3,S1,-6
1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,228.5,0.5,1.0,S1,-5
6.0,13.0,11.0,5.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.45454545454545453,0.46153846153846156,0.7272727272727273,1.1888111888111887,228.69230769230768,0.46153846153846156,0.7272727272727273,S1,-4
2.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.5,0.75,349.0,0.25,0.5,S1,-3
3.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.2,0.3333333333333333,0.2,0.5333333333333333,256.1666666666667,0.3333333333333333,0.2,S1,-2
1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,301.6666666666667,0.3333333333333333,0.6666666666666666,S1,-1
1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,1.0,181.0,0.5,0.5,S1,3
5.0,11.0,10.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.2,0.2727272727272727,0.4,0.6727272727272727,240.54545454545453,0.2727272727272727,0.4,S1,4
7.0,19.0,17.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.17647058823529413,0.2631578947368421,0.23529411764705882,0.4984520123839009,294.5263157894737,0.2631578947368421,0.23529411764705882,S1,5
7.0,19.0,16.0,6.0,7.0,5.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,0.375,0.47368421052631576,0.875,1.3486842105263157,226.16666666666666,0.47368421052631576,0.875,S1,8
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,158.0,0.5,0.0,S1,14
7.0,20.0,18.0,7.0,5.0,2.0,0.0,3.0,7.0,2.0,3.0,0.0,0.0,0.3888888888888889,0.45,1.0,1.45,200.3,0.45,1.0,S1,15
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,S1,23
7.0,21.0,19.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.10526315789473684,0.14285714285714285,0.15789473684210525,0.3007518796992481,261.04761904761904,0.14285714285714285,0.15789473684210525,S1,37
1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,327.6666666666667,0.3333333333333333,0.0,S1,39
7.0,19.0,17.0,8.0,7.0,2.0,0.0,2.0,7.0,2.0,1.0,0.0,0.0,0.47058823529411764,0.5263157894736842,0.9411764705882353,1.4674922600619196,196.44444444444446,0.5263157894736842,0.9411764705882353,S1,47
5.0,14.0,14.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.6428571428571428,273.35714285714283,0.21428571428571427,0.42857142857142855,S1,51
7.0,19.0,18.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.16666666666666666,0.21052631578947367,0.3333333333333333,0.5438596491228069,303.1578947368421,0.21052631578947367,0.3333333333333333,S1,56
4.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.125,0.2222222222222222,0.125,0.3472222222222222,238.22222222222223,0.2222222222222222,0.125,S1,58
2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,S1,74
3.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.125,0.0,0.125,326.75,0.125,0.0,S1,93
5.0,13.0,13.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.38461538461538464,0.6153846153846154,246.45454545454547,0.23076923076923078,0.38461538461538464,S1,100
6.0,17.0,15.0,3.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.2,0.29411764705882354,0.4666666666666667,0.7607843137254902,297.0625,0.29411764705882354,0.4666666666666667,S1,101
7.0,18.0,17.0,6.0,2.0,0.0,0.0,2.0,6.0,1.0,1.0,0.0,0.0,0.35294117647058826,0.3888888888888889,0.7058823529411765,1.0947712418300655,228.0,0.3888888888888889,0.7058823529411765,S1,103
7.0,18.0,15.0,4.0,5.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,0.26666666666666666,0.3888888888888889,0.6666666666666666,1.0555555555555556,249.16666666666666,0.3888888888888889,0.6666666666666666,S1,104
6.0,15.0,14.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.6190476190476191,278.92857142857144,0.3333333333333333,0.2857142857142857,S1,106
6.0,18.0,16.0,4.0,3.0,0.0,1.0,2.0,4.0,1.0,4.0,0.0,0.0,0.25,0.2777777777777778,0.75,1.0277777777777777,214.94444444444446,0.2777777777777778,0.75,S1,107
3.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,280.1666666666667,0.16666666666666666,0.3333333333333333,S1,112
7.0,22.0,20.0,8.0,4.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.4,0.45454545454545453,0.45,0.9045454545454545,226.54545454545453,0.45454545454545453,0.45,S1,115
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,S1,120
1.0,4.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.5,1.0,1.5,164.0,0.5,1.0,S1,122
7.0,20.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.2777777777777778,0.3,0.5555555555555556,0.8555555555555556,264.57142857142856,0.3,0.5555555555555556,S1,125
7.0,20.0,20.0,6.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.3,0.3,0.35,0.6499999999999999,259.1,0.3,0.35,S1,133
