G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
1,2,2,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,0.5,1.0,,0.0,0.5,0.0,,,,151.0,0.5,1.0,0.08040593286494924,-0.01589999999999999,0,0,BP,2,2,1,2,0,0,0,S12,84.0,False,COL,COL,2,0.01634018842819533
2,6,5,1,1,0,0,0,1,4,2,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0.2,0.3333333333333333,0.8,1.1333333333333333,0.6000000000000001,0.0,,0.16666666666666666,0.0,0.16666666666666666,0.25,0.75,0.3333333333333333,250.16666666666666,0.3333333333333333,0.8,0.4908903162308841,0.1247,1,3,EN,6,5,1,4,1,0,0,S12,89.0,False,COL,COL,2,0.07398781704818962
2,6,5,1,2,0,0,0,1,4,2,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0.2,0.3333333333333333,0.8,1.1333333333333333,0.6000000000000001,0.0,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,2.0,249.66666666666666,0.3333333333333333,0.8,0.5231417096887951,0.22340000000000002,2,1,TT,6,5,1,4,1,0,0,S12,91.0,False,SDP,SDP,2,0.07721295639398072
2,6,4,1,1,0,1,0,0,2,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0.25,0.5,0.5,1.0,0.25,0.3333333333333333,,0.0,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,225.33333333333334,0.5,0.5,0.81459567972498,0.017200000000000014,1,1,WC,6,4,1,2,2,0,0,S12,93.0,False,ARI,ARI,2,0.10635835339759922
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,1.0,438.0,0.0,0.0,-0.33883146461409547,-0.0505,1,1,SM,2,2,0,0,0,0,0,S12,99.0,False,DET,DET,2,-0.02558355131970914
2,5,3,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.4,0.0,1.0,0.0,280.6666666666667,0.4,0.0,-0.7742472343905373,-0.09080000000000002,0,2,BN,5,3,0,0,2,0,0,S12,104.0,False,DET,DET,2,-0.056675735584802725
2,6,6,2,0,1,1,0,0,3,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333333,0.16666666666666669,0.6666666666666666,,0.0,0.5,0.0,1.0,0.0,,245.5,0.3333333333333333,0.5,0.014866979655712154,0.09690000000000001,1,0,BC,6,6,2,3,0,0,0,S12,108.0,False,HOU,HOU,2,0.026385483390672426
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,393.0,0.0,0.0,-0.4615384615384615,-0.0892,0,1,BP,1,1,0,0,0,0,0,S12,109.0,False,HOU,HOU,2,-0.04200404858299595
2,6,6,1,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.5,,0.0,0.6666666666666666,0.0,1.0,0.0,,270.6666666666667,0.16666666666666666,0.3333333333333333,-0.9349251998833921,-0.0612,1,0,HK,6,6,1,2,0,0,0,S12,113.0,False,HOU,HOU,2,-0.068593734563238
2,6,5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0.2,0.3333333333333333,0.2,0.5333333333333333,0.0,0.2,,0.0,0.0,0.16666666666666666,0.5,0.5,1.0,273.1666666666667,0.3333333333333333,0.2,-0.10616422059235714,-0.11589999999999999,2,2,1B,6,5,1,1,1,0,0,S12,119.0,False,HOU,HOU,2,0.014282363365865497
2,4,4,3,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.75,0.75,1.25,2.0,0.5,0.75,,0.0,0.0,0.0,1.0,0.0,,137.75,0.75,1.5,1.0850436289677632,0.1887,1,0,SF,4,4,3,6,0,0,0,S12,127.0,False,OAK,OAK,2,0.12510355318017713
2,6,5,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0.2,0.3333333333333333,0.2,0.5333333333333333,0.0,0.2,,0.0,0.0,0.16666666666666666,0.4,0.6,0.6666666666666666,238.0,0.16666666666666666,0.16666666666666666,-1.796748521475918,-0.1266,2,3,1B,6,6,1,1,0,0,0,S12,130.0,False,KCR,KCR,2,-0.15477606672249059
2,6,5,1,2,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0.2,0.3333333333333333,0.8,1.1333333333333333,0.6000000000000001,0.0,,0.16666666666666666,0.0,0.16666666666666666,0.75,0.25,3.0,302.6666666666667,0.3333333333333333,0.8,0.5187710124825279,0.005500000000000001,3,1,S,6,5,1,4,1,0,0,S12,138.0,False,NYY,NYY,2,0.076775886673354
1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,,,,119.0,1.0,1.0,0.4267262791852955,0.0276,0,0,EN,1,1,1,1,0,0,0,S12,140.0,False,KCR,KCR,1,0.046822425489379746
2,5,5,2,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.4,0.4,0.8,1.2000000000000002,0.4,0.4,,0.0,0.0,0.0,0.75,0.25,3.0,250.0,0.4,0.6,-1.3789098073240171,0.05990000000000002,3,1,BC,5,5,2,3,0,0,0,S12,151.0,False,KCR,KCR,2,-0.1171419928781507
2,6,6,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,,0.0,0.0,0.0,0.4,0.6,0.6666666666666666,308.5,0.16666666666666666,0.3333333333333333,-0.28793297096580567,0.026200000000000005,2,3,BN,6,6,1,2,0,0,0,S12,161.0,False,SDP,SDP,2,-0.003894511671479356
2,6,6,2,1,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333333,0.16666666666666669,0.4,,0.0,0.16666666666666666,0.0,1.0,0.0,,295.0,0.3333333333333333,0.5,-0.20585476911287415,-0.011900000000000004,3,0,1B,6,6,2,3,0,0,0,S12,163.0,False,LAD,LAD,2,0.004313308513813796
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,1.0,0.0,,376.5,0.0,0.0,-0.4993506334387023,-0.0528,1,0,BN,2,2,0,0,0,0,0,S12,168.0,False,LAD,LAD,1,-0.041635468202169824
1,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,,0.0,0.0,0.3333333333333333,0.5,0.5,1.0,336.3333333333333,0.0,0.0,0.12598335020071932,0.09699999999999999,1,1,BC,3,3,0,0,0,0,0,S12,170.0,False,LAD,LAD,1,0.025047727732622538
