ID,Game ID,Season,Display Season,Session,Team,Franchise,Opponent,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
59,4007,4,S4,2,CHC,CHC,LAD,0,0,2,2,2,0,0,2,4,0,0,1,0,0,1,4,13,2.6666666666666665,1,-0.6541353383458647,0.11022760418634524,-0.0022999999999999826,5,1,Home
63,9001,9,S9,1,CHC,CHC,PHI,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0,-0.5285714285714286,0.06576651749007159,-0.17809999999999998,0,0,Home
63,9005,9,S9,2,CHC,CHC,COL,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,5,7,0.6666666666666666,4,3.7857142857142856,-0.3484495544279282,-0.43479999999999996,2,0,Away
67,6010,6,S6,3,DET,DET,CWS,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,5,1.0,1,1.0714285714285714,-0.08556757853632851,-0.42010000000000003,1,1,Home
74,2003,2,S2,1,TB,TBR,BOS,0,0,0,3,0,0,0,2,3,0,1,3,3,0,0,3,12,4.0,0,-2.1931818181818183,0.27013322884012536,0.323,7,5,Away
74,2006,2,S2,2,TB,TBR,TOR,0,0,1,1,2,0,0,4,3,1,1,0,1,0,0,2,14,3.6666666666666665,2,0.037587412587412605,0.05552548026685955,-0.02579999999999999,5,0,Away
74,3006,3,S3,2,COL,COL,ATL,1,0,0,0,1,0,0,1,3,0,3,2,2,0,0,1,11,3.6666666666666665,1,-0.7846153846153845,0.1321396345589894,0.0426,7,6,Home
74,5002,5,S5,1,LAA,TEX,OAK,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,1,6,1.6666666666666667,0,-0.15413533834586474,0.041268405388471166,-0.010700000000000001,4,1,Away
74,9002,9,S9,1,CIN,CIN,MIL,2,0,1,4,2,0,0,0,6,1,5,3,1,0,0,7,24,5.333333333333333,2,-0.520265780730897,0.15530157513651965,0.22630000000000006,13,6,Home
75,3006,3,S3,2,COL,COL,ATL,2,0,0,5,1,0,0,0,2,0,1,3,1,0,0,7,14,2.3333333333333335,4,3.0153846153846153,-0.23322088468716037,-0.3044,5,4,Home
75,5006,5,S5,2,COL,COL,MTL,2,0,2,0,2,0,0,5,3,1,1,0,0,0,0,4,16,3.3333333333333335,4,1.7610096670247044,-0.10715464255877788,-0.23670000000000002,4,2,Away
76,3003,3,S3,1,COL,COL,SFG,1,0,2,0,2,0,0,6,3,2,3,4,0,1,0,3,23,6.0,2,-0.7692307692307688,0.19403892295387892,0.3166,11,7,Home
76,5006,5,S5,2,COL,COL,MTL,0,0,1,0,1,0,0,1,3,0,1,0,0,0,0,1,7,1.6666666666666667,0,-1.031686358754028,0.13333265268826827,0.0287,2,1,Away
76,9011,9,S9,4,COL,COL,BAL,1,0,0,4,1,0,0,3,5,4,1,0,1,2,1,5,19,5.0,1,-1.642857142857143,0.2589544615938584,0.11930000000000004,7,1,Away
76,11242,11,S11,1,COL,COL,MIL,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,6,2.0,0,-1.2646616541353384,0.141605554378905,0.0203,5,2,Away
92,6010,6,S6,3,DET,DET,CWS,1,0,1,2,3,0,0,2,5,1,4,2,0,0,1,4,21,5.0,2,-1.8214285714285716,0.277074083011583,-0.02949999999999997,12,5,Home
92,8008,8,S8,2,DET,DET,KCR,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,3,5,0.6666666666666666,1,0.9999999999999999,-0.08767929359052691,-0.15239999999999998,2,2,Home
100,8008,8,S8,2,DET,DET,KCR,0,0,2,2,0,0,0,1,0,2,0,0,0,0,0,4,7,1.0,2,1.2619047619047619,-0.10894148721721386,-0.2781,1,1,Home
100,11251,11,S11,4,DET,DET,PHI,0,0,1,1,1,0,0,3,1,5,0,0,0,1,0,2,12,3.0,1,-1.5939849624060152,0.19220050566557237,0.0024000000000000046,5,0,Away
103,8008,8,S8,2,DET,DET,KCR,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,4,1.0,0,-0.8214285714285714,0.09199942227043562,0.010699999999999998,1,1,Home
103,10245,10,S10,2,BAL,BAL,CWS,0,0,0,0,2,1,0,1,0,2,2,0,0,1,0,0,7,1.6666666666666667,0,-0.11978021978021969,0.04761189023635856,0.062199999999999984,3,0,Away
