IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,W,L,SV,HLD,GS,GF,CG,SHO,RE24,WPA,WAR,AB_A,SF_A,SH_A,1B,2B_A,3B_A,RGO,LGO,FO,PO,LO,GB_outs_A,FB_outs_A,SB_A,CS_A,G,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,SB%_A,Avg Diff,FIP,ERA+,W-L%,Season,Team
42.0,177.0,47.0,20.0,20.0,11.0,0.0,0.0,44.0,9.0,3.0,4.0,1.0,0.0,7.0,7.0,3.0,0.0,-5.937820512820512,0.6456000000000001,1.2102747697286529,166.0,0.0,0.0,29.0,8.0,1.0,0.0,29.0,36.0,10.0,0.0,36.0,46.0,0.0,0.0,7.0,2.857142857142857,1.380952380952381,6.714285714285714,1.2857142857142856,1.5714285714285716,6.2857142857142865,4.0,0.28313253012048195,0.327683615819209,0.5060240963855421,0.8337077122047512,0.336283185840708,0.05084745762711865,0.24858757062146894,0.062146892655367235,0.43902439024390244,0.5609756097560976,0.782608695652174,0.0,253.43957399831157,3.2421904761904763,113.0,0.42857142857142855,S1,ARI
44.0,178.0,49.0,20.0,20.0,9.0,0.0,0.0,27.0,4.0,5.0,2.0,0.0,0.0,7.0,7.0,5.0,0.0,-9.135897435897434,1.4908,1.533565471745083,166.0,3.0,0.0,29.0,15.0,1.0,0.0,55.0,36.0,2.0,0.0,66.0,38.0,0.0,1.0,7.0,2.727272727272727,1.3181818181818181,6.681818181818182,0.5454545454545454,1.2272727272727273,3.6818181818181817,3.0,0.29518072289156627,0.3258426966292135,0.46987951807228917,0.7957222147015026,0.32608695652173914,0.02247191011235955,0.15168539325842698,0.05056179775280899,0.6346153846153846,0.36538461538461536,1.736842105263158,0.0,261.9581887680094,2.334181818181818,119.0,0.7142857142857143,S1,ATL
41.333333333333336,199.0,54.0,28.0,28.0,26.0,1.0,1.0,43.0,6.0,1.0,7.0,0.0,0.0,7.0,7.0,6.0,0.0,6.016480562448304,-0.4313999999999997,0.09147087579400445,171.0,2.0,0.0,31.0,15.0,2.0,0.0,27.0,41.0,8.0,0.0,32.0,49.0,1.0,0.0,7.0,4.064516129032258,1.9354838709677418,7.838709677419354,0.8709677419354838,3.774193548387097,6.241935483870968,1.6538461538461537,0.3157894736842105,0.4020100502512563,0.5321637426900585,0.9341737929413148,0.3870967741935484,0.03015075376884422,0.21608040201005024,0.1306532663316583,0.3950617283950617,0.6049382716049383,0.6530612244897959,1.0,245.58720812182742,3.459548387096774,78.0,0.125,S1,BAL
42.0,168.0,39.0,23.0,23.0,13.0,0.0,1.0,28.0,8.0,4.0,3.0,0.0,0.0,7.0,7.0,7.0,1.0,0.3243425950743015,0.9127000000000003,0.552711371560531,155.0,0.0,0.0,22.0,9.0,0.0,0.0,41.0,40.0,7.0,0.0,50.0,47.0,2.0,1.0,7.0,3.2857142857142856,1.2380952380952381,5.571428571428571,1.1428571428571428,1.8571428571428572,4.0,2.1538461538461537,0.25161290322580643,0.30952380952380953,0.4645161290322581,0.7740399385560677,0.2605042016806723,0.047619047619047616,0.16666666666666666,0.07738095238095238,0.5154639175257731,0.4845360824742268,1.0638297872340425,0.6666666666666666,259.11431572225587,3.837428571428571,99.0,0.5714285714285714,S1,DET
42.0,179.0,51.0,30.0,30.0,13.0,0.0,0.0,33.0,8.0,2.0,5.0,0.0,0.0,7.0,7.0,7.0,0.0,4.0621794871794865,-0.1315999999999999,0.21724078914612893,163.0,3.0,0.0,28.0,12.0,3.0,0.0,38.0,38.0,6.0,0.0,49.0,44.0,1.0,0.0,7.0,4.285714285714286,1.5238095238095237,7.285714285714285,1.1428571428571428,1.8571428571428572,4.714285714285714,2.5384615384615383,0.3128834355828221,0.3575418994413408,0.5705521472392638,0.9280940466806047,0.344,0.0446927374301676,0.18435754189944134,0.07262569832402235,0.5268817204301075,0.4731182795698925,1.1136363636363635,1.0,249.31799184505604,3.599333333333333,84.0,0.2857142857142857,S1,HOU
40.0,162.0,40.0,19.0,19.0,11.0,2.0,0.0,37.0,7.0,3.0,4.0,0.0,0.0,7.0,7.0,1.0,0.0,-4.923076923076923,1.1993,1.0565552651232264,149.0,2.0,0.0,25.0,6.0,2.0,0.0,40.0,27.0,7.0,0.0,48.0,34.0,1.0,1.0,7.0,2.85,1.275,6.0,1.0499999999999998,1.6500000000000001,5.550000000000001,3.3636363636363638,0.2684563758389262,0.3148148148148148,0.47651006711409394,0.7913248819289087,0.308411214953271,0.043209876543209874,0.22839506172839505,0.06790123456790123,0.5853658536585366,0.4146341463414634,1.411764705882353,0.5,256.5781904409953,3.016,127.0,0.42857142857142855,S1,MIN
41.66666666666667,182.0,46.0,28.0,28.0,22.0,0.0,1.0,27.0,3.0,2.0,5.0,0.0,0.0,7.0,7.0,7.0,0.0,2.793589743589746,0.21619999999999984,0.35454879263131656,158.0,2.0,0.0,29.0,9.0,5.0,0.0,40.0,38.0,9.0,0.0,50.0,47.0,1.0,1.0,7.0,4.031999999999999,1.632,6.623999999999999,0.43199999999999994,3.1679999999999993,3.8879999999999995,1.2272727272727273,0.2911392405063291,0.37362637362637363,0.46835443037974683,0.8419808040061205,0.33076923076923076,0.016483516483516484,0.14835164835164835,0.12087912087912088,0.5154639175257731,0.4845360824742268,1.0638297872340425,0.5,242.20632763975158,2.9899999999999993,84.0,0.2857142857142857,S1,NYM
41.0,169.0,38.0,15.0,15.0,16.0,0.0,0.0,29.0,5.0,4.0,3.0,0.0,0.0,7.0,7.0,7.0,0.0,-9.521153846153847,1.8070000000000002,1.5407440253920837,153.0,0.0,0.0,22.0,10.0,1.0,0.0,33.0,40.0,13.0,0.0,38.0,53.0,0.0,3.0,7.0,2.1951219512195124,1.3170731707317074,5.560975609756098,0.7317073170731707,2.3414634146341466,4.2439024390243905,1.8125,0.24836601307189543,0.31952662721893493,0.42483660130718953,0.7443632285261245,0.2773109243697479,0.029585798816568046,0.17159763313609466,0.09467455621301775,0.4175824175824176,0.5824175824175825,0.7169811320754716,0.0,255.61538461538464,3.107463414634146,146.0,0.5714285714285714,S1,OAK
42.0,175.0,47.0,29.0,29.0,11.0,1.0,0.0,41.0,10.0,5.0,2.0,1.0,0.0,7.0,7.0,2.0,0.0,3.062179487179487,0.6821999999999999,0.30330875031117743,163.0,1.0,0.0,22.0,13.0,2.0,0.0,35.0,34.0,7.0,0.0,43.0,41.0,1.0,1.0,7.0,4.142857142857143,1.380952380952381,6.714285714285714,1.4285714285714284,1.5714285714285716,5.857142857142857,3.727272727272727,0.2883435582822086,0.3314285714285714,0.5766871165644172,0.9081156879929886,0.3274336283185841,0.05714285714285714,0.2342857142857143,0.06285714285714286,0.5119047619047619,0.4880952380952381,1.048780487804878,0.5,250.32177483411337,3.6945714285714284,89.0,0.7142857142857143,S1,PHI
41.0,169.0,43.0,22.0,22.0,10.0,0.0,0.0,39.0,6.0,5.0,2.0,1.0,0.0,7.0,7.0,6.0,1.0,-2.521153846153847,0.8462999999999999,0.8407440253920836,156.0,3.0,0.0,30.0,3.0,4.0,0.0,35.0,34.0,8.0,0.0,41.0,42.0,3.0,1.0,7.0,3.2195121951219514,1.2926829268292683,6.2926829268292686,0.8780487804878048,1.4634146341463414,5.7073170731707314,3.9,0.27564102564102566,0.3136094674556213,0.46153846153846156,0.7751479289940828,0.32456140350877194,0.03550295857988166,0.23076923076923078,0.05917159763313609,0.4939759036144578,0.5060240963855421,0.9761904761904762,0.75,260.9450518838359,2.4977073170731705,99.0,0.7142857142857143,S1,PIT
