win,loss,save,holds,Season,Game ID
-1,395,,[],S1,1
2111,2065,,[],S1,2
336,2147,,[],S1,4
2151,58,,[],S1,5
2091,2065,,[],S1,7
-2,3,,[],S1,8
-1,58,,[],S1,9
39,1966,,[],S1,10
2147,286,,[],S1,11
395,336,,[],S1,12
2091,58,,[],S1,13
74,2065,3.0,[],S1,14
336,395,,[],S1,15
284,-1,,[],S1,16
2147,112,,[],S1,17
2111,1966,,[],S1,18
2151,1966,,[],S1,19
286,2091,,[],S1,20
199,39,,[],S1,21
2147,120,,[],S1,22
74,395,,[],S1,23
336,2065,,[],S1,24
2065,2091,,[],S1,25
336,112,2271.0,[],S1,27
199,2147,,[],S1,28
286,284,,[],S1,29
2129,74,58.0,[],S1,30
199,1966,,[],S1,31
3,2091,,[],S1,32
2151,336,,[],S1,33
2129,39,,[],S1,34
2147,2065,,[],S1,35
-2,286,,[],S1,36
2129,-4,,[],S1,37
286,112,,[],S1,38
395,2147,,[],S1,39
2065,74,,[],S1,40
336,1966,,[],S1,41
2019,2151,,[],S1,42
