OBC,Outs,RunExpectancy
0,0,0.6860734369831294
0,1,0.4298780487804878
0,2,0.2188006482982172
1,0,0.9949494949494949
1,1,0.6662125340599455
1,2,0.4533508541392904
2,0,1.3160762942779292
2,1,0.7794759825327511
2,2,0.5093378607809848
3,0,1.606060606060606
3,1,1.167741935483871
3,2,0.45023696682464454
4,0,1.5695364238410596
4,1,1.0
4,2,0.753731343283582
5,0,1.719298245614035
5,1,1.0265486725663717
5,2,0.42718446601941745
6,0,2.0615384615384613
6,1,1.3783783783783783
6,2,0.7777777777777778
7,0,2.4489795918367347
7,1,1.5819672131147542
7,2,0.7254901960784313
