ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,LO,SF,SH,GO,GIDP,GITP,SB 2B,SB 3B,SB Home,CS 2B,CS 3B,CS Home,SB,CS,1RHR,2RHR,3RHR,4RHR,H_RISP,AB_RISP,H,PA,AB,TB,TB+,G_list,G,R,RBI,Total Diff,Total Plays,RE24,WPA,WAR,0 Diffs,500 Diffs,Last Team,Last Session,nH,nTB,nBB,nFO,nSH,nPA,nAB,SF value,nSF,lgnH,lgnBB,lgnPA,lgnAB,lgnTB,lgnOBP,lgnSLG,BA,BARISP,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,nOBP,nSLG,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,OPS+
66,3,S3,NEB,NEB,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0,4,4,0,0,"{3003, 3006}",2,0,0,1527.0,4,-1.0631908621960209,-0.218,-0.0742419161005328,0,0,NEB,2,0,0,0,0,0,4,4.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,381.75,Daniel Dove,BC,,Right,2B,-100.0
67,3,S3,IND,IND,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,0,0,{3008},1,0,0,839.0,2,-0.4846194336245921,-0.0849,-0.0324233583029245,0,0,IND,2,0,0,0,0,0,2,2.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,inf,0.0,0.0,419.5,Dean Wesrey,BN,,Left,2B,-100.0
68,3,S3,UOM,UOM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,2,2,2,6,6,"{3009, 3004}",2,2,1,62.0,2,2.125,0.3347,0.2285385850595346,0,0,UOM,2,2,6,0,0,0,2,2.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,1.0,,1.0,3.0,4.0,2.0,1.0,,0.5,0.0,0.0,,,,1.0,3.0,31.0,Erin Pickles,BN,,Right,2B,770.12874821094
70,3,S3,WSU,WSU,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1,3,3,1,1,"{3005, 3007}",2,1,0,785.0,3,-2.858540372670808,-0.0528999999999999,-0.2617961596777788,0,0,WSU,2,1,1,0,1,0,3,2.965367965367965,0.0346320346320346,0.0346320346320346,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,,0.0,0.0,0.0,0.5,0.5,1.0,0.3333333333333333,0.3372262773722628,261.6666666666667,Nicholas Verduci,BN,,Left,LF,67.41646556065115
77,3,S3,NEB,NEB,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1,2,2,2,2,"{3003, 3006}",2,0,2,297.0,2,0.1875,0.0354,0.0347885850595346,0,0,NEB,2,1,2,0,0,0,2,2.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.5,0.0,0.5,1.0,1.5,0.5,0.5,,0.0,0.0,0.0,1.0,0.0,inf,0.5,1.0,148.5,Buttfart McPoopus,BP,,Right,C,242.55433159542744
78,7,S7,USF,USF,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,5,5,0,0,"{7001, 7012, 7005}",3,0,0,1524.0,5,-0.8458551835417506,-0.1487,-0.0590079637678206,0,0,USF,4,0,0,0,1,0,5,4.944866920152092,0.0551330798479087,0.0551330798479087,117,45,517,467.9201520912548,241,0.3133462282398452,0.5150451394814038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2,0.0,0.5,0.25,2.0,0.0,0.0,304.8,Crimson Chin,HK,,Right,LF,-100.0
83,3,S3,VT,VT,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,3,0,0,"{3009, 3005}",2,0,0,1048.0,3,-1.651493139628733,-0.1747,-0.1410914363735713,0,0,VT,2,0,0,0,1,0,3,2.965367965367965,0.0346320346320346,0.0346320346320346,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.0,0.0,0.0,349.3333333333333,Les Dee-Ache,BN,,Right,2B,-100.0
116,3,S3,NEB,NEB,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2,4,4,4,4,"{3003, 3006}",2,1,0,738.0,4,1.7764830508474574,0.1873,0.209725475203815,0,0,NEB,2,2,4,0,1,0,4,3.965367965367965,0.0346320346320346,0.0346320346320346,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.5,0.0,0.5,1.0,1.5,0.5,0.6666666666666666,,0.0,0.25,0.0,0.0,1.0,0.0,0.5,1.0087336244541485,184.5,Mattress Cadaire,BN,,Right,2B,244.1702275344676
117,3,S3,HOF,HOF,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,3,3,3,3,"{3001, 3006}",2,1,1,807.0,3,1.2869047619047618,-0.0285999999999999,0.1527483537797781,0,0,HOF,2,1,3,0,0,0,3,3.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.3333333333333333,,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666667,0.5,,0.0,0.3333333333333333,0.0,0.0,0.0,,0.3333333333333333,1.0,269.0,Harry Peritestes,BN,BS-B,Right,3B,190.0429160703133
118,3,S3,WSU,WSU,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,0,0,{3005},1,0,0,380.0,1,-0.1714285714285714,-0.0368,-0.0091235646130898,0,0,WSU,1,0,0,0,0,0,1,1.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,inf,0.0,0.0,380.0,Luap Renraw,BC,,Right,3B,-100.0
