G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
14.0,27.0,27.0,4.0,1.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,5.0,2.0,0.0,0.14814814814814814,0.14814814814814814,0.2222222222222222,0.37037037037037035,0.07407407407407407,0.2222222222222222,,0.0,0.3333333333333333,0.0,0.5,0.5,1.0,313.4074074074074,0.14814814814814814,0.2222222222222222,-7.572424250886567,-1.2762000000000002,7.0,7.0,BP,S2,14.0,False,ARI,ARI,18,-0.6653452588855969
14.0,37.0,33.0,12.0,7.0,8.0,1.0,0.0,3.0,22.0,9.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,8.0,1.0,0.0,0.36363636363636365,0.3783783783783784,0.6666666666666666,1.045045045045045,0.303030303030303,0.36,0.0,0.08108108108108109,0.1891891891891892,0.05405405405405406,0.3125,0.6875,0.45454545454545453,226.57894736842104,0.3783783783783784,0.6666666666666666,0.4262818301207931,-0.5054,5.0,11.0,BP,S2,15.0,False,ARI,ARI,18,0.16856133669775386
8.0,22.0,19.0,8.0,6.0,1.0,3.0,0.0,4.0,23.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,1.0,0.0,0.42105263157894735,0.5,1.2105263157894737,1.7105263157894737,0.7894736842105263,0.2857142857142857,,0.18181818181818182,0.045454545454545456,0.13636363636363635,0.5,0.5,1.0,207.8095238095238,0.5,1.2105263157894737,5.25001065562155,0.2517999999999999,5.0,5.0,BP,S2,16.0,False,ARI,ARI,18,0.5998802380239073
15.0,47.0,40.0,17.0,13.0,6.0,3.0,2.0,6.0,42.0,17.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,7.0,1.0,0.0,0.425,0.48936170212765956,1.05,1.5393617021276595,0.625,0.4230769230769231,,0.1276595744680851,0.19148936170212766,0.1276595744680851,0.4,0.6,0.6666666666666666,206.31914893617022,0.48936170212765956,1.05,11.726555472244877,0.8020999999999999,6.0,9.0,BP,S2,17.0,False,COL,COL,18,1.332624688392777
4.0,8.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.375,0.16666666666666666,0.5416666666666666,0.0,0.25,,0.0,0.25,0.25,0.3333333333333333,0.6666666666666666,0.5,270.875,0.375,0.16666666666666666,-0.3740317685864608,-0.0028000000000000178,1.0,2.0,BN,S2,18.0,False,BOS,BOS,4,-0.010174386872554286
14.0,40.0,32.0,9.0,5.0,6.0,2.0,0.0,1.0,14.0,3.0,8.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,7.0,5.0,2.0,0.0,0.28125,0.425,0.4375,0.8625,0.15625,0.3076923076923077,1.0,0.025,0.125,0.2,0.6111111111111112,0.3888888888888889,1.5714285714285714,252.65853658536585,0.425,0.4375,3.0102111165491605,0.3377,11.0,7.0,BC,S2,20.0,False,SFG,SFG,18,0.437165061585375
5.0,11.0,10.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.2,0.2727272727272727,0.2,0.4727272727272727,0.0,0.25,0.6666666666666666,0.0,0.18181818181818182,0.09090909090909091,0.5,0.5,1.0,286.5,0.2727272727272727,0.2,-1.7964609000827148,-0.10690000000000001,3.0,3.0,,S2,22.0,False,MIN,MIN,10,-0.14220650377739524
17.0,47.0,41.0,17.0,10.0,10.0,5.0,0.0,2.0,28.0,9.0,6.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,1.0,0.0,0.4146341463414634,0.48936170212765956,0.6829268292682927,1.1722885313959523,0.26829268292682934,0.5555555555555556,1.0,0.0425531914893617,0.2553191489361702,0.1276595744680851,0.5,0.5,1.0,217.67391304347825,0.48936170212765956,0.6829268292682927,5.485843162887415,0.6926999999999999,6.0,6.0,BN,S2,23.0,False,2TM,BOS,18,0.7085534574570308
5.0,14.0,12.0,6.0,3.0,3.0,2.0,0.0,1.0,11.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5,0.5714285714285714,0.9166666666666666,1.4880952380952381,0.41666666666666663,0.625,,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.0,1.0,0.0,190.71428571428572,0.5714285714285714,0.9166666666666666,3.2178654068565726,0.7563,0.0,3.0,BN,S2,23.0,True,ARI,ARI,5,0.3694369231613179
12.0,33.0,29.0,11.0,7.0,7.0,3.0,0.0,1.0,17.0,5.0,4.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,0.3793103448275862,0.45454545454545453,0.5862068965517241,1.0407523510971786,0.2068965517241379,0.5263157894736842,1.0,0.030303030303030304,0.2727272727272727,0.12121212121212122,0.6666666666666666,0.3333333333333333,2.0,229.46875,0.45454545454545453,0.5862068965517241,2.2679777560308425,-0.06359999999999999,6.0,3.0,BN,S2,23.0,True,BOS,BOS,18,0.3391165342957129
7.0,20.0,19.0,7.0,4.0,5.0,1.0,0.0,1.0,11.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,1.0,0.0,0.3684210526315789,0.4,0.5789473684210527,0.9789473684210527,0.21052631578947373,0.375,,0.05,0.1,0.05,0.4,0.6,0.6666666666666666,221.1,0.4,0.5789473684210527,-1.0805043312443474,-0.031199999999999985,4.0,6.0,BC,S2,24.0,False,MTL,MTL,16,-0.039978458159205255
16.0,42.0,40.0,11.0,11.0,3.0,0.0,1.0,7.0,34.0,14.0,2.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,8.0,0.0,0.0,0.275,0.30952380952380953,0.85,1.1595238095238094,0.575,0.2,,0.16666666666666666,0.30952380952380953,0.047619047619047616,0.5,0.5,1.0,250.34146341463415,0.30952380952380953,0.85,1.758242318254024,-0.06989999999999989,8.0,8.0,BP,S2,25.0,False,BOS,BOS,18,0.3187753792523843
17.0,45.0,39.0,12.0,5.0,9.0,3.0,0.0,0.0,15.0,1.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,3.0,0.0,0.0,0.3076923076923077,0.4,0.38461538461538464,0.7846153846153847,0.07692307692307693,0.4,,0.0,0.2,0.13333333333333333,0.8333333333333334,0.16666666666666666,5.0,262.53333333333336,0.4,0.38461538461538464,-1.2248203461290412,-0.3873000000000001,15.0,3.0,BC,S2,26.0,False,BOS,BOS,18,0.03067990905886222
9.0,22.0,19.0,3.0,1.0,1.0,1.0,0.0,1.0,7.0,4.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.15789473684210525,0.2727272727272727,0.3684210526315789,0.6411483253588517,0.21052631578947367,0.2222222222222222,,0.045454545454545456,0.4090909090909091,0.13636363636363635,0.8571428571428571,0.14285714285714285,6.0,303.3181818181818,0.2727272727272727,0.3684210526315789,-1.6103115139150843,-0.4600000000000001,6.0,1.0,BN,S2,31.0,False,2TM,MIL,18,-0.08615197892975598
2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,,0.0,0.25,0.25,1.0,0.0,,340.75,0.25,0.0,-1.4362645840061117,-0.16670000000000001,2.0,0.0,BN,S2,31.0,True,PHI,PHI,10,-0.13001206340756527
7.0,18.0,16.0,3.0,1.0,1.0,1.0,0.0,1.0,7.0,4.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.1875,0.2777777777777778,0.4375,0.7152777777777778,0.25,0.2857142857142857,,0.05555555555555555,0.4444444444444444,0.1111111111111111,0.8,0.2,4.0,295.0,0.2777777777777778,0.4375,-0.17404692990897236,-0.2933,4.0,1.0,BN,S2,31.0,True,MIL,MIL,18,0.0438600844778093
11.0,30.0,28.0,8.0,4.0,4.0,0.0,2.0,2.0,18.0,5.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,1.0,0.0,0.2857142857142857,0.3333333333333333,0.6428571428571429,0.9761904761904763,0.3571428571428572,0.3333333333333333,,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.4166666666666667,0.5833333333333334,0.7142857142857143,241.26666666666668,0.3333333333333333,0.6428571428571429,0.6431873425871898,0.34399999999999986,5.0,7.0,BN,S2,32.0,False,BOS,BOS,18,0.1664266967065632
