win,loss,save,holds,Season,Game ID
37,2786,,[],S9,1
78,2817,,[],S9,2
2523,2327,2830.0,[],S9,3
74,63,,[],S9,4
361,76,,[],S9,5
2674,2810,,[],S9,6
1759,2544,,[],S9,7
331,2555,,[],S9,8
2744,1703,,[],S9,9
2678,130,,[],S9,10
275,2659,,[],S9,11
2887,610,,[np.int64(646)],S9,12
112,775,,[],S9,13
2792,2723,,[],S9,14
2814,758,2350.0,[],S9,15
2724,802,,[],S9,16
39,2663,,[],S9,17
149,361,,[],S9,18
2588,198,,"[np.int64(219), np.int64(2890)]",S9,19
2875,1963,2585.0,[],S9,20
166,772,,[],S9,21
1977,271,,[],S9,22
2621,2723,2743.0,[np.int64(2621)],S9,23
100,2867,,[np.int64(2694)],S9,24
471,1,,[],S9,25
2606,2952,,[],S9,26
1786,2782,,[],S9,27
2329,2540,2887.0,[np.int64(2329)],S9,28
1692,109,,[],S9,29
265,2474,,[np.int64(2792)],S9,30
395,2888,,[],S9,31
2877,2830,,[],S9,32
296,249,,[],S9,33
2674,63,,[],S9,34
2601,2629,,[],S9,35
2611,696,,[],S9,36
390,331,,[],S9,37
78,771,,[],S9,38
2621,337,2743.0,[np.int64(2621)],S9,39
1834,2678,2952.0,[],S9,40
100,776,,[],S9,41
2945,2220,,[],S9,42
2329,284,,[],S9,43
111,2557,,[],S9,44
2555,103,,[],S9,45
2523,2855,,[],S9,46
76,2659,,[],S9,47
2327,198,,[],S9,48
2890,2585,,[],S9,49
74,37,,[],S9,50
1843,1703,,[],S9,51
166,2786,,[],S9,53
714,2892,,[],S9,54
2248,1759,,[],S9,55
610,275,,[],S9,56
265,646,,[],S9,57
2222,2738,,[],S9,58
2814,2540,2350.0,[np.int64(5)],S9,59
775,112,,[],S9,60
361,39,305.0,[],S9,61
249,2523,,"[np.int64(788), np.int64(2327)]",S9,62
2911,2829,,[],S9,63
2663,270,,[],S9,64
758,1786,,[],S9,65
271,802,,[],S9,66
2939,331,,[],S9,67
1977,2877,,[],S9,68
2867,2944,,[],S9,69
2892,2743,,[np.int64(1)],S9,70
2744,2329,,[],S9,71
2782,100,,[],S9,72
130,394,,[],S9,73
775,2544,,[],S9,74
2814,109,2350.0,[np.int64(2814)],S9,75
296,2888,,[],S9,76
2830,2820,2915.0,[],S9,77
2220,2601,,[],S9,78
78,2461,,[],S9,79
63,2892,2588.0,[],S9,80
198,771,,[],S9,81
117,390,112.0,[np.int64(117)],S9,82
249,331,,[],S9,83
2457,2735,,[],S9,84
2678,395,,[],S9,85
2945,2555,,[],S9,86
275,2694,,[],S9,87
2887,471,,[np.int64(212)],S9,88
2792,2248,,[],S9,89
2738,337,,[],S9,90
149,2855,,[],S9,91
1692,2786,,[],S9,92
696,361,,[],S9,93
758,2830,,[],S9,94
2659,2810,,[],S9,95
76,331,,[],S9,96
271,714,,[],S9,97
2867,2952,,[],S9,98
100,37,,[],S9,99
2540,109,,[],S9,100
1786,2743,,[],S9,101
2900,212,485.0,[],S9,102
2544,2890,,[],S9,103
2606,2875,,[],S9,104
2675,103,2792.0,[],S9,105
2523,2735,,[],S9,106
78,2659,,[],S9,107
249,2457,788.0,[],S9,108
2911,305,219.0,[],S9,109
2601,2817,2791.0,[],S9,110
331,39,,[],S9,111
2892,1977,786.0,[],S9,112
390,2621,,[np.int64(390)],S9,113
2555,1,258.0,[],S9,114
2248,394,,[np.int64(2952)],S9,115
413,1776,2887.0,[np.int64(413)],S9,116
2900,1786,,[],S9,117
610,111,,[],S9,118
2944,2814,2792.0,[],S9,119
2839,471,,[],S9,120
2867,45,,[],S9,121
1828,296,2875.0,[],S9,122
149,2744,,[],S9,123
2911,2724,219.0,[np.int64(2911)],S9,124
361,74,,[],S9,125
198,2585,,[],S9,126
2674,2888,,[],S9,127
2877,2786,,[],S9,128
771,331,,[],S9,129
2694,776,,[],S9,130
2782,130,,[],S9,131
646,284,,[],S9,132
2544,395,,[],S9,133
2390,265,,[],S9,134
5,775,2350.0,[np.int64(2814)],S9,135
788,37,,[],S9,136
2523,134,,[],S9,137
78,331,,[],S9,138
2911,100,,[],S9,139
2461,2611,,[],S9,140
2329,696,2887.0,[np.int64(2329)],S9,141
270,2735,,[],S9,142
1963,771,,[],S9,143
2555,337,,[],S9,144
2810,2678,,[],S9,145
2248,776,,[],S9,146
471,2945,195.0,[],S9,147
1776,2738,,[],S9,148
1786,111,,[],S9,149
2814,2675,,[],S9,150
2523,39,,[],S9,151
78,63,,[],S9,152
134,390,,[],S9,153
2892,2791,516.0,[],S9,154
271,361,,[],S9,155
166,331,,[],S9,156
395,485,394.0,[np.int64(395)],S9,157
776,2222,,[],S9,158
2390,1,,[],S9,159
1977,2248,76.0,[],S9,160
610,2944,,[],S9,161
130,284,,[],S9,162
2329,149,413.0,[np.int64(2887)],S9,163
2544,2606,,[],S9,164
103,275,,[],S9,165
2659,2915,,[np.int64(134)],S9,166
2888,788,,[],S9,167
63,331,,[],S9,168
1692,275,,[],S9,169
786,2810,,[],S9,170
2738,2674,,[],S9,171
771,1963,,[],S9,172
2744,394,,[],S9,173
2743,1,,[],S9,174
2555,212,,[],S9,175
2220,2694,2256.0,[np.int64(3)],S9,176
1703,2855,,[],S9,177
1843,265,,[],S9,178
117,2814,,[],S9,179
1786,195,,[],S9,180
37,78,,[],S9,181
2659,249,134.0,[],S9,182
2585,2629,516.0,[],S9,183
331,2829,,[],S9,184
76,271,,[],S9,185
1777,2890,,[],S9,186
74,2877,,[],S9,187
395,109,,[],S9,188
2555,2743,,"[np.int64(373), np.int64(258)]",S9,189
1834,2678,,[],S9,190
212,100,,[],S9,191
2724,130,2817.0,[],S9,192
2945,2544,,[],S9,193
2814,686,2350.0,[np.int64(2814)],S9,194
2675,775,,[],S9,195
2523,39,,[],S9,196
802,296,,[],S9,197
270,2911,,[],S9,198
149,2892,,[],S9,199
2786,2735,,[],S9,200
331,361,,[],S9,201
2877,696,,[np.int64(2457)],S9,202
471,1977,,[],S9,203
337,776,395.0,[],S9,204
2555,1,,[],S9,205
2220,610,3.0,[],S9,206
2248,1786,,[],S9,207
2474,112,,[],S9,208
2782,2944,,[],S9,209
2814,646,2350.0,[np.int64(2814)],S9,210
2888,2855,,[],S9,211
1843,2890,,[],S9,212
516,2791,,[],S9,213
275,1942,,[],S9,214
390,2915,,[],S9,215
271,331,,[],S9,216
2810,2814,166.0,[],S9,217
771,249,,[],S9,218
2867,714,,[],S9,219
1703,2694,,[],S9,220
1776,686,3.0,[np.int64(2220)],S9,221
1828,646,2875.0,[],S9,222
2792,2474,,[np.int64(265)],S9,223
